username1,meta1
IF***edYourMom,0
Beefyted69,0
Onehoteskimo,0
Bubeem,0
Hans6997,0
MiniMikeR,0
Henkdezwerver,0
Username314159,0
Finnuri,0
Eric t. midget,0
TheGrapist69,0
Fake2.0,1
Dom-swag,1
Pjong Pjang Pjo,1
Itanatswaaa,0
Nick 24b,0
Honyooboo,0
Swagboy123,0
Arsenal11110,0
AnthonyRobinson123,0
Yamumsdadsbrother,0
Mr. Wint and Mr. Kidd,1
IBlitzWing,0
Hughesyjj,1
Wh03,0
Javacash14,0
Tyler lee hart,0
Damien9108,1
Elitexhaxz,0
Benshanks117,0
IceHielo,0
PlugBot,0
Jarredjohnston,0
Seanboulton,0
IShotFirst,0
Honkadoodoo,1
Kedyjan,0
Frankaaah,0
Anonypoo,0
LewisBurfordlol,0
Bellspecial,0
Up the BAA,1
Nate Plew,0
Suckmyjesus,0
HeyDood,0
Timmybob213,0
InjunJoeDumb,0
ScripterMasterHacker,0
Dantheman180,0
2fab4u,0
Sevcorp,0
Himymm,0
Nicole458,0
Buttwart69,0
Mightyplate,0
Markronov2002,0
YOUNGMULA234782,0
E5ujyuyl,1
Copboy9,0
Hui12345,1
Zacherydouglass,0
Stoeisacoolcat,0
MyThrowawayAccount,0
Kingrowan97,0
Jrv787,0
Zeqqr,0
MesserAbouter,0
The Persistence,1
Desterpot,0
Wiley.bash,0
Triasone,0
Jellyraceronc02steroids,0
1STAPRIL2013,0
TurtleTom1096,0
TheTruthfulGay,0
Jumpingwater,0
Jpv123456,0
SalHatena,1
Extriniti,0
Jizjos,0
The jiz,0
MRPOTATOHEAD23,0
MRPOTATOHEAD100,0
Cameronpeattie,0
Fidowil10,0
Caca18,0
JacobCarino,0
Phutclique,0
Androllinswag,0
Tinycee1,0
YouOnlyLarfThrice,0
YouOnlyLarfFiveTimes,1
Hamzah iftikhar,0
Lolilolatxd,0
JohnTReed,0
Brittanydavis44662,0
QuatroUno,0
Hahabacon123,0
Dprince607,0
Yomario1234,1
Billsonoma,0
General Didi,1
Robbiecabobby,0
Josecardoza,1
FaperMcFapington,0
Carlosemurillo,0
Fisto123,0
Arlothebeast,0
Itsakitten,0
Boshiboom,0
Lukeluv69,0
GrettoBob,0
AmbroseKnowsGames,0
ThomasD69,0
Adam Binks,0
Colby Mars,1
Bastard,0
Junkso,0
Blick56,0
TJ songz,0
FelipeCaraVieja,0
Turtlez12,0
Hoathainguyen32,0
MenoetiusTheTitan,0
Mr.Wonka123,0
Potato512,0
Rikigagnon,0
Majesticbutterking,0
Paulyg1234567,0
Gervaislombeyaokouassi,0
SchroederB,0
MikeDude123456,0
MrMcHuffy,0
Jeferson Nazare,0
Lolololololololollol,0
Sombodyuno,0
My name waffle,0
Gunnerman2000,0
Pokemon master 12345,0
Trololololololololololool,0
VerySmart77,0
Celanostaw,0
Aamirkhandalwai,0
Sindre kruger,0
Wtfboom814,0
Malcon 95,0
TRLOLOLOL,0
Chitchatcitylover,0
Kahled123,0
ShadowThief717,0
XxXRIAHBestXxX,0
FakeStuffWiki,0
Sambo657,0
Wallywally456,0
Sfgdfgdfgdfdfgdfg,0
Bobob123654789,0
Danielkonga,0
Roadhouse1992,0
Daboyzajdj,0
Wikiboy199576,0
Wikiboy2244,0
Iwanttuff,0
ZOLLTAN2,0
BigRigsFan1,0
Smartcow360,0
Dorritos locos tacos,0
Spyke12,1
Swag420blazeit,0
SwagYolo420chicksen,0
Smartwikiperson,0
Ihaveahugewilly911,0
Hardysinep,0
The beast 1234 canada,0
Anon10427,0
Preshil2012,0
Popa Bar Abba,0
Kingkamehameha,0
Hencedyer,0
Dnnyboy12,0
Nike ad,0
Bob21345,0
TAMMYWENA,0
Purpleswag,0
Coppertop740,0
Tepid Glitter,0
Tiva12,0
Blindknyttstories,0
Assateague,0
Boobyquisha,0
Bondageman1,0
GayLove420mm69,0
Huji Hamas,0
Matthew Holthaus,0
LisaBrooksLover69,0
Bluebird1929,0
Fingerelevenfanatic9,0
Zman2748,0
Tordandagordan,0
Gimli678,0
Mofuggah,0
MudaFunkaofyaWEed,1
Iloveirelandforever,0
KimJongUn123,0
Jedly,0
Bilal shawqi,0
Gabby362,0
Yopappa3899,0
Tylerrxs,0
Swag3000,0
ProTrollerProdigy,0
Swagpurpleswag,0
STKoz98,0
Elliotkang811,0
Bigbrother98,0
L2 i c e,0
Bobblackbook,0
Stvenkingsbalz,0
Dave Castrillon,0
Wailordwew,0
Mksw99,0
DoctorHenryHowardHolmes,0
Jewett21,0
XxTHENUGE93xX,0
Sold37,0
Svfssdfdsf,0
ILoveFriendlyClefairyHonda,0
AlonaBalicao,1
Gaysofat,0
Lebron401,0
Trip2desert,0
Bobart1,0
Holyawesomeawesomeness1,0
1122superpie1122,0
AlexAleencar,0
Killercobra159,0
Mobybarton1,0
Redhalo626,0
Gaige22,0
SirFart,1
Hedleytrencher,0
Swaggiemaster3000,0
ISUKDIX,0
Troller 22,0
DanM97,0
Cookie200120012001,0
Randuinsomen,0
Atyrau Province,0
RyeGuyXD,0
JPHGNFH,0
Madibff,1
Wayhne El Porch,1
90col90,0
Poiuytrewqzx,0
Kitesnears,0
Deamazinbatman,0
Cconst,0
Iwillremainanon,0
Noitraitim,0
Kmichael21,0
ColeisABoss,0
KHugie,0
Mr.BipolarCorner,0
Thatguywithfakeinfo,0
Olaf 1324,0
Mynameisflart,0
Yermaww123,1
Nefiav,0
Omgthatssohot,0
Biolifeline,0
Fowlermatthew13,0
Proletarianbearcub,0
Oscareo123,0
Glendylopez,0
Francisthecock12,1
Amarjeet88,0
Cole240269,0
Nomoemroemroe,0
Fsdfdsfsdfuwgtrfweu,0
DanielTEisert,0
KyzOG,0
Tellerofmanytruths,0
Bilbob12345,0
"Jack ""badman"" webb",0
Nic0l4c00mb4s,0
Wikiwoogle,0
Sarahdrummond69,0
Homolloyd,0
Sharpspike77,0
Holmsse,0
Jdeco10,0
Larry6ever,0
Jace113,0
Tahthers,0
Qondksowmx jskejdisi,0
BobbyMCsauce,1
Lawlwut1,1
Gifara,0
9009JJ,1
WeSawYouLARP,0
Kingmandude,0
UConnJerkwagonIAmNot,0
Tua09520,0
Koltsnya,0
Hole hais,0
Bsdinnan,0
MajorCritic,0
Muytr,0
Jjohns26,0
SGIAD YAJ,1
MakeYhz1221,1
Noahlevin59,0
Jonathane71,0
XX420weedsmokerXx,0
Noglovenolove 69,0
Metallicwolf856,0
Possiblyyou,0
Benpagliia,0
Benjaminpaglia,0
Ttwilliams93,0
Buttfloss11,0
TheWikiTroll101,0
Epicwinner2112,0
0079P,0
Cbaehrjr,0
Jameswaltz,0
Thatonechick02,0
Popcorntrailer,1
Alantisdell,0
Drizzy61,0
Oisa31,0
Ilikepie329,0
Netalex11,1
Pop4599,0
JFTB99,0
Inthelol,0
Billespanker,0
Trigga556557,0
Tbob84,1
Joemanbro49,0
Djdragon12,0
Pikachu1999,0
Anhoang123456789101112,1
Snooplion123,0
Lovelyme00,0
The big dude 555,0
Lonelygeorge,0
POODLECOW12345678910,0
Zelda4ever2,0
Rocketbee873,0
HackedUp,0
Connrwell,0
Undertheradar545454,0
Moore96^,0
Patelm?matt,0
Trevor5761,0
FreedomforKony,0
Arsterianpasta,0
Chrisiehappy,0
Jorjor777777,0
Ohsnapppple,1
Shyana H.,0
Jordankean69,0
Shan0000000,0
Mrawesomesauceyeah,0
Freshmen334,0
Jsad6969,0
Leecho27,0
Bobdeblobbobdeblob,0
DolphZiggler2,1
Orangepoobumapple,0
Westsideleader,1
SmellyBosnia,0
MauriceDelPie,0
Babafira123,0
RaunchyNintendo64,0
Nsdfgfgfgt,0
DrZoomthesonicboom,0
PC401,0
Offence,0
Inthelittleawsome,0
Analflute,0
Jamubingham,0
Zachstingy,0
Drewk34,0
Lily91349,0
Troller567,0
Ihatefrancefoo,0
Tgiacchino,0
Nikkoooo,1
Anjrew,0
Rope The Dope,0
Thekidonthecorner,0
Gay 4 lif4,0
Kfried,0
Woolywillow,0
IDON'TREALLYEXIST,0
Noah2113,0
TrollcricBD,0
Hiteshsaldi,0
Loollolol,0
MassiveTroll,0
Editer69,1
Zjuhztkurdt554545445,0
Poopman16,0
Lmaoeliz,0
L0ve0t0my,0
Modern Motherphucker,0
Revuhlution,0
Saneyman,1
Tom Parslew 666,0
Stillnotreal,0
CommieCaunck,0
Isateach,0
Asdfjkl666,0
Reto Ziegler and The E Street Band,0
Daluckman,0
Guigou. OH ITS..THERE,0
