counter,ntus
4,0
47,0
64,0
364,0
547,0
603,0
782,0
802,0
829,0
895,0
897,0
1040,0
1051,0
1065,0
1160,0
1211,0
1253,0
1270,0
1300,0
1457,0
1466,0
1473,0
1477,0
1647,0
1648,0
1775,0
1813,0
1876,0
1922,0
1942,1
1945,1
1964,0
2002,0
2032,0
2178,0
2179,0
2466,0
2584,0
2623,0
2694,0
2774,0
2775,0
2942,0
2943,0
3033,0
3068,0
3186,0
3474,1
3477,1
3622,0
3799,0
4014,0
4045,0
4055,0
4093,0
4094,1
4239,0
4274,0
4398,0
4532,0
4550,0
4551,0
4598,0
4608,0
4622,0
4623,1
4636,0
4670,0
4675,0
4681,0
4686,0
4689,0
4698,0
4718,1
5185,0
5186,0
5369,0
5400,0
5409,0
5452,1
5454,0
5457,0
5458,1
5459,1
5460,1
5463,1
5468,0
5670,0
5692,0
5698,0
5732,0
5780,0
5864,1
5925,0
5966,0
6389,0
6478,0
6519,0
6549,0
6587,0
6588,0
6663,0
6764,0
6892,0
6896,0
6897,0
6898,0
6899,0
6903,0
6905,0
6914,0
6944,0
6946,1
6982,1
6993,0
7151,0
7158,0
7342,1
7344,0
7346,0
7349,0
7351,0
7360,0
7364,0
7377,1
7431,1
7463,1
7488,1
7518,0
7522,1
7539,1
7557,1
7659,1
7724,1
7728,0
7730,0
7731,0
7736,0
7752,0
7754,0
7755,0
7756,1
7764,0
7773,1
7774,1
7775,1
7776,1
7777,1
7778,1
7794,0
7881,0
7882,0
7907,0
7936,0
7940,0
7947,0
7949,1
7952,1
8161,0
8177,0
8186,0
8269,0
8285,0
8286,0
8302,0
8303,0
8313,1
8319,1
8377,0
8378,0
8383,0
8390,0
8488,0
8563,0
8564,0
8601,0
8602,0
8702,0
8729,0
8742,0
8916,0
