counter,ntus
93,0
166,0
168,0
201,0
258,0
356,0
395,0
452,0
453,1
595,0
670,0
709,0
775,0
863,0
901,0
902,0
938,0
1181,0
1192,0
1288,0
1486,0
1633,0
1634,0
1635,0
1658,0
1664,0
1775,1
1779,1
1916,0
1932,0
1940,0
2005,0
2103,0
2267,0
2275,0
2297,0
2335,0
2380,1
2390,0
2431,0
2441,0
2481,0
2544,0
2749,0
2775,0
2828,0
2872,0
2911,0
3014,0
3173,0
3206,0
3218,0
3230,0
3351,0
3486,0
3617,0
3748,0
3749,1
3755,0
3806,0
3808,0
3874,0
3965,0
3991,0
4068,0
4104,0
4170,0
4174,0
4254,0
4283,0
4301,0
4311,0
4476,0
4577,0
4731,0
4832,0
4965,0
4978,0
5133,0
5177,0
5194,0
5212,0
5215,0
5319,0
5325,0
5348,0
5349,0
5384,1
5438,1
5472,0
5576,0
5832,0
5837,0
5838,0
5844,1
5890,0
5967,0
5974,0
6050,1
6185,1
6219,0
6228,0
6322,0
6356,0
6374,0
6386,0
6470,0
6540,0
6541,0
6542,0
6543,0
6545,0
6590,0
6591,0
6598,0
6599,0
6649,0
6650,0
6655,0
6656,0
6657,0
6672,0
6688,0
6689,0
6730,1
6850,0
6858,0
6867,0
6892,0
6986,0
6988,0
6998,0
7025,0
7045,0
7066,0
7095,0
7255,0
7318,0
7854,0
7895,0
7898,0
7904,0
7906,0
7907,0
7927,0
7971,0
7990,1
7993,0
8044,0
8119,0
8157,0
