username1,pagetitle1,pagetitle2,counter
Juanalbarran243,Veritasium,Futurecop!,10
Juanalbarran243,Futurecop!,Andrés Manuel López Obrador,11
Juanalbarran243,Raiders of the Lost Ark,Need for Speed: Most Wanted (2012 video game),15
Juanalbarran243,Need for Speed: Most Wanted (2012 video game),The Lego Movie Videogame,16
Rickeliason,Prem Kishore Patakha,Cryolipolysis,49
Bgitzen,List of Internet exchange points by size,Talk:List of Internet exchange points by size,61
U932,User:U932,Calculus,66
Infamous Castle,City of London Police,Nootropic,102
Infamous Castle,Road Rash,Kadal (2013 film),111
Infamous Castle,Computer engineering,United States Department of the Treasury,121
Infamous Castle,Water-electrolyte imbalance,Qin Jiushao,130
Infamous Castle,Head-Royce School,Less-than sign,175
Infamous Castle,User:Infamous Castle,Leicester,183
Infamous Castle,Leicester,George Zimmer,187
Infamous Castle,Damages,Hernia,190
Infamous Castle,Camouflage,Transformer types,193
Infamous Castle,Anna Karenina (2012 film),Persuasion,202
Infamous Castle,Persuasion,Juan Román Riquelme,203
Infamous Castle,Matis,"United States House of Representatives elections, 2012",206
Infamous Castle,User talk:173.196.174.125,Ida B. Wells,216
Infamous Castle,Apollonius of Rhodes,Set (game),232
Infamous Castle,Authority,List of Diary of a Wimpy Kid characters,243
Infamous Castle,I Knew You Were Trouble,Robert Guest,269
SAMI.Bot,User:SAMI.Bot,Thodupuzha,306
SAMI.Bot,Thodupuzha,Dailymotion,307
SAMI.Bot,Dailymotion,"Brahmagiri (hill), Karnataka",308
SAMI.Bot,"Brahmagiri (hill), Karnataka",Chicago Pile-1,309
SAMI.Bot,User:Samee,Ester Rachel Kamińska,312
SAMI.Bot,Ester Rachel Kamińska,You (actress),313
SAMI.Bot,You Belong to Me (1941 film),"Young Harris, Georgia",315
SAMI.Bot,Ypsolophidae,Yu Xuezhong,320
SAMI.Bot,Yu Xuezhong,Yunus (sura),321
SAMI.Bot,Yusuf (sura),Yuya Miyashita,328
SAMI.Bot,Yuya Miyashita,Pakestan,329
SAMI.Bot,"Pakil, Laguna",Wikipedia:Teahouse/Questions,331
SAMI.Bot,Wikipedia:Namespace,Hydra (genus),379
SAMI.Bot,Hydra (genus),Cartoon Network (India),380
SAMI.Bot,Cartoon Network (India),Category:Political parties established in 1832,381
SAMI.Bot,Abadeh,Template:Country data Northern Rhodesia,456
SAMI.Bot,List of countries by economic freedom,Category:States and territories of India,469
Martinw1200,Udhna Varanasi Express,Michael Behagen,473
Martinw1200,Enele Ma'afu,Shivalli Smarta Brahmins,480
Martinw1200,Shivalli Smarta Brahmins,Wikipedia:Teahouse/Questions,483
Martinw1200,Wikipedia:Teahouse/Questions,Sahasrara,491
Martinw1200,Wikipedia:Teahouse/Questions,Babbu Maan,497
Martinw1200,Babbu Maan,User talk:Martinw1200,500
Martinw1200,Wikipedia:Teahouse/Questions,User:Martinw1200,504
Martinw1200,User:Martinw1200,Na Afriki,507
Martinw1200,Na Afriki,Nabarup Jatiya Vidyapith,508
Martinw1200,Nabarup Jatiya Vidyapith,Marco Dimitri,509
Martinw1200,Marco Dimitri,User:Martinw1200/sandbox,510
Martinw1200,Wikipedia:Teahouse/Questions,Wikipedia:Administrators' noticeboard,523
Martinw1200,User talk:Martinw1200,List of religious populations,528
Martinw1200,User talk:Martinw1200,Give Me Love (Give Me Peace on Earth),537
TenebrisCaelo,User:TenebrisCaelo/sandbox,Ramsauer–Townsend effect,546
TenebrisCaelo,Wikipedia:Village pump (technical),Talk:Venus,550
Gwsell,User:Gwsell/sandbox,User:Vmsipe/sandbox,580
Imdiscgolf,John Houck,John Houck,589
Artiserver,2012 Atlantic hurricane season,Hurricane Irene,609
Steven Collett,User:Steven Collett,"Mount Washington, Kentucky",624
KurtTrowbridge,TommyD,Sheppard (band),632
KurtTrowbridge,Epic Records,List of Epic Records artists,635
JakeOlivier,Bicycle helmets in Australia,Bicycle helmets in Australia,641
JakeOlivier,Bicycle helmets in Australia,Bicycle helmet,644
JakeOlivier,Bicycle helmet,Talk:Bicycle helmets in Australia,645
JakeOlivier,Bicycle helmets in Australia,Wikipedia:Reliable sources/Noticeboard,682
JakeOlivier,Wikipedia:Reliable sources/Noticeboard,Talk:Bicycle helmet,685
Pappat708,Downtown (owarai),Wikipedia:Teahouse/Questions,718
