username1,pagetitle1,pagetitle2,counter
Ronni3rockstar,Aces & Eights,Aaron Hernandez,18
SnottyGomez,Ilya Kovalchuk,Ilya Kovalchuk,22
Iamanawesometaco,Sidekick,Sidekick,26
Wiki8613,B. R. Shetty,Abu Dhabi Indian School,34
Sermoyboy1996,Birdman discography,Stay Trippy,41
Nizam655,Sugar sand,Talk:J. K. Rowling,55
Nizam655,Talk:J. K. Rowling,User talk:Nizam655,56
Nizam655,Applied science,Technological revival,88
Nizam655,Technological revival,Global Data Synchronization Network,91
Nizam655,Welfare technology,Dell Networking,96
Nizam655,Dell Networking,Ohio State Route 505,97
Nizam655,SLC3A2,Minemhat,119
Brthehtr,The Powerpuff Girls,Tara Strong,150
Vincexrapunxel,The Monster Ball Tour,MDNA (album),165
Vincexrapunxel,Marry the Night,User talk:Vincexrapunxel,170
Vincexrapunxel,User talk:Vincexrapunxel,Lady Gaga,172
Vincexrapunxel,User talk:Vincexrapunxel,The Block (Australian TV series),178
Vincexrapunxel,The Block (Australian TV series),Lady Gaga Fame,179
Vincexrapunxel,Lady Gaga Fame,MTV Video Music Award,180
Vincexrapunxel,MTV Video Music Award,Zedd (musician),181
Cjc14752,Jonathan Alder High School,Gonzaga College High School,192
Cjc14752,Gonzaga College High School,"Patrick Henry High School (Hamler, Ohio)",194
Big.glasses101,Kristen Stewart,Lizzy Pattinson,220
Big.glasses101,Lizzy Pattinson,Kristen Stewart,221
Rdtfbjnkiytf,United States dollar,United States dollar,256
Angeloquitonz,Kismet (robot),Jassim bin Mohammed Al Thani,270
Skeamo1,Robert Menzies,Robert Menzies,288
Briguys1,Bomani Jones,Bomani Jones,345
Adetka,Theft,Eric Holder,386
Tylerh12,Paul Pierce,DeAngelo Williams,414
Smells.wrong123,"Diana, Princess of Wales",Monty Roberts,420
VitaminX9,Tim Finn,Katt Williams,471
VitaminX9,Katt Williams,Pop music,472
Lubeva,Phil Fish,Fez (video game),478
Lubeva,Indie Game: The Movie,Geoff Keighley,485
Fitnick25,IPad (4th generation),Kevin Mitnick,497
Fitnick25,Bob Seger,User talk:Fitnick25,500
Mlpwtfisthat,Large denominations of United States currency,I Hate My Teenage Daughter,542
Mlpwtfisthat,I Hate My Teenage Daughter,User talk:Mlpwtfisthat,543
