username1,pagetitle1,pagetitle2,counter
Lvansteenvoort,Frederick Augustus Muhlenberg,Frederick Augustus Muhlenberg,0
Lvansteenvoort,Frederick Augustus Muhlenberg,"Reading, Pennsylvania",2
Lvansteenvoort,Frederick Augustus Muhlenberg,File:Muhlenberg Greene Architects Logo.png,20
Lvansteenvoort,Perkins and Will,Wikipedia talk:Articles for creation/Muhlenberg Greene Architects,23
Lvansteenvoort,Frederick Muhlenberg (disambiguation),Frederick Augustus Muhlenberg (educator),39
Lvansteenvoort,Muhlenberg,Frederick Muhlenberg,46
Lvansteenvoort,Wikipedia talk:Articles for creation/Muhlenberg Greene Architects,Muhlenberg family,93
Lvansteenvoort,Medical Arts Building,"Medical Arts Building (Reading, Pennsylvania)",127
Ruebenross,"List of senators elected in the Philippine Senate election, 2013",Template:Philippine political parties,295
Ruebenross,Template:Philippine political parties,Bam Aquino,297
Ruebenross,Sonny Angara,Alan Peter Cayetano,314
Ruebenross,16th Congress of the Philippines,The Reunion (2012 film),337
Ruebenross,The Reunion (2012 film),Nur Misuari,338
Ruebenross,Moro National Liberation Front,Internet in the Philippines,344
Spyglasses,User talk:Spyglasses,Synchronous condenser,355
Spyglasses,Synchronous condenser,Hemodialysis,361
Spyglasses,Hemodialysis,Charles Villiers Stanford,362
Spyglasses,Charles Villiers Stanford,Charles Wood (composer),363
Spyglasses,Charles Wood (composer),Herbert Howells,364
Spyglasses,Herbert Howells,Lollardy,397
Spyglasses,Lollardy,Gamma-Aminobutyric acid,398
Spyglasses,Gamma-Aminobutyric acid,Chapel Royal,402
Spyglasses,Chapel Royal,Wasteland Speech,403
Spyglasses,Wasteland Speech,Antibiotic resistance,404
Spyglasses,Electric power distribution,Dynamic demand (electric power),425
Spyglasses,Dynamic demand (electric power),Bath County Pumped Storage Station,426
Spyglasses,Three Mile Island accident,National Grid (Great Britain),431
Spyglasses,National Grid (Great Britain),Spasticity,436
Spyglasses,Spasticity,William Stephenson,437
Spyglasses,William Stephenson,Ferroresonance in electricity networks,438
Spyglasses,Ferroresonance in electricity networks,Lithium polymer battery,440
Spyglasses,Lithium polymer battery,Output transformerless,442
Spyglasses,Output transformerless,Mobile phone,443
