username1,pagetitle1,pagetitle2,counter
Edit Author,DJ Aqeel,Sunburn Festival,8
Edit Author,Sunburn Festival,Anish Sood,9
Chimpoo1000,Brave (2012 film),User:Chimpoo1000,38
CommOERChip,Pitivi,Big Sister,48
CommOERChip,Wikipedia:What Wikipedia is not,Timms,66
CommOERChip,Template:WIKISOO Round 3,Template:Commoer SOO3,89
CommOERChip,Template:Commoer SOO3,Template:WIKISOO Round 1,91
Rydbergite,Talk:Polaron,Polaron,144
Rydbergite,Polaron,Lunar Atmosphere and Dust Environment Explorer,148
Rydbergite,Polaron,Fraternities and sororities in North America,151
Rydbergite,Fraternities and sororities in North America,Covenanter tank,152
Rydbergite,Covenanter tank,Mark 4 nuclear bomb,153
Hal.MacGregor,Wikipedia:VisualEditor,Muddebihal,161
Hal.MacGregor,Muddebihal,Nchelenge District,162
Hal.MacGregor,Mujhe Kucch Kehna Hai,Kingdom of Alba,170
Hal.MacGregor,Kingdom of Alba,Saihriem people,171
Hal.MacGregor,Kingdom of Alba,Pytheas,179
Eebeejay,"Maple Ridge, British Columbia",Haney Place Exchange,192
Eebeejay,Haney Place Exchange,The Sapphires (film),193
Eebeejay,The Sapphires (film),List of post-nominal letters in Canada,194
Eebeejay,List of post-nominal letters in Canada,Canadian Gemmological Association,195
Pachydermatous Mameluke,User:Pachydermatous Mameluke,Science and technology in Spain,203
Muhammad Ibrahim Ahmad,Soekarno–Hatta International Airport,User talk:HkCaGu,214
Muhammad Ibrahim Ahmad,User talk:HkCaGu,User:Muhammad Ibrahim Ahmad,215
Muhammad Ibrahim Ahmad,User:Muhammad Ibrahim Ahmad,Garuda Indonesia,237
Souagague,Best Employers in Canada (study),Target benefit plan,244
ImmersionHeaterGuru,Water heating,Electric heating,271
ImmersionHeaterGuru,Electric heating,Heating element,277
ImmersionHeaterGuru,Heating element,User:ImmersionHeaterGuru/sandbox,288
ImmersionHeaterGuru,User:ImmersionHeaterGuru/sandbox,The Runelords,290
IngeWinter,User:IngeWinter,Wikipedia talk:WikiProject Medicine,318
IA-chemist,Hyperconjugation,Baldwin's rules,362
IA-chemist,Baldwin's rules,Cyclobutadiene,365
IA-chemist,Cyclobutadiene,Bergman cyclization,366
IA-chemist,Bergman cyclization,Orbital hybridisation,367
IA-chemist,Cyclobutadiene,Irving Langmuir,374
IA-chemist,Irving Langmuir,Beta scission,375
IA-chemist,Beta scission,Nitric oxide,376
IA-chemist,Baldwin's rules,Superatom,380
IA-chemist,Bergman cyclization,Vinyl cation,382
Burgerconquest,The Art of Touring,Thursday (band),394
EricsonWillians,National Geographic Channel,John Carmack,424
EricsonWillians,Austin Osman Spare,Dani Filth,438
EricsonWillians,H. P. Lovecraft,H. R. Giger,444
EricsonWillians,H. R. Giger,Phirangipuram,447
EricsonWillians,Austin Osman Spare,Horror fiction,460
EricsonWillians,List of heavy metal bands by country,Sequence,616
Freewake,HIVE Projects,Deputy (Acadian),622
Freewake,Godavari River,User:Freewake/sandbox,625
Freewake,User:Freewake/sandbox,Tariqa,644
Freewake,User:Freewake/sandbox,John Marco,646
AchisDeGeth,Gangu Teli,User talk:Flat Out,652
AchisDeGeth,Gangu Teli,Jabez,657
AchisDeGeth,Gangu Teli,Talk:Purushamedha,668
AchisDeGeth,Gangu Teli,Fort San Juan (Joara),678
AchisDeGeth,Rakhi Sawant,Asaram Bapu,680
AchisDeGeth,Talk:Asaram Bapu,2013 Madhya Pradesh stampede,682
AchisDeGeth,2013 Madhya Pradesh stampede,Juye Incident,684
AchisDeGeth,Juye Incident,Eight-Nation Alliance,686
AchisDeGeth,Eight-Nation Alliance,Old Summer Palace,687
AchisDeGeth,Old Summer Palace,"Matthew, Count of Boulogne",688
AchisDeGeth,Sexual jihad,Talk:Leopold II of Belgium,692
AchisDeGeth,Talk:Leopold II of Belgium,Mark Sutton,693
AchisDeGeth,William of Norwich,Menahem Mendel Beilis,705
AchisDeGeth,Menahem Mendel Beilis,Rimbert,706
AchisDeGeth,Sigfrid of Sweden,People's Church of Africa,708
AchisDeGeth,People's Church of Africa,Nepal–Britain Treaty of 1923,709
AchisDeGeth,Nepal–Britain Treaty of 1923,History of Nepal,710
AchisDeGeth,History of Nepal,Talk:Ağdaban,711
AchisDeGeth,Talk:Ağdaban,Aalborg,712
AchisDeGeth,Aalborg,History of Venezuela,713
AchisDeGeth,History of Venezuela,Hedwig of Silesia,714
AchisDeGeth,Hedwig of Silesia,Konkan division,715
AchisDeGeth,Bandra Municipal Committee,Bandra,717
AchisDeGeth,Bandra,Padroado-Propaganda Schism,718
AchisDeGeth,Padroado-Propaganda Schism,Rengma Naga,719
AchisDeGeth,Padroado-Propaganda Schism,2014 unrest in Bosnia and Herzegovina,725
AchisDeGeth,2014 unrest in Bosnia and Herzegovina,Narayan Waman Tilak,726
AchisDeGeth,Vinayak Damodar Savarkar,Abhinav Bharat Society,734
AchisDeGeth,Abhinav Bharat,Parmanand Jha,740
AchisDeGeth,Parmanand Jha,Torch Commando,747
AchisDeGeth,Torch Commando,"Uttar Maithilanchal, Nepal",748
AchisDeGeth,"Uttar Maithilanchal, Nepal",Highway (2014 Hindi film),753
AchisDeGeth,Narayan Waman Tilak,Central Provinces and Berar,758
AchisDeGeth,Central Provinces and Berar,Saugor and Nerbudda Territories,759
Not so slim shady951,"Lithgow, New South Wales",User talk:Not so slim shady951,771
Not so slim shady951,Kalgoorlie,User:Not so slim shady951/sandbox,773
Not so slim shady951,"Lithgow, New South Wales",Wyangala Dam,781
Gummif,Talk:Prediction interval,Compressed sensing,788
Gummif,Compressed sensing,User:Gummif/sandbox,789
Jascalara04,Sunday All Stars,Kylie Padilla,802
Jacobarmstrong472,Maurice De Muer,Thespiae,822
OfficialRikudouSennin,List of video game consoles,List of video game consoles,874
ScreamingDuck,1965 Cape South Easter Trophy,1986 Grand Prix motorcycle racing season,880
ScreamingDuck,1986 Grand Prix motorcycle racing season,1981 Grand Prix motorcycle racing season,881
ScreamingDuck,1981 Grand Prix motorcycle racing season,List of Grand Prix motorcycle racers: D,882
ScreamingDuck,1981 Grand Prix motorcycle racing season,User:ScreamingDuck/sandbox,884
ScreamingDuck,User:ScreamingDuck/sandbox/2006 WRC Privateers' season,User:ScreamingDuck/sandbox/2012 WRC Privateers' season,947
ScreamingDuck,2013 European Junior Cup season,European Junior Cup,980
ScreamingDuck,1984 European Rallycross Championship season,1985 European Rallycross Championship season,987
ScreamingDuck,User:ScreamingDuck/sandbox/2006 WRC Privateers' season,1987 Grand Prix motorcycle racing season,1023
ScreamingDuck,1987 Grand Prix motorcycle racing season,1987 Japanese motorcycle Grand Prix,1025
ScreamingDuck,1985 European Rallycross Championship season,1985 World Rally Championship season,1030
ScreamingDuck,List of World Rally Championship co-drivers,Connie M'Gadzah,1036
ScreamingDuck,List of World Rally Championship co-drivers,Daniel Cammish,1044
ScreamingDuck,Daniel Cammish,File:The logo of Jim'll Paint It.jpg,1050
ScreamingDuck,File:The logo of Jim'll Paint It.jpg,Jim'll Paint It,1051
ScreamingDuck,List of World Rally Championship co-drivers,Brickleberry,1053
ScreamingDuck,List of World Rally Championship drivers,2014 World Rally Championship-2 season,1058
ScreamingDuck,2014 World Rally Championship-2 season,2012 World Rally Championship season,1071
ScreamingDuck,List of World Rally Championship co-drivers,2004 World Rally Championship season,1081
ScreamingDuck,2004 World Rally Championship season,1999 World Rally Championship season,1082
ScreamingDuck,1999 World Rally Championship season,Jutta Gebert,1083
ScreamingDuck,2012 World Rally Championship season,2011 World Rally Championship season,1089
ScreamingDuck,List of World Rally Championship co-drivers,Robbin Harms,1092
ScreamingDuck,Robbin Harms,1999 Supersport World Championship season,1097
ScreamingDuck,1999 Supersport World Championship season,European Superstock 600 Championship,1100
ScreamingDuck,European Superstock 600 Championship,2014 European Superstock 600 Championship season,1101
ScreamingDuck,2014 European Superstock 600 Championship season,1988 Donington Superbike World Championship round,1103
ScreamingDuck,1988 Donington Superbike World Championship round,2006 FIM Superstock 1000 Championship season,1104
ScreamingDuck,2006 FIM Superstock 1000 Championship season,1987 German motorcycle Grand Prix,1105
ScreamingDuck,1987 German motorcycle Grand Prix,User:Anti-lag/2014 WRC,1106
ScreamingDuck,2014 GP3 Series season,List of winners of the London Marathon,1109
ScreamingDuck,List of winners of the London Marathon,User:ScreamingDuck/1997 2-Litre World Rally Cup for Drivers,1110
ScreamingDuck,User:ScreamingDuck/1997 2-Litre World Rally Cup for Drivers,2013 European Rally Championship season,1111
ScreamingDuck,2014 Internationale Jänner Rallye,2014 Drive DMACK Cup season,1113
ScreamingDuck,2014 Drive DMACK Cup season,Hank Zipzer,1114
ScreamingDuck,Hank Zipzer,2014 Circuit of Ireland,1115
