username1,pagetitle1,pagetitle2,counter
Franksmith229,Chandler Preparatory Academy,Electric guitar,28
Franksmith229,Electric guitar,Butterfly knife,32
TreesAreNotGood,Pipipi,Star Trek,39
Rileywwofs1,British Rail Class 37,"Tattershall Castle, Lincolnshire",45
Tryuee,Johannes Gutenberg,The Whitest Kids U' Know,66
Vanda0101,Dunfermline Athletic F.C.,Middlesbrough F.C.,88
Vanda0101,Middlesbrough F.C.,Charlton Athletic F.C.,89
Beanstalkjack,A Serbian Film,Grammar,115
Dick and dom,Post office,Waste container,152
Rochestersais,Same-sex marriage in the United States,Same-sex marriage in the United States,159
Kenshiinalternateform,Boston,User talk:Gogo Dodo,162
Justingiovanni,Jazz,Casey Affleck,188
Hdskumm,Integrity 2000,Integrity (band),244
Knowledgeball,Maksim Gelman stabbing spree,Scottish Football Association,277
Vallpages,Wikipedia:Wikipediholism test,Sly Cooper,319
WaffleMuncher,Lighthouse of Alexandria,Deer,335
5646547654653452a,Lighthouse of Alexandria,Gogo Dodo,352
Wowsas67,Giza Necropolis,Gogo Dodo,355
Dylanka126,Ottoman Empire,Talk:Russia,361
Shmehh36,Muammar Gaddafi,Libyan Civil War,374
Jackcars123,Darren Sharper,Jacoby Jones,381
Mills3270,Conway Twitty,Stanisław Lem,386
Johnnojammy,Leongatha,Leongatha,406
Shijomonthomas,Electrostatic discharge,Kim Yong-nam,408
Onixgh,The Mosslands School,The Mosslands School,411
ValuedContributor,List of crew-served weapons of the U.S. Armed Forces,Talk:Ted Bundy,428
ValuedContributor,Talk:Ted Bundy,User talk:Gogo Dodo,432
Watdahek,Sonny Bill Williams,QWERTY,459
Watdahek,QWERTY,Richie McCaw,460
Sarahmartinofnewyork,"Sir Samuel Garrard, 4th Baronet",Wladimir Talanczuk,472
Sarahmartinofnewyork,Wladimir Talanczuk,Clarinet,473
Sarahmartinofnewyork,Clarinet,Sudhakarrao Naik,476
MacedoniaisMacedonia,List of city name changes,List of cities conquered by the Ottoman Empire,504
MacedoniaisMacedonia,List of cities conquered by the Ottoman Empire,List of city name changes,505
Hldavis17,Lucille Ball,Personal computer,549
Whyyounohackme,Syd Anderson,Parafield railway station,563
Brownguy123,Testicle (food),Foreskin,568
KieranWATERS,Benton Park School,Return of the Killer Tomatoes,591
PopsLover,Kate Micucci,Dunny (toy),639
PopsLover,Dunny (toy),Random! Cartoons,640
Swagtaha,Johnathan Thurston,F1 in Schools,660
Monkeypolice000,Red Hot Chili Peppers,Mike Tyson,666
Monkeypolice000,Mike Tyson,PlayStation 3,667
Tomsimpson1,Paul Mackie,Oxy-fuel welding and cutting,676
Tomsimpson1,Oxy-fuel welding and cutting,Jan Koller,677
Spenda509,Robert E. Pattison,Marlin,704
CoinVaultLover,User:CoinVaultLover/sandbox,Apple Jacks,729
CoinVaultLover,Apple Jacks,Television content rating systems,730
Stilllegit,Wheelchair,Wheelchair,749
Stilllegit,Wheelchair,Talk:Muhammad,750
Yodaddy555,Shakira,Shakira,753
Jaymcyo,Oldham Athletic A.F.C.,FA Cup,801
Antinorms,Ali Daei,Siavash Shahshahani,829
111no111,FF,Casimiro A. Ynares Sr. Memorial National High School,929
111no111,Casimiro A. Ynares Sr. Memorial National High School,5-HT1A receptor,930
111no111,5-HT1A receptor,Delgerekh,931
EverybodyHz,List of music considered the worst,Scream (Tokio Hotel album),994
MHJRA,Bangladesh Navy,Indian Army,1035
Mattyran,Ysgol Bryn Alyn,List of The X Factor finalists (UK series 9),1042
Proskatr,Dog communication,Dog communication,1059
Tabrnakus,Rondell Sheridan,User talk:Gogo Dodo,1097
Tabrnakus,User talk:Gogo Dodo,User:Tabrnakus/sandbox,1098
Tabrnakus,Rondell Sheridan,Fiesta Online,1114
Tabrnakus,Fiesta Online,Wilford Brimley,1120
Nomatey,List of political parties in the United Kingdom,Conservative Party (UK),1135
Themaxandpeter,The Yogscast,England cricket team,1211
