username1,pagetitle1,pagetitle2,counter
Shinebright5522,Category:University programs,Children's literature,36
Shinebright5522,Children's literature,Adult learner,38
Shinebright5522,Adult learner,Skipping-rope rhyme,39
Shinebright5522,Skipping-rope rhyme,"Glendale, Arizona",41
Shinebright5522,"Glendale, Arizona","Bisbee, Arizona",43
Shinebright5522,"Bisbee, Arizona",Hopscotch,44
Shinebright5522,Hopscotch,"Surprise, Arizona",46
Shinebright5522,"Surprise, Arizona","Snowflake, Arizona",47
Shinebright5522,"Snowflake, Arizona","Holbrook, Arizona",50
Shinebright5522,"Holbrook, Arizona","Wickenburg, Arizona",56
Shinebright5522,"Wickenburg, Arizona",Seven Up (game),58
Shinebright5522,Seven Up (game),"St. Johns, Arizona",60
Shinebright5522,"St. Johns, Arizona",Gin rummy,62
Shinebright5522,Kathee,CAPRISA,66
Shinebright5522,CAPRISA,"Benton City, Washington",68
Shinebright5522,"Benton City, Washington",European Congress of Mathematics,70
Shinebright5522,European Congress of Mathematics,Milanese (surname),73
Shinebright5522,"Fraser, British Columbia",Julia Cæsar,75
Shinebright5522,Julia Cæsar,Woman's Club of Starke,76
Shinebright5522,Woman's Club of Starke,Joiner (surname),78
Shinebright5522,Joiner (surname),18024 Dobson,79
Shinebright5522,18024 Dobson,Janette Rallison,80
Shinebright5522,Janette Rallison,Podalyria,81
Shinebright5522,Abablemma brimleyana,Jessica,83
Shinebright5522,Jessica,Matterson,85
Shinebright5522,Matterson,Santa Rosa Valley,86
Shinebright5522,Santa Rosa Valley,Bundy,87
Shinebright5522,Bundy,Woolrich (surname),89
Shinebright5522,Woolrich (surname),Pan American Silver,90
Shinebright5522,"El Campo, Texas","Burke, Wisconsin",92
Shinebright5522,"Burke, Wisconsin","Encanto, Phoenix",93
Shinebright5522,"Encanto, Phoenix","East Brunswick Township, Schuylkill County, Pennsylvania",94
Shinebright5522,"East Brunswick Township, Schuylkill County, Pennsylvania",Hollywood Woman's Club,95
Shinebright5522,Hollywood Woman's Club,"Litchfield Park, Arizona",96
Shinebright5522,"Litchfield Park, Arizona","Apache Junction, Arizona",97
Shinebright5522,"Litchfield Park, Arizona",Big Red (drink),99
Shinebright5522,Pibb Xtra,Jolt Cola,104
Shinebright5522,Jolt Cola,"Dayton, Ohio",105
Shinebright5522,"Tempe, Arizona","Halstead, Kansas",109
Shinebright5522,"Halstead, Kansas","Pueblo, Colorado",110
Shinebright5522,"Delta, Colorado","American Fork, Utah",112
Shinebright5522,"American Fork, Utah","Layton, Utah",115
Shinebright5522,"Layton, Utah","Orem, Utah",116
Shinebright5522,"Orem, Utah","Dayton, Wyoming",117
Shinebright5522,"Glenrock, Wyoming","Ankeny, Iowa",121
Shinebright5522,"Carroll, Iowa","Beech Grove, Indiana",124
Shinebright5522,"Muncie, Indiana","Americus, Georgia",126
Shinebright5522,"Americus, Georgia","McIntyre, Georgia",127
Shinebright5522,"McIntyre, Georgia","Pierre, South Dakota",128
Shinebright5522,"Mandan, North Dakota",Maples v. Thomas,130
Shinebright5522,Maples v. Thomas,Christopher v. SmithKline Beecham Corp.,133
