username1,pagetitle1,pagetitle2,counter
Unlabled,Amy K. Nelson,The American Outlaws,11
Stormyr3,Sarcasm,Count von Count,18
Avion365,Talk:Boston Marathon bombings,Talk:2014 Ukrainian revolution,32
Avion365,Talk:2014 Ukrainian revolution,Wikipedia talk:Administrators' noticeboard,36
Avion365,Wikipedia talk:Administrators' noticeboard,Talk:2014 Crimean crisis,38
Avion365,Talk:2014 Crimean crisis,Wikipedia:Neutral point of view/Noticeboard,39
Avion365,Wikipedia:Neutral point of view/Noticeboard,Talk:Timeline of the 2014 pro-Russian unrest in Ukraine,40
Avion365,Talk:Timeline of the 2014 pro-Russian unrest in Ukraine,Talk:War in Donbass,49
Avion365,Talk:War in Donbass,2014 pro-Russian unrest in Ukraine,50
Avion365,Talk:War in Donbass,"Talk:2014 shootings at Parliament Hill, Ottawa",55
Wes 4716,Lion Air Flight 904,Lion Air Flight 904,67
Wes 4716,American Airlines accidents and incidents,American Airlines Flight 1420,83
Wes 4716,American Airlines Flight 587,Husein Sastranegara International Airport,85
Wes 4716,Lion Air Flight 904,Newark Liberty International Airport,87
Wes 4716,Newark Liberty International Airport,Asiana Airlines Flight 214,89
Wes 4716,Asiana Airlines Flight 214,Non-stop flight,90
HAMINGLY,List of Pokémon,Wikipedia:Sandbox,125
KIDDxALEX,Finding Nemo,Grown Ups 2,151
KIDDxALEX,Grown Ups 2,Call of Duty: Ghosts,152
Jimmyzhu123,"Fuyang, Zhejiang","Fuyang, Zhejiang",168
Jimmyzhu123,"Fuyang, Zhejiang",User:GUYANCHI/sandbox,183
Andre-CCT,User:Andre-CCT/sandbox,The Real World,220
Andre-CCT,St. Marcellinius Secondary School,Miley Cyrus,222
Andre-CCT,Miley Cyrus,Carly Rae Jepsen,223
Menalkhan92,User:Menalkhan92/sandbox,Cervical spine disorder,263
Samplumm,Finding Dory,Andrew Stanton,306
Samplumm,Finding Dory,Halle Berry,318
Samplumm,Halle Berry,Friends,323
Samplumm,Friends,Lewis Watson,326
Samplumm,Lewis Watson,Magical objects in Harry Potter,327
Samplumm,Magical objects in Harry Potter,Kate Hudson,329
Samplumm,Origin of Symmetry,User:Samplumm/sandbox,331
Samplumm,Lewis Watson (musician),Wikipedia:WikiProject Articles for creation/Help desk,337
Samplumm,Wikipedia:WikiProject Articles for creation/Help desk,The Devil is in the detail,340
Samplumm,The Devil is in the detail,Placebo (band),343
Samplumm,Placebo (band),Yamla Pagla Deewana 2,345
Samplumm,Yamla Pagla Deewana 2,TweetDeck,346
