username,crmf,crms,crmv,crnf,crns,crnv,crf_crv,ntus,crm,crn,nts_nts,fm,totaledit,vandal
Waweru1234567,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0,10,0
Sam Hollingsworth,0.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,11.0,14.0,1,38,0
Darkwolf86,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0,10,0
PaulShk,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,1,5,0
Tetriminos,0.0,0.0,2.0,8.0,2.0,10.0,5.0,0.0,2.0,20.0,2.0,0,39,0
Mesmeilleurs,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1,7,0
Rjtavares,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,5,0
Darksoulcraft,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0
Abhimanyu.it,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0,4,0
Socialistfeminist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
Mussoels,10.0,8.0,10.0,1.0,0.0,0.0,8.0,0.0,28.0,1.0,0.0,1,31,0
ParacusForward,3.0,14.0,9.0,11.0,3.0,14.0,8.0,0.0,26.0,28.0,16.0,0,309,0
Communist-USSR,0.0,0.0,2.0,11.0,2.0,88.0,63.0,0.0,2.0,101.0,38.0,0,499,0
Proonk,0.0,1.0,0.0,5.0,24.0,4.0,0.0,0.0,1.0,33.0,6.0,0,71,0
DeskSitter,0.0,0.0,1.0,1.0,1.0,6.0,2.0,0.0,1.0,8.0,6.0,1,34,0
LetsGoWest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0
Mohamed moanis,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,5,0
Vigneshkumar.b,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0
Huwcumber,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1,3,0
