username1,nts_nts
Lanceadrian,12
Doughnut07771,0
B2929,0
Post1ngm3,0
Ballasdon,0
Lobster900,0
Liberty2014,1
Liberty2044,0
Islamicschools,0
Jokerfan999,0
PizzaPizza12345678910,0
Dbk0825,0
Alzweea,0
Abe1McLovin,0
W. Calleen,0
Travis13000,2
Conc0rdd,1
Jakelgodfrey,0
Seanosaurus0716,0
S03080,0
Haylee Meldrum,0
Has7865,0
Hannah scott,0
Sphincter boy,1
Bölvaðfiff,0
How to lose weight,0
Corrector of lies 99,0
TransmogrificationTotalitarian,0
Arsalan.Azarmi,7
Bobocilor1,1
Wkiees,0
AdisatTayyib,0
Nomyomom,0
Kerrko,0
Serewill,0
Dingleberrypie,0
Lolitsas,0
GlennHughes,0
Rabbleflaggers,0
Karldfogarty,0
JesusTouchedMe,0
Knexman427,0
Rossome00100001,0
Headshotjoe3,0
Kevinsolis210,0
QWERTyuiop12345,0
Lilwereboy,0
Teamumizoomi,1
Harjaap3333,0
Uncle ignant713,2
Sabrinakeepers14,0
Meowman515,0
L33tgamr,0
Wwjd421,0
Canceriscool,0
Jkthedj2000,0
Evil Connor,0
Jayhart1,0
Youtube loneer,0
Zzzhzz,2
Kylethebro,0
Jambidani,0
MrHappyFlight,0
Elkevbo1323232,0
Norwich2-1sunderland03dec2012,0
Bigladcluts,0
ComputerGeek4,0
VagPounder69,0
Trololol2253,0
Smhay1999,0
DucksAreFriends,0
Kissmygerbil,1
Drodresu,0
Penguinsruleman,0
Quozox,0
Jigglypuff67,0
Frank Vogt,0
Th5 Blazez,0
Koolslamsz,0
Infoguygonecrazy,0
Cdihno,0
Dan hardboy,0
Aus lc,0
Katiana estivene,0
Dhg king of lol,0
Planetguy2345,0
MattyWinder,0
Hellokitty123456910,0
Cococola44,0
Andrewnaufal,0
Chloeboomhallxx,0
Jackospar4434,2
NibbleOnADeliciousCookieMmmm,0
Nicolascage1,0
TheHerobrine,0
Gourmet and gourmand,1
Projectdavin,0
Thedocterdude,0
Hamishknight,0
MatttBayliss,0
Floggnawfag,0
Ptone56,2
Drrainbowhat,0
WePopandYouDrop,0
Beastlymac,0
Theotherarcher,0
Fixylol,0
Chrislevy14,0
TartarSauceGuy,0
SmeyHAcker,0
Drucillas,0
Ryan001gp,0
TheEditorsNightmare,0
DefinitTROLL,0
SGTRAAF,1
TheRudeGentleman,0
Buttblaster,0
Mstrojny,0
Hoonishoon,1
Ritaoraonline,3
BenClubley,0
Educatedhuman007,0
Starfox6420,0
Shdarren,0
SyntaxMedium,0
John Jex Asif,0
Reanima2,1
Treppz123,0
RandomNerd18,3
NickP916,3
Mohammad Javad Abedi Ostad,0
Clare Champion,1
Shanon300,2
Ann Bardrach,0
Wilfred AKA The yutika,1
Moanchomsky1,3
GandalfakaTheWhite,1
Aswangworks123,0
Kevin the kelvin,0
Chaz1598,0
Noahg9,0
CWReenactor,0
JeffWang1234,3
Donkeysheep007,0
VettelTheGod,2
Strongbowpint,1
Sagar Kumar Nahak,0
SCHUYLER1,0
Gabucho181,15
Swagness all over the world,0
SkySoarer69,2
Caitlinhai,0
Uprauhl,1
Ayush.patnaik1,0
ML1996,0
Arun Oakes,1
SupergamingHDH,0
Kevin Gunaratna,0
Fruitwarrior,0
Keatinx,0
Haltell,0
Alversian,2
Victorporto98,1
Laxdude25,0
Marcus (Pahrump) Mason,0
Twisty twisty,1
Joecarrot10,0
JohnMadden2009,3
Bradyn Green,0
Icedude7,1
Kissjessieaerosmithacdckisslion,5
Khaledmehriz 2,1
Outwith4walls,6
Ben1moreland,3
Stealth012,11
Ragun01,3
Senkris,16
Nyantaco,1
Cernikred,0
FredSaund,2
M0ney411,0
Cclarke93,0
Sstteevvee,71
Digdog1603,1
Birmingham99,5
Gsmith03,2
Carmen Luzon,0
GoodCharlotteVEVO,3
Ragova,3
Gog101,2
Mushroom2006,2
Tommy8089,0
Cupples7,1
Porkchop Jr,1
Awesome girl09,5
Steele m.a.,0
MatthewW7,0
Kayag,17
Chessmad1,2
Ladyquartermaine,0
Jg6606,1
Chaughey9898,0
Spaceghostpurrp,0
Irishkid4lyf,3
Darthmullet,0
WilliamRStanton,0
Cmc1868,4
Rohan636,1
MarkoRF1,27
Wilrox,1
BBEJUICE987,0
Seneraku,1
Bstroud45,0
Netsurfer123,50
RG3Redskins,9
Jamesrobledo,2
Nowthenchildren,41
Sessionsmaster123,3
Steve the pie man,0
Dogfish19,0
WorlclTraveller101,0
Windstorm234,0
Gooniesareus,0
Declan1171,0
Fist-a-gon I,0
JOSEPH JAKEEM LOZADA,0
Princess Sing,0
Alonso9825,0
Elpoopechabra,0
Jimmymcjimjim,0
Timeywhimey64,0
LP4MI,0
Chrismann123,0
The Nbaka is a major lie,0
Gene Leggings,0
Yuryger,0
Eph516,0
Motemota9,0
BasedB0yz,0
Youaloser,0
Kyfive98,0
VickyLoveYou,0
"Bob ""THE TRUTH"" Bobbles",0
ClarkLuke,0
Nivk s123,0
V870Hurricanes,0
9bZkp7q19f0,0
ManUtd4Life,0
Swaggiee,0
Ragterminate,0
Myname25,0
EMDEEDUBLU,0
Deadpoolsawesome,0
Britanic2154a,0
HashtagGags,0
That iPhonehurricane guy,0
Victorjames123,0
Brandon98024,0
EpicPieGuy,0
Asarkarsaheb,0
Benspring100,0
Joshdino12,0
Shenron1,0
