username1,pagetitle1,pagetitle2,counter,hop,nhop
59 units,It (1990 film),Davy Jones' Locker,19,3,1
Lolcopter213,Hu Yaobang,Martial law,57,2,1
Lildanny420,Fantasy Island (UK amusement park),Fantasy Island (UK amusement park),60,1,1
Yobluesuedeshoes,Thor (film),Heinrich Bär,75,3,1
Yobluesuedeshoes,Heinrich Bär,Cotswold Olimpick Games,76,3,1
Joedingles,Harold Godwinson,Culture of Japan,106,3,1
SlapInFace,Category:Weather events in Australia,Mining in Australia,109,2,1
Pradhvin,Wrexham,Mary Shelley's Frankenstein (film),126,3,1
Treyfrac,Wally the Green Monster,Dustin Ackley,142,2,1
16samueljames96,Physical attractiveness,Like,151,2,1
Slice04,RAS (musician),RAS (musician),169,1,1
Crpto143,Oat,Hydropower,177,3,1
Lesterklauser,Egg allergy,Egg allergy,184,1,1
Stormblade120,Alexander Fleming,Alexander Fleming,203,1,1
Douye',Template:Official website/doc,Template:Infobox musical artist/doc,215,-1,0
Douye',Template:Infobox musical artist/doc,User talk:Douye',227,-1,0
Hayes52596,Wayne's World 2,Arin Ilejay,229,2,1
Hayes52596,Arin Ilejay,King of the Hill,230,3,1
Capslock123,Brentford F.C.,Thomas Vermaelen,234,3,1
Capslock123,Gareth Bale,Wikipedia:Sandbox,239,4,0
Capslock123,Gareth Bale,Andrey Arshavin,241,2,1
Capslock123,Andrey Arshavin,Tottenham Hotspur F.C.,242,1,1
Capslock123,Tottenham Hotspur F.C.,Arsenal F.C.,244,1,1
AbeRulez,LazyTown,LazyTown,246,1,1
Alisonpark,Mean Girls,Mean Girls,293,1,1
TheSonIMightHaveKnown2432,"Luis Alberto (footballer, born 1992)","Luis Alberto (footballer, born 1992)",296,1,1
TWOpac Is Aliv3,B.A.T. (G.I. Joe),Bat,323,3,1
Davidlee98,User talk:Davidlee98,Franck Ribéry,441,-1,0
Johnlich,History of the Aztecs,Ouija,498,3,1
Auzzieowen,Mark Briers,John O'Shea,510,4,0
Fakekittens,Dictionary,Iota,544,3,1
Fakekittens,Iota,Minesweeper (video game),545,4,0
Ndrezner101,Maple,List of Canadian plants by family,551,4,0
Twistedx agony,That '70s Show,Among the Hidden,570,4,0
Shadowblade468,Battle of Fredericksburg,Battle of Fredericksburg,595,1,1
David Olaru Mr Men,Renault Clio,Renault Modus,597,1,1
David Olaru Mr Men,Renault Modus,Ocean Park Station,600,4,0
David Olaru Mr Men,Ocean Park Station,The Mr. Men Show,601,4,0
David Olaru Mr Men,London Borough of Haringey,User:David Olaru Mr Men,603,-1,0
David Olaru Mr Men,The Mr. Men Show,Renault Clio,606,4,0
David Olaru Mr Men,Renault Clio,User talk:Hedoport,607,-1,0
THE EVIL CHEESE,Truck,House,643,2,1
Urielv1999,Korean War Veterans Memorial,Chicago Colleens,668,4,0
Urielv1999,Chicago Colleens,Vietnam Veterans Memorial,669,3,1
Pølseelsker22,Grand Alliance (League of Augsburg),Bear (gay culture),671,3,1
Hackahdudeman,Baby Einstein,Washington Monument,697,3,1
Edshd,Turton School,Twist and Pulse,725,4,0
ThatGuyFromUS,Craig Fairbrass,Lake Okeechobee,763,4,0
Brooklynmonkey,Kazuki Kaneshiro,Young Democrats of America,830,3,1
Brooklynmonkey,Communist Party USA,101 People Who Are Really Screwing America,833,4,0
Lucascampoli184109,Canadians,Ecological succession,865,3,1
Sean1875,Alex Harris (footballer),Cammy Bell,870,3,1
Ddorai9,Loïc Rémy,Yoo Jae-suk,921,4,0
Ddorai9,Yoo Jae-suk,Roberto Martínez,922,3,1
Imjamesbonci,Kat Slater,Horrid Henry: The Movie,940,3,1
Imjamesbonci,The Voice of Ireland,EastEnders: E20,958,3,1
Alwaleed3339,Şehzade Mustafa,Selim III,1075,2,1
Ezekielhaha,Fnbox,Zamin Huseynov,1085,-1,0
Trencherswag,Toilet paper,Vic Fuentes,1121,4,0
Trencherswag,"Leominster, Massachusetts",Parmigiana,1124,4,0
Liamk1109,Moshing,RC Racer,1149,4,0
Liamk1109,Sandpit,Garfield,1151,4,0
Groucho725gr,Bryce Harper,Ndamukong Suh,1213,3,1
Crashborgeth,1998 FIFA World Cup,1998 FIFA World Cup,1230,1,1
QT pie 32,Pavel Datsyuk,Bristol Palin,1243,3,1
Dlsk144,Singing,Talk,1247,4,0
Dlsk144,Singing,Sleep,1249,2,1
Manmathews,The arts,Popular culture,1262,2,1
هاشل بن زايد آل مبارك الكبيسي,Wikipedia:Miscellany for deletion/User:HRH Prince Hashel,Wikipedia:Miscellany for deletion/User:HRH Prince Hashel,1271,-1,0
Jesuspigster,Rory McGrath,Vic Firth,1290,3,1
FanforClark12,The Torkelsons,One (Swedish House Mafia song),1298,4,0
FanforClark12,One (Swedish House Mafia song),Kidz Bop 23,1299,5,0
FanforClark12,Kidz Bop 23,Kidz Bop,1300,1,1
FanforClark12,Kidz Bop,List of Unicode characters,1301,4,0
FanforClark12,List of Unicode characters,Lycian alphabet,1302,2,1
FanforClark12,Lycian alphabet,Sydney Lassick,1303,5,0
FanforClark12,Grab It Here,Hypermart USA,1306,3,1
FanforClark12,Otasco,The Replacements (TV series),1313,4,0
TheEditer01,Orchestra,Buttershaw,1336,3,1
Revelations17,Randy'L He-dow Teton,Randy'L He-dow Teton,1338,1,1
Thydoom,Sabine Moritz,Organism,1391,3,1
Thydoom,Household silver,Boeing,1394,3,1
Thydoom,Wildlife smuggling,"Selwyn College, Auckland",1397,4,0
Thydoom,"Worms, Germany",Justin Bieber,1399,3,1
Thydoom,Justin Bieber,Poker,1400,2,1
Yorkerman,User:Yorkerman,Alberto Del Rio,1433,-1,0
Yorkerman,Alberto Del Rio,List of WWE personnel,1435,2,1
Slamgaap420,Barry Williams (actor),Townsend Saunders,1479,4,0
Slamgaap420,Townsend Saunders,Education Management Corporation,1481,3,1
Slamgaap420,Education Management Corporation,Accountant,1483,3,1
Slamgaap420,Accountant,Lose Yourself,1485,3,1
Billydimtsis,Alexander Grothendieck,Alexander Grothendieck,1489,1,1
Koalas11111,User:Koalas11111/sandbox,Hunter-gatherer,1499,-1,0
Waqwaqle,Matthew Bryden,Al-Shabaab (militant group),1513,2,1
Sanjayduttinghouse,History of Victoria,Sexual reproduction,1592,3,1
Joemiks,Kesha,Wild boar,1606,3,1
Joemiks,Georg Elfvengren,Vacuum,1608,3,1
Joemiks,Thor (film),Joppenbergh Mountain,1616,4,0
Joemiks,Joppenbergh Mountain,Richard Wagner,1617,2,1
Felonynigg,Iraq,Iraq,1619,1,1
Guitarman2899,Colin Kaepernick,Dominican Republic,1633,2,1
Guitarman2899,Dominican Republic,Joe Flacco,1634,3,1
Awesome08102003,QWERTY,Henry,1653,3,1
Oelke,Fat acceptance movement,Islam in Sweden,1683,2,1
Ehaddadmest5484,Sputnik 1,International Space Station,1693,2,1
Smartmart27,List of United States presidential assassination attempts and plots,Anarchism,1698,2,1
Jacob.t98,Stevan Jovetić,Alex Oxlade-Chamberlain,1700,2,1
Jacob.t98,Gareth Bale,Luka Modrić,1704,2,1
Jacob.t98,Luka Modrić,User:Mattythewhite,1705,-1,0
Idanreich4,Hapoel Tel Aviv F.C.,Frank Rijkaard,1752,3,1
Brave589,Māori King Movement,Māori King Movement,1781,1,1
Nager1234,Cuthbert,Monk,1796,1,1
Mattsoles,Rakuno Gakuen University,Mark Birkinshaw,1857,5,0
DonkyGuy92,Xenophon,Ormiston College,1870,5,0
Doomlazy,Headphones,Wikipedia:STiki,1891,-1,0
Doomlazy,Iron Man,Beats Electronics,1895,3,1
Mynameisrichard,Golden ratio,Integer,1907,2,1
Mynameisrichard,Integer,User talk:Smileguy91,1913,-1,0
Aldenbb,College of William & Mary,LAMPS,2008,4,0
Aldenbb,LAMPS,"Canterbury, Connecticut",2009,3,1
Thewikieater98,Kevin Brooks (writer),IBUS (device),2019,6,0
Thewikieater98,The Gladiator (1986 film),Tripura,2032,4,0
Riverhawk60,Times Square,Golden Gate Bridge,2059,3,1
Wassupgurl99,John Pemberton,John Pemberton,2078,1,1
Wassupgurl99,John Pemberton,Nancy Hart,2079,3,1
Wassupgurl99,Nancy Hart,Observation,2080,2,1
Broster123,Leeroy Jenkins,Jack MacDonald (communist),2088,5,0
Broster123,Jack MacDonald (communist),Voice over IP,2090,4,0
Essa1212,Bag,Leg,2105,3,1
Essa1212,Leg,Bomb,2107,3,1
BigJFreeeb,Lutheran High School North (Texas),Dave Ramsey,2134,4,0
Silvea12,Bialik College,Bialik College,2174,1,1
Arindam91192,WWE World Heavyweight Championship,History of WWE,2206,1,1
Arindam91192,History of WWE,Paul Heyman,2215,1,1
Hasan Ertik,Î,Romanian language,2229,2,1
Richie gp 81,San Francisco de Macorís,San Francisco de Macorís,2245,1,1
Sunnyd12,Mathew,Mathew,2278,1,1
S23994,Mait Künnap,Matt Merullo,2293,4,0
SparklyDeathKitten,Motörhead,Phencyclidine,2300,2,1
Brandnewmicthis,Desk,Desk,2307,1,1
Ryanbowden,Sri Lanka,Gay,2317,3,1
Dickholes123,William Gilbert (astronomer),William Gilbert (astronomer),2321,1,1
Agt2008fan,America's Got Talent (season 3),Music Bank (TV series),2326,3,1
Chairmode1,Urinal,Urinal,2345,1,1
Superquintessencekaren,Received Pronunciation,Threshold of originality,2351,3,1
Superquintessencekaren,Threshold of originality,Template:Xpd/doc,2352,-1,0
Superquintessencekaren,Template:CURRENTYEARCC/doc,Wikipedia talk:Twinkle,2354,-1,0
Superquintessencekaren,Wikipedia talk:Twinkle,List of Bible verses not included in modern translations,2355,4,0
Limbsofthetaken,Ri Myong-guk,Ri Myong-guk,2357,0,1
Conord26,River Shannon,History of Ireland,2419,2,1
StevieWonderman69,Orange (Al Stewart album),KOMB,2432,5,0
Sarahfleck,Tokyo Yakult Swallows,Rat Attack!,2502,5,0
Sarahfleck,Rat Attack!,Green Eggs and Ham,2503,4,0
Sarahfleck,Green Eggs and Ham,Load (album),2504,4,0
CoMeToBeDeYeS1029384756,Chatham Grammar School for Boys,Kadanthodu,2535,-1,0
Strength1234,Glenn Whelan,"Michael Brown (footballer, born 1977)",2542,3,1
