username1,pagetitle1,pagetitle2,counter,hop,nhop
Omish Mon,"Greene, Iowa",Korea,27,2,1
DickMcMillan,Mobage,DeNA,116,1,1
Masternumber11,Office of International Treasury Control,Office of International Treasury Control,120,0,1
Flobadobalob1,Dean Hammond,Placental expulsion,122,4,0
Flobadobalob1,Placental expulsion,Velma Dinkley,123,4,0
DonaldDuckis2gangsta,The Butler,Herndon High School,183,4,0
DonaldDuckis2gangsta,"Westfield High School (Fairfax County, Virginia)",User talk:DonaldDuckis2gangsta,185,-1,0
Ccervasio,Glenn Sutko,North Forsyth High School (Georgia),199,4,0
Imaboss12,2013 NBA Finals,Mexico–United States border,209,3,1
Elf 1982,Simon Humberstone,Simon Humberstone,221,1,1
Timbocales,Black Hills,The Bugs Bunny Birthday Blowout,229,4,0
Havokonfire,J. Evan Bonifant,User:Johnpacklambert,241,-1,0
Mileytwerkedonrobinthicke,Entrepreneurship,Entrepreneurship,259,1,1
Bomb.at16,Ashwini Ponnappa,Roja (actress),261,4,0
Aitheshaam,Pakistan Football Federation,Pakistan national football team,265,1,1
Aitheshaam,Pakistan national football team,India national football team,266,1,1
Aitheshaam,India national football team,Daniel Sturridge,268,3,1
Semencannon23,Schaumburg High School,Schaumburg High School,298,1,1
Republican5555,Speeches of Barack Obama,Border control,303,3,1
Republican5555,Border control,Lucid dream,304,3,1
Republican5555,Lucid dream,Mexico–United States border,306,3,1
Hitlah did nothin wrong,Team Fortress 2,User talk:Hitlah did nothin wrong,332,-1,0
Stonedashellforever,Shampoo,Emma Stone,369,3,1
Clairbear999,Geolocation software,AT&T U-verse,379,3,1
Sweetlouis,Louis Tomlinson,Louis Tomlinson,404,1,1
CaptainUrinal,List of animal sounds,Emmanuel Leku Apuobo,423,4,0
CaptainUrinal,List of minor planets/100801–100900,Ice Cube,428,4,0
Redux23,Airplane,Units of paper quantity,441,3,1
בנימין אזולאי,Doron Perkins,Antoine Walker,446,3,1
בנימין אזולאי,Mirza Teletović,User talk:בנימין אזולאי,450,-1,0
BlazersROCK,Iceland–India relations,Sixteenth note,458,3,1
The Mechanic historian,Tomb of Genghis Khan,KV62,483,3,1
The Mechanic historian,Chair,Tomb of Genghis Khan,486,4,0
The Mechanic historian,Willy,User talk:The Mechanic historian,489,-1,0
Oworthington,Library of Congress,United States Capitol,528,1,1
Johnnysimms,James Hetfield,Megadeth,538,1,1
Bensonkelvin,Posting style,Kennis Music,543,4,0
Cheese buffalo peter,Pen,Pen,557,1,1
Strababla,Shanghai Tower,Shanghai Tower,561,1,1
Strababla,Gensler,James Stirling (architect),564,3,1
AlphaCrest,User talk:AlphaCrest,Desalination,584,4,0
Saske678,4.2 kiloyear event,"February 15, 2003 anti-war protest",589,4,0
Saske678,"February 15, 2003 anti-war protest",Military,592,2,1
Tommytrash14,Showtek,Hodgy Beats,598,3,1
Tommytrash14,Domo Genesis,Andy Milonakis,603,3,1
Truthbetold1234567,List of transgender-related topics,Camp Trans,645,2,1
Jmarx722,Popular and Social League of the Great Sahara Tribes,Luciano Borsato,654,5,0
Alialialialidog,Chris Watson,George Reid (Australian politician),698,1,1
Awestrucked,Josh Garza,Josh Garza,702,1,1
SwiftKey12345,Baccalaureate School for Global Education,Robert Bales,704,4,0
GrizzBB,Zynga,When God Writes Your Love Story,710,4,0
Lexusnexus123,The Expendables 3,Lex Luger,763,2,1
Xtremest1332,Melbourne Bitter,User talk:Xtremest1332,784,-1,0
Huxyboy,Realm of the Mad God,William Buckley (convict),797,4,0
Huxyboy,William Buckley (convict),Doctor Who,799,3,1
Huxyboy,Realm of the Mad God,User talk:Huxyboy,801,-1,0
XdoomdragonX,Mediterranean Sea,Athens,808,1,1
Jerome2013,Ryback,User talk:Jerome2013,836,-1,0
Jerome2013,User talk:Jerome2013,Big Show,837,4,0
Jerome2013,Big Show,Talk:Dwayne Johnson,840,5,0
Jerome2013,User:Jerome2013/sandbox,Mason Ryan,849,-1,0
Harrymuir,Far Cry 3,Vans,856,3,1
Tommyjoerichardson,Super Shark,Food truck,879,4,0
ImOnGallifrey,Arthur Darvill,Billie Piper,885,2,1
Cmbswims,Billie Piper,Arthur Darvill,887,2,1
Mrduckbringer,Banjo-Kazooie (series),Windows 8,944,2,1
Thisisrilind,Jordi Alba,Bakaye Traoré,962,3,1
Thisisrilind,Sergio Busquets,Keisuke Honda,968,2,1
Thisisrilind,Keisuke Honda,Adem Ljajić,972,2,1
SuperDKing1999,List of All That cast members,All That (season 5),1045,1,1
Tommio6900,Joseph Akpala,Adam le Fondre,1059,2,1
Tommio6900,Nigel Adkins,Mladen Petrić,1063,3,1
Seashell Bay,Mercedes-Benz W222,Canimals,1072,4,0
Seashell Bay,Canimals,Nissan Juke,1073,3,1
Seashell Bay,Nissan Juke,Nissan Sunny,1074,2,1
Seashell Bay,Nissan Sunny,User:Seashell Bay/sandbox,1075,-1,0
Seashell Bay,User:Seashell Bay/sandbox,Peugeot 2008,1076,-1,0
Priya jain1002001,Pappu,Rahul Gandhi,1109,3,1
Dawgs29,Purple,Soapstone,1123,3,1
Abutalibsyed,Khadem caste,Khadem caste,1136,0,1
Owenhawkins291298,K Koke,K Koke,1151,1,1
Owenhawkins291298,Roc Nation,Charlie Sloth,1159,3,1
Owenhawkins291298,Charlie Sloth,Agatha Christie,1160,2,1
RATMRYAN,DOTA,Surrender of Japan,1177,3,1
Woody5244,"Woodside, South Australia","Woodside, South Australia",1196,1,1
Woody5244,"Woodside, South Australia","Oakbank, South Australia",1201,1,1
Lil B69,Bombing of Darwin,Ben Coleman,1212,5,0
Lil B69,Ben Coleman,Bombing of Darwin,1214,4,0
Sillywilly1233,Government of the United Kingdom,Modern immigration to the United Kingdom,1216,2,1
Sillywilly1233,Modern immigration to the United Kingdom,Nazi UFOs,1219,3,1
Sloth booobs,Iraq,Stephen,1232,2,1
Liverpoolfcboiz,Brown pigtoe,List of Ice Age characters,1250,4,0
Liverpoolfcboiz,Brown pigtoe,Well Done Abba,1252,5,0
Liverpoolfcboiz,Well Done Abba,Henry Gower,1253,4,0
Iloveakbar,Minnesota State University Moorhead,Minnesota State University Moorhead,1260,1,1
Braydanvm11,1237 Geneviève,Tha Carter IV,1286,4,0
Braydanvm11,Tha Carter IV,Gossip (Lil Wayne song),1288,2,1
Aan10akbar,Time Person of the Year,Mark Zuckerberg,1294,1,1
Joeyfareham,Young Jeezy,Young Jeezy,1301,1,1
Dontbescaredhomie544,Anthony Johnson (fighter),Bryan Caraway,1310,2,1
Hoju69,"Darbys Falls, New South Wales",Wyangala Dam,1331,2,1
Hoju69,Wyangala Dam,"Darwin, Northern Territory",1333,3,1
Hoju69,Muslim,Cowra,1342,4,0
Hoju69,Wyangala Dam,User talk:Hoju69,1346,-1,0
Ecspertoneverything,No,No,1353,0,1
Seemoar.buttz,"Deerfield, Illinois",Pringles,1401,3,1
Chezdoodlezzzz,"Mahopac, New York",Twinkie,1423,3,1
Chezdoodlezzzz,Twinkie,Cheese puffs,1424,3,1
Thejoycester,"All Hallows Catholic College, Macclesfield",User:MusikAnimal/old userpage,1467,-1,0
2514744않습,Help talk:Protection,User:Lucretius,1487,-1,0
Fincheyboy,Sagrada Família,Te Awamutu,1511,4,0
Fincheyboy,Te Awamutu,User:Tokyogirl79,1512,-1,0
공익광고협의회,Animax (South Korea),Jajangmyeon,1552,3,1
George Livaditis,Aussie,Americans,1565,2,1
Coronadodevaco,Daejeon,Daejeon,1568,1,1
Coronadodevaco,Sejong the Great,Chungdahm Learning,1571,7,0
Boss Around The World,Toyota Aygo,User talk:Boss Around The World,1701,-1,0
Boss Around The World,Opel Adam,Fiat Panda,1704,2,1
Boss Around The World,Fiat Panda,Peugeot 2008,1705,2,1
Boss Around The World,Peugeot 2008,Citroën C3 Aircross,1706,3,1
Boss Around The World,Citroën C3 Aircross,Mitsubishi Colt,1708,3,1
Kamel86969,Billimari,Wyangala Dam,1728,3,1
Kamel86969,Wyangala Dam,Wikipedia:Teahouse/Questions,1732,-1,0
Kamel86969,Wikipedia:Teahouse/Questions,Cowra,1742,4,0
Kamel86969,Cowra,Parkes,1748,5,0
123456POKEMON,Full moon,Dog food,1800,3,1
Cokeandsoda1234,Amoeba (genus),Herbert Saffir,1809,4,0
Cokeandsoda1234,Herbert Saffir,Mormonism,1810,3,1
Highlandfalls,Barry Pepper,Gerard Butler,1812,2,1
Tuuurry,User:Tuuurry/sandbox,Dani Osvaldo,1818,-1,0
Shoun Sarwade,Sarva Shiksha Abhiyan,Prabhu Deva,1828,4,0
Shoun Sarwade,Contribution,Donation,1830,1,1
Shoun Sarwade,Total Overdose,Prince of Persia,1842,3,1
CA41319,Rozala of Italy,Robert I of France,1855,2,1
CA41319,Robert I of France,Hermann Billung,1856,3,1
NintendoE32013,Pikmin 3,Wii U,1884,1,1
Ghtyghjhb,List of video game consoles,Wikipedia:Sandbox,1911,5,0
