username1,pagetitle1,pagetitle2,counter,hop,nhop
Edit Author,DJ Aqeel,Sunburn Festival,8,4,0
Edit Author,Sunburn Festival,Anish Sood,9,1,1
Chimpoo1000,Brave (2012 film),User:Chimpoo1000,38,-1,0
CommOERChip,Pitivi,Big Sister,48,4,0
CommOERChip,Wikipedia:What Wikipedia is not,Timms,66,-1,0
CommOERChip,Template:WIKISOO Round 3,Template:Commoer SOO3,89,-1,0
CommOERChip,Template:Commoer SOO3,Template:WIKISOO Round 1,91,-1,0
Rydbergite,Talk:Polaron,Polaron,144,2,1
Rydbergite,Polaron,Lunar Atmosphere and Dust Environment Explorer,148,3,1
Rydbergite,Polaron,Fraternities and sororities in North America,151,3,1
Rydbergite,Fraternities and sororities in North America,Covenanter tank,152,3,1
Rydbergite,Covenanter tank,Mark 4 nuclear bomb,153,3,1
Hal.MacGregor,Wikipedia:VisualEditor,Muddebihal,161,5,0
Hal.MacGregor,Muddebihal,Nchelenge District,162,4,0
Hal.MacGregor,Mujhe Kucch Kehna Hai,Kingdom of Alba,170,4,0
Hal.MacGregor,Kingdom of Alba,Saihriem people,171,4,0
Hal.MacGregor,Kingdom of Alba,Pytheas,179,2,1
Eebeejay,"Maple Ridge, British Columbia",Haney Place Exchange,192,1,1
Eebeejay,Haney Place Exchange,The Sapphires (film),193,4,0
Eebeejay,The Sapphires (film),List of post-nominal letters in Canada,194,4,0
Eebeejay,List of post-nominal letters in Canada,Canadian Gemmological Association,195,1,1
Pachydermatous Mameluke,User:Pachydermatous Mameluke,Science and technology in Spain,203,-1,0
Muhammad Ibrahim Ahmad,Soekarno–Hatta International Airport,User talk:HkCaGu,214,-1,0
Muhammad Ibrahim Ahmad,User talk:HkCaGu,User:Muhammad Ibrahim Ahmad,215,-1,0
Muhammad Ibrahim Ahmad,User:Muhammad Ibrahim Ahmad,Garuda Indonesia,237,-1,0
Souagague,Best Employers in Canada (study),Target benefit plan,244,4,0
ImmersionHeaterGuru,Water heating,Electric heating,271,1,1
ImmersionHeaterGuru,Electric heating,Heating element,277,1,1
ImmersionHeaterGuru,Heating element,User:ImmersionHeaterGuru/sandbox,288,-1,0
ImmersionHeaterGuru,User:ImmersionHeaterGuru/sandbox,The Runelords,290,5,0
IngeWinter,User:IngeWinter,Wikipedia talk:WikiProject Medicine,318,-1,0
IA-chemist,Hyperconjugation,Baldwin's rules,362,3,1
IA-chemist,Baldwin's rules,Cyclobutadiene,365,3,1
IA-chemist,Cyclobutadiene,Bergman cyclization,366,2,1
IA-chemist,Bergman cyclization,Orbital hybridisation,367,2,1
IA-chemist,Cyclobutadiene,Irving Langmuir,374,2,1
IA-chemist,Irving Langmuir,Beta scission,375,3,1
IA-chemist,Beta scission,Nitric oxide,376,3,1
IA-chemist,Baldwin's rules,Superatom,380,3,1
IA-chemist,Bergman cyclization,Vinyl cation,382,3,1
Burgerconquest,The Art of Touring,Thursday (band),394,3,1
EricsonWillians,National Geographic Channel,John Carmack,424,3,1
EricsonWillians,Austin Osman Spare,Dani Filth,438,3,1
EricsonWillians,H. P. Lovecraft,H. R. Giger,444,1,1
EricsonWillians,H. R. Giger,Phirangipuram,447,4,0
EricsonWillians,Austin Osman Spare,Horror fiction,460,2,1
EricsonWillians,List of heavy metal bands by country,Sequence,616,3,1
Freewake,HIVE Projects,Deputy (Acadian),622,4,0
Freewake,Godavari River,User:Freewake/sandbox,625,-1,0
Freewake,User:Freewake/sandbox,Tariqa,644,4,0
Freewake,User:Freewake/sandbox,John Marco,646,6,0
AchisDeGeth,Gangu Teli,User talk:Flat Out,652,-1,0
AchisDeGeth,Gangu Teli,Jabez,657,-1,0
AchisDeGeth,Gangu Teli,Talk:Purushamedha,668,-1,0
AchisDeGeth,Gangu Teli,Fort San Juan (Joara),678,4,0
AchisDeGeth,Rakhi Sawant,Asaram Bapu,680,3,1
AchisDeGeth,Talk:Asaram Bapu,2013 Madhya Pradesh stampede,682,-1,0
AchisDeGeth,2013 Madhya Pradesh stampede,Juye Incident,684,4,0
AchisDeGeth,Juye Incident,Eight-Nation Alliance,686,3,1
AchisDeGeth,Eight-Nation Alliance,Old Summer Palace,687,2,1
AchisDeGeth,Old Summer Palace,"Matthew, Count of Boulogne",688,3,1
AchisDeGeth,Sexual jihad,Talk:Leopold II of Belgium,692,-1,0
AchisDeGeth,Talk:Leopold II of Belgium,Mark Sutton,693,4,0
AchisDeGeth,William of Norwich,Menahem Mendel Beilis,705,2,1
AchisDeGeth,Menahem Mendel Beilis,Rimbert,706,4,0
AchisDeGeth,Sigfrid of Sweden,People's Church of Africa,708,4,0
AchisDeGeth,People's Church of Africa,Nepal–Britain Treaty of 1923,709,4,0
AchisDeGeth,Nepal–Britain Treaty of 1923,History of Nepal,710,1,1
AchisDeGeth,History of Nepal,Talk:Ağdaban,711,-1,0
AchisDeGeth,Talk:Ağdaban,Aalborg,712,-1,0
AchisDeGeth,Aalborg,History of Venezuela,713,3,1
AchisDeGeth,History of Venezuela,Hedwig of Silesia,714,3,1
AchisDeGeth,Hedwig of Silesia,Konkan division,715,3,1
AchisDeGeth,Bandra Municipal Committee,Bandra,717,1,1
AchisDeGeth,Bandra,Padroado-Propaganda Schism,718,-1,0
AchisDeGeth,Padroado-Propaganda Schism,Rengma Naga,719,5,0
AchisDeGeth,Padroado-Propaganda Schism,2014 unrest in Bosnia and Herzegovina,725,4,0
