username1,pagetitle1,pagetitle2,counter,hop,nhop
Supboiii444444,Adrian Peterson,Sherron Collins,52,3,1
Mario9704,Sweet Electra,Provitamin,71,4,0
Popoto80,Jack-o'-lantern,Carey Price,80,4,0
TitsForWeeks,Apu Nahasapeemapetilon,Apu Nahasapeemapetilon,93,1,1
TitsForWeeks,Apu Nahasapeemapetilon,A Bug's Life,95,3,1
Poopsdegrace,Pinckney's Treaty,Centralia mine fire,197,4,0
Jonjonapplesauce,Gelatin,Gelatin,280,1,1
Jonjonapplesauce,Gelatin,Bruce Willis,281,4,0
KingofAwesome82,Ernest Rutherford,User talk:KingofAwesome82,335,-1,0
Adam 5322,Cantinflas,Cantinflas,337,1,1
PukhtoKhan,Ivanka Trump,Bilawal Bhutto Zardari,362,4,0
PukhtoKhan,Jared Kushner,Reema Khan,369,4,0
PukhtoKhan,Reema Khan,Maliha Lodhi,372,3,1
PukhtoKhan,Kajol,Badar Khalil,430,4,0
Alimalik10,Real Madrid C.F.,Isco,485,1,1
Alimalik10,Isco,Fault (geology),487,3,1
Alimalik10,Still life,Heart,490,3,1
Sexyalex123,Juwan Howard,Dan D'Antoni,493,2,1
Thebiggesttroll,Jenny Geddes,Rubyville Elementary School,572,5,0
Gametimewithbrendan,The Lord of the Rings,Afghanistan,637,3,1
BABatron22,Bridge,London Bridge,657,2,1
AWR+AWR+AWR,Astatine,The Diamond of Darkhold,678,4,0
AWR+AWR+AWR,The City of Ember,Carbon dioxide,680,3,1
Memy9909,Grand Duchess Anastasia Nikolaevna of Russia,50000 Quaoar,683,3,1
Memy9909,50000 Quaoar,1999 TR11,684,-1,0
Memy9909,Grand Duchess Anastasia Nikolaevna of Russia,User talk:Memy9909,686,-1,0
Memy9909,User talk:Memy9909,Mary Badham,687,1,1
Dinorexcoolio,Stone Age,User talk:Dinorexcoolio,702,-1,0
Tosspot1,The Kingsway School,The Kingsway School,721,1,1
Fingernails123,The Kingsway School,The Kingsway School,728,1,1
Selenagomezisanugget,Veterinary physician,Bread crumbs,738,3,1
Selenagomezisanugget,Casserole,Aesop,740,2,1
Kaleidostone,Belgium,Yttrium,746,3,1
Gillan200,Zimbabwe,Ozzy Osbourne,756,3,1
Gillan200,Ozzy Osbourne,Ayr,757,2,1
Jeffeeygee1234,Ed Helms,Jim Thome,766,3,1
Jeffeeygee1234,Jim Thome,Billy Cundiff,767,3,1
JohnLeet,Las Bocas,Las Bocas,773,1,1
The Post:)Trutthh,Ant-Man,Heliothis lucilinea,780,5,0
Ssdvfeferfgreregegegeegefgegr,Cellular respiration,Oxidative decarboxylation,790,3,1
Cliffhands,User talk:Cliffhands,Plus-size model,828,-1,0
Carter12345,Berlin,St. Louis Cardinals,896,3,1
Jb972511,Oniel Cousins,Jamal Lewis,907,2,1
Dellagon,User:Dellagon,User:Dellagon,932,-1,0
Dellagon,User:Dellagon,User:EvilHamster43,938,-1,0
Dellagon,User:EvilHamster43,Double lift,940,-1,0
Caifro,"Prince William, Duke of Cambridge",RedTube,957,4,0
Caifro,RedTube,Cristian Montaño,958,5,0
Stupidfartdoctor,Humour,Yogurt,969,3,1
EseKush562,Ghetto Boys,Courtney Thorne-Smith,986,4,0
Sittinbehindu,St. Thomas More School (Louisiana),St. Thomas More School (Louisiana),1008,1,1
Sittinbehindu,St. Thomas More School (Louisiana),Michael (archangel),1009,3,1
Adamantiumk,User talk:Adamantiumk,Wolverine,1016,-1,0
20znussenbaum,Punic Wars,Table (furniture),1027,3,1
20znussenbaum,Carthage,Punic Wars,1031,1,1
TTWackyDog,He-Man,Thomas the Tank Engine,1059,3,1
TTWackyDog,Johnny Appleseed,Layla,1061,4,0
Chi-chi00,Lemp Mansion,Lemp Mansion,1083,1,1
Gavinmiln666,N.W.A,Despicable Me,1098,3,1
Caillougotswag,Caillou,Caillou,1101,1,1
Jeulina,Beatrix of the Netherlands,Eastern Time Zone,1105,3,1
Yipperpoodle,"Barrett, The Honors College","Barrett, The Honors College",1109,1,1
Yipperpoodle,"Barrett, The Honors College",Arizona State University,1111,1,1
Osagiet001,User:Osagiet001/Tevin osagie,Teen Beach Movie,1120,-1,0
Osagiet001,Teen Beach Movie,Scary Movie 5,1122,3,1
HarrisonSheedy,PlayStation 4,Annie Leibovitz,1127,3,1
HarrisonSheedy,Annie Leibovitz,Neymar,1128,2,1
Sanninewater,Murr Television,George W. Mathews,1179,5,0
Friend7241998,Cypress Hill,User talk:Friend7241998,1195,-1,0
MooImAFox,Fly,Gregor Mendel,1218,3,1
MooImAFox,Gregor Mendel,User talk:MooImAFox,1221,-1,0
Glenmaura,Riverside School District (Pennsylvania),"Riverside Junior/Senior High School (Taylor, Pennsylvania)",1236,3,1
Jackwhilshere,Bourne End Academy,Bourne End Academy,1287,1,1
Rarity0701,User:Loriendrew,Talk:West Africa,1298,5,0
Rarity0701,Talk:West Africa,All-American Girls Professional Baseball League,1300,4,0
Rarity0701,All-American Girls Professional Baseball League,User talk:Rarity0701,1301,-1,0
Qxxxxq,Niels Bohr,Niels Bohr,1320,1,1
CarsonKayToTheMacs,Khan Academy,Delilah (missile),1327,4,0
Hacker3000,MC Hammer,MC Hammer,1342,0,1
Hacker3000,MC Hammer,Adebayo Akinfenwa,1348,4,0
EpicUltimateHacker,Hare,Chordate,1351,2,1
TotallyNotaHacker,War,Advertising,1356,2,1
SmartGuy108,Battle of Jaxartes,Battle of Jaxartes,1402,1,1
Pantzer101,Lizard,Otter,1412,2,1
AkisFocus,Counterconditioning,Arthur Riddell,1434,5,0
AkisFocus,Arthur Riddell,List of programs broadcast by Sprout,1435,4,0
AkisFocus,Arby's,Eliot Kid,1440,4,0
TomHallWithABall,"Tom Hall (cricketer, born 1930)","Tom Hall (cricketer, born 1930)",1455,2,1
Bobyyybbyy,Ballia,Norway,1478,3,1
ClockworksWiki,Mount Obama,Barrel roll,1518,4,0
Grusush,Turkey (bird),User talk:Grusush,1526,-1,0
Grusush,User talk:Grusush,Uncyclopedia,1527,-1,0
Buffalobills1234567890,Chad,Atlantic Ocean,1537,2,1
10stan10,Simon Stainrod,Simon Stainrod,1560,1,1
PRAMODTHAKARE555,Pratyusha Banerjee,Republican Party of India,1566,4,0
Juangarcia69,Propane,Talk:Offshore drilling,1581,4,0
Edward1901,"Mariner High School (Cape Coral, Florida)",North Fort Myers High School,1586,2,1
Anonymoouse....,7,Chronic obstructive pulmonary disease,1595,4,0
Pgall87,Supernumerary nipple,Hunting,1602,3,1
Pgall87,Tool,Hatred,1604,2,1
Montana Insanity,Switzerland,Judge Rotenberg Educational Center,1606,3,1
Tinylagoon007,Cube (film series),Cube (film),1610,1,1
Tinylagoon007,Cube (film series),User:Benboy00,1624,-1,0
Spoonicus2000,Catfight (video game),Schlieper Bay,1663,5,0
Yoyoyomaman123,Tarzan's Magic Fountain,The Cars,1701,4,0
Yoyoyomaman123,The Cars,Hickory Hill,1702,4,0
Yoyoyomaman123,Hickory Hill,User talk:Yoyoyomaman123,1703,-1,0
Intenyun,Justin-Siena High School,Vintage High School,1712,3,1
Intenyun,Justin-Siena High School,User:Intenyun,1722,-1,0
Jakesafirstein,List of Australian criminals,User talk:Jakesafirstein,1745,-1,0
Deathflame,The Lord of the Rings: The Return of the King,The Godfather,1774,2,1
Tariqmusiq,Tariq Hussain (musician),Tariq Hussain (musician),1784,2,1
7SolarStar7,Derp,Herbert (Family Guy),1807,4,0
Idaerstygg,User:Idaerstygg/sandbox,William Wallace,1820,-1,0
Grimrice,The X Factor (UK TV series),Grimsby Chums,1837,4,0
Grimrice,Grimsby Chums,Reality television,1840,3,1
Cam3924,The Temptation of St. Anthony by Salvador Dalí,Milky Way,1846,2,1
Zakman086,Monarchy of Spain,Lek Nana,1850,4,0
VanDerEyes,Hamilton-Wenham Regional High School,Montesquieu,1855,3,1
Dorsembal,Chicken Express,Harrison School,1874,5,0
CHUCKNORRIS3219,Time travel,Cumulonimbus cloud,1979,3,1
Joethetunley,Joe E. Tata,We're the Millers,1989,3,1
Thewolfman123,Crocodilia,Roman legion,2010,2,1
OpicumGroundZero,Vrhov Dol,Casuals United,2039,4,0
Jack Mcgrath,Juande,Gay Byrne,2083,4,0
Juande Concherion senór,Ken O'Halloran,Gay Byrne,2105,3,1
Lewismurray74,Boat,F.C. Copenhagen Reserves and Youth Team,2118,4,0
Lewismurray74,Girls Aloud,Harrogate Town F.C.,2120,3,1
Dr. Chickennug,IPhone 5C,Peru,2208,3,1
Youngmoneymike,Misao Okawa,Misao Okawa,2246,1,1
Youngmoneymike,Misao Okawa,Sarah Knauss,2247,2,1
Youngmoneymike,Trailanga,Devraha Baba,2250,4,0
69lol69,Nyjah Huston,User:Jackson Peebles,2258,-1,0
Zhoke3,Woodlawn High School (Baltimore),"Elkridge, Maryland",2272,2,1
Buynganocean,Emblem3,Emblem3,2290,1,1
Jascarforest40,Dzhokhar and Tamerlan Tsarnaev,Dzhokhar and Tamerlan Tsarnaev,2319,1,1
Jascarforest40,Dzhokhar and Tamerlan Tsarnaev,113th United States Congress,2325,2,1
Jascarforest40,Dzhokhar and Tamerlan Tsarnaev,User talk:Jascarforest40,2329,-1,0
Chacha85,Richard Gere,Scarlett Johansson,2377,2,1
Crabbes,Bearsden Academy,Dundee United F.C.,2393,3,1
Crabbes,Dundee United F.C.,Brodus Clay,2394,4,0
Crabbes,Brodus Clay,Goldust,2395,2,1
DavPilkeyWiki,Golden toad,Call of Duty: Modern Warfare 3,2397,4,0
Stuartm2010,Bearsden,Football in Scotland,2416,2,1
Stuartm2010,Football in Scotland,Roy Keane,2419,3,1
Soulahh,San Francisco 49ers,San Diego Padres,2425,2,1
GeronimoStiltonWiki,Humans,Golden toad,2428,2,1
EOTSDNA,User:EOTSDNA,Parisian (department store),2461,-1,0
EOTSDNA,Parisian (department store),Bed Bath & Beyond,2462,2,1
EOTSDNA,Bed Bath & Beyond,Özdere,2463,4,0
EOTSDNA,Battle of Opole,User talk:EOTSDNA,2471,-1,0
Bastet2018,Walnut,Sublime (band),2515,3,1
Bastet2018,Sublime (band),Peanut butter,2516,3,1
Bastet2018,Peanut butter,Brandon Flowers,2517,4,0
Brentbmw,IPhone 5S,IPhone 3G,2534,1,1
Brentbmw,Brent,Adam Weishaupt,2538,4,0
Slakino123,Andrea Poli,Gabriel Vasconcelos Ferreira,2567,2,1
Jlarks73,Cosmic microwave background,2010 Pakistan floods,2578,4,0
Abdullahalameri,United Arab Emirates national football team,Spain national football team,2601,2,1
Abdullahalameri,Spain national football team,Germany national football team,2602,1,1
Ducksnort,Jacksonville Jaguars,Jacksonville Jaguars,2625,1,1
GeneralGrievous123,New France,Rupert's Land,2638,1,1
Kkmacjoe,Troubleshooting,Punisher,2656,4,0
Pemborke,Waste container,User talk:Pratyya Ghosh,2664,-1,0
Editorcaleb,Oklahoma City,Seattle Storm,2690,2,1
Editorcaleb,Blake Williams,User talk:Editorcaleb,2693,-1,0
Editorcaleb,User talk:Editorcaleb,Sea slug,2694,4,0
Editorcaleb,School uniform,Wikipedia,2698,3,1
Wolfshark2014,Stewie Griffin,Freestyle scootering,2733,3,1
Klassification,The Magic School Bus (TV series),Dairy Queen,2750,3,1
Corny21567,Nullification Crisis,World history,2771,3,1
Kawaaidesua,Talk:The Holocaust,User talk:Kawaaidesua,2778,-1,0
Indiarocks365,Asiatic Lion Reintroduction Project,Kuno Wildlife Sanctuary,2794,1,1
Tankionline675,Saint Michael in the Catholic Church,Saint Michael in the Catholic Church,2806,1,1
Tankionline675,Saint Michael in the Catholic Church,Biological classification,2808,3,1
Blubber1234,The Jackson 5,George S. Patton,2815,2,1
Thomas Moulding,Perspiration,Mario Balotelli,2828,4,0
Waffellonacopterwall,The L.A. Riot Spectacular,Lists of deaths by year,2839,3,1
Cruzyxx,Hop,Peace,2899,3,1
Dan19999,Bristol Brunel Academy,Citizen Kane,2907,4,0
SpetsnazGru142,Battle of Cape Matapan,Battle of Princeton,2945,3,1
SpetsnazGru142,Battle of Princeton,1973 Israeli raid on Lebanon,2946,3,1
SpetsnazGru142,War on Terror,Battle of Cowpens,2948,3,1
SpetsnazGru142,Banastre Tarleton,User talk:SpetsnazGru142,2953,-1,0
ASS908,Minecraft,Meat,2997,3,1
Narwall101,President of the Senate,Kenston Forest School,3009,4,0
Sophiewatchesu,Injection,Operation,3011,5,0
Super jard,User:TheLongTone,User:Super jard,3023,-1,0
Super jard,User:Super jard,Forest School (Horsham),3031,-1,0
Tterraj123,Zdeno Chára,Dan Boyle (ice hockey),3039,2,1
WikiDiaDotWikiA,Wikipedia:Sandbox,Marie Antoinette,3043,-1,0
WikiDiaDotWikiA,Austria,Lê Quang Tung,3048,3,1
Tony feilding,Little Professor,1236 Thaïs,3079,5,0
Jaguarxljr,List of countries where Spanish is an official language,Concurrent powers,3100,3,1
Jaguarxljr,Concurrent powers,Natural and legal rights,3103,3,1
Every good username is taken,Teenage Mutant Ninja Turtles,Early human migrations,3107,3,1
Joebelow,Kiltimagh,Kiltimagh,3118,1,1
Draiocht39,Kiltimagh,Kiltimagh,3130,1,1
Timmccgraw12,The Vamps (British band),Kermit the Frog,3141,3,1
Erb Fanatic,Everyone Poops,Blue-faced honeyeater,3156,4,0
Broompower960,"Brentwood, Essex",Wikipedia:Blocking IP addresses,3189,5,0
Scorch66,Finland,Russians,3211,2,1
HEROBRINE666,Reyhanlı bombings,Derp,3223,3,1
Jenia640,Cradle of civilization,User talk:Jenia640,3234,-1,0
MrMoorelol,Dong Fangzhuo,Bebé,3237,3,1
Justinisweird,Lease (computer science),Lease (computer science),3243,4,0
