username1,pagetitle1,pagetitle2,counter,hop,nhop
Beefyted69,Ted Leonsis,Ted Leonsis,2,1,1
Bubeem,Alexander Büttner,David Luiz,21,3,1
Bubeem,Chris Smalling,Santi Cazorla,23,2,1
Henkdezwerver,Mike Ditka,Vandalism on Wikipedia,40,3,1
Username314159,Timbuktu,Arabian Peninsula,45,2,1
Eric t. midget,Ehlers–Danlos syndrome,Robin Quivers,59,2,1
Eric t. midget,Robin Quivers,America's Got Talent,60,2,1
Fake2.0,Mexican Drug War,Batman Begins,67,3,1
Fake2.0,Batman Begins,User talk:209.34.114.225,73,-1,0
Fake2.0,Pokémon HeartGold and SoulSilver,House,76,3,1
Fake2.0,The Matrix,Jac Weller,81,4,0
Itanatswaaa,Coca-Cola Zero,Murder of Stephen Lawrence,90,3,1
Nick 24b,Nathan For You,"Giddings, Texas",93,3,1
Honyooboo,Grassland,Grassland,97,1,1
Arsenal11110,Oliver Warner,FC Bayern Munich,105,3,1
IBlitzWing,Dumb (The 411 song),Dumb (The 411 song),131,1,1
Hughesyjj,List of non-marine mollusks of the Indiana Dunes,Ignatius of Loyola,138,3,1
Javacash14,"Woodbridge High School (Irvine, California)",Aaron Craver,154,4,0
IceHielo,Brokeback Mountain,Curry,181,3,1
Jarredjohnston,Hardwood,Harvard College,189,3,1
Frankaaah,Jason Orange,Gary Barlow,238,2,1
Frankaaah,5 Seconds of Summer,Cher Lloyd,243,2,1
Dantheman180,Kanō Jigorō,Kanō Jigorō,306,1,1
2fab4u,Ed Sheeran,5 Seconds of Summer,311,2,1
Jrv787,Nicolás Maduro,Nicolás Maduro,371,1,1
Jrv787,Nicolás Maduro,Chespirito,374,3,1
Jrv787,El Chanfle,Rubí,376,3,1
Jrv787,Barrera de amor,Will Friedle,380,4,0
Jrv787,Will Friedle,List of Good Luck Charlie episodes,381,2,1
Jrv787,List of Good Luck Charlie episodes,List of Shake It Up episodes,382,3,1
Jrv787,List of Shake It Up episodes,Ray Romano,383,3,1
Jrv787,Ray Romano,List of T.U.F.F. Puppy episodes,385,3,1
Jrv787,List of T.U.F.F. Puppy episodes,List of Crash & Bernstein episodes,387,4,0
Jrv787,List of Crash & Bernstein episodes,List of Everybody Loves Raymond characters,390,4,0
Jrv787,List of Crash & Bernstein episodes,Jeffrey Garcia,402,4,0
Jrv787,Jeffrey Garcia,Ed Boon,403,4,0
Jrv787,Ed Boon,Beauty pageant,407,3,1
MesserAbouter,James Bradford (weightlifter),Gmail,415,4,0
Desterpot,Esprit-Tranquille Maistral,Arcangelo Califano,425,-1,0
1STAPRIL2013,Hiroshima,Motorcycle,501,2,1
TurtleTom1096,Code Geass,Bleach (manga),508,2,1
