username1,pagetitle1,pagetitle2,counter,hop,nhop
Keana01,Jack Butland,Brek Shea,7,3,1
RevengeOfBHS,Michigan State University,Ohio State University,12,1,1
Iarockguy,Lazerfest,Lazerfest,22,0,1
Boyboy13,Speaker (politics),Real Madrid C.F.,24,2,1
Boyboy13,Real Madrid C.F.,Carolyn,25,4,0
Sje711,Rock,Marvin Gaye,38,2,1
Bucky12345,"Billett, Illinois","Billett, Illinois",53,1,1
Scallions1999,Hazel McCallion,Hazel McCallion,97,1,1
SPSpyro,Detroit Country Day School,Tony Scheffler,104,3,1
Zjslayer,List of Minnesota Civil War units,History of Minnesota,114,2,1
Ashman741,Stephen Fry,Prejudice,129,2,1
PayMeMyMoneyOwed,John David Cameron,John David Cameron,151,1,1
Poopnuke,Poop Chute,Poop Chute,208,1,1
Poopnuke,Intercontinental ballistic missile,Butt,213,4,0
Bluegenerate,May 1453 lunar eclipse,May 1453 lunar eclipse,216,1,1
A random noob,Characters of Halo,Talk:Chiltern Edge School,270,-1,0
Ggg2013,7 July 2005 London bombings,7 July 2005 London bombings,276,1,1
AdamSandlerSux,Los Santos Province,Makedonski Brod,291,3,1
Funfuntimes50,Dawson City,User:Orangemike,318,-1,0
Jaimenandnick,Sausage,Stopcock,321,3,1
ReggieReggieReggieReggie,Cherokee,Seminole,323,2,1
Barcaboy555,Abhijit Mukherjee,Guillem Balagué,404,4,0
Marco Calong Balatucan,America's Next Top Model (cycle 10),Asia's Next Top Model (cycle 1),415,3,1
Jafita32,Igneous rock,User talk:Jafita32,454,-1,0
Katetha,Scooter Magruder,Alex Day,489,3,1
Katetha,Alex Day,Phil Lester,494,2,1
Katetha,Talk:Phil Lester,Posh,499,-1,0
Katetha,Posh,Glabella,513,4,0
Katetha,Glabella,Dan Howell,514,4,0
Waxbakad,Czech Republic,Näääk,534,5,0
Footballxpert,Vincent Kompany,Dale Stephens (footballer),574,3,1
Sushil231088,Bull,Bull,579,1,1
Sushil231088,Bull,Collage,581,3,1
Sushil231088,Bull,User:Sushil231088/sandbox,587,-1,0
Sushil231088,Bull,User:Sushil231088/Bodarli Village,589,-1,0
Nal-alami12,Bro,Arabs,607,3,1
JGB91,Craig,Gering,637,-1,0
John Trollstone,Peter Randall-Page,Rahimabad Du,640,4,0
Cbegman19,P. K. Subban,Common snapping turtle,647,3,1
Fatpeopleunite54,Old Navy,300 (film),651,3,1
