username1,pagetitle1,pagetitle2,counter,hop,nhop
Lvansteenvoort,Frederick Augustus Muhlenberg,Frederick Augustus Muhlenberg,0,1,1
Lvansteenvoort,Frederick Augustus Muhlenberg,"Reading, Pennsylvania",2,1,1
Lvansteenvoort,Frederick Augustus Muhlenberg,User:Lvansteenvoort,15,-1,0
Lvansteenvoort,User:Lvansteenvoort,User:Lvansteenvoort/Berks Heim,17,-1,0
Lvansteenvoort,Frederick Augustus Muhlenberg,File:Muhlenberg Greene Architects Logo.png,20,-1,0
Lvansteenvoort,Perkins and Will,Wikipedia talk:Articles for creation/Muhlenberg Greene Architects,23,-1,0
Lvansteenvoort,Frederick Muhlenberg (disambiguation),Frederick Augustus Muhlenberg (educator),39,1,1
Lvansteenvoort,Muhlenberg,Frederick Muhlenberg,46,1,1
Lvansteenvoort,Frederick Augustus Muhlenberg,User talk:Dodger67,50,-1,0
Lvansteenvoort,Wikipedia talk:Articles for creation/Muhlenberg Greene Architects,User talk:Bonkers The Clown,91,-1,0
Lvansteenvoort,Wikipedia talk:Articles for creation/Muhlenberg Greene Architects,Muhlenberg family,93,2,1
Lvansteenvoort,Muhlenberg family,User talk:Sionk,94,-1,0
Lvansteenvoort,Medical Arts Building,"Medical Arts Building (Reading, Pennsylvania)",127,1,1
Lvansteenvoort,User:Lvansteenvoort,Talk:Rainscreen,154,-1,0
Aschimelfenig,User:Aschimelfenig,Toxicodynamics,161,-1,0
113baqir113,Jawdat Al-Qazwini,User:113baqir113,273,-1,0
Ruebenross,"List of senators elected in the Philippine Senate election, 2013",Template:Philippine political parties,295,2,1
Ruebenross,Template:Philippine political parties,Bam Aquino,297,-1,0
Ruebenross,Sonny Angara,Alan Peter Cayetano,314,1,1
Ruebenross,16th Congress of the Philippines,User:Ruebenross,330,-1,0
Ruebenross,16th Congress of the Philippines,The Reunion (2012 film),337,3,1
Ruebenross,The Reunion (2012 film),Nur Misuari,338,4,0
Ruebenross,Moro National Liberation Front,Internet in the Philippines,344,3,1
Ruebenross,User:Ruebenross,Template:Supernaturalnav,346,-1,0
Kumbreviciute,User:Kumbreviciute,Rake,349,-1,0
LucaTea,User:LucaTea,List of festivals in Canada,351,-1,0
Spyglasses,User talk:Spyglasses,Synchronous condenser,355,5,0
Spyglasses,Synchronous condenser,Hemodialysis,361,3,1
Spyglasses,Hemodialysis,Charles Villiers Stanford,362,3,1
Spyglasses,Charles Villiers Stanford,Charles Wood (composer),363,2,1
Spyglasses,Charles Wood (composer),Herbert Howells,364,1,1
Spyglasses,Herbert Howells,Lollardy,397,2,1
Spyglasses,Lollardy,Gamma-Aminobutyric acid,398,4,0
