username1,pagetitle1,pagetitle2,counter,hop,nhop
Franksmith229,Chandler Preparatory Academy,Electric guitar,28,3,1
Franksmith229,Electric guitar,Butterfly knife,32,3,1
TreesAreNotGood,Pipipi,Star Trek,39,3,1
Rileywwofs1,British Rail Class 37,"Tattershall Castle, Lincolnshire",45,3,1
Tryuee,Johannes Gutenberg,The Whitest Kids U' Know,66,4,0
Vanda0101,Dunfermline Athletic F.C.,Middlesbrough F.C.,88,2,1
Vanda0101,Middlesbrough F.C.,Charlton Athletic F.C.,89,2,1
Beanstalkjack,A Serbian Film,Grammar,115,3,1
Dick and dom,Post office,Waste container,152,3,1
Rochestersais,Same-sex marriage in the United States,Same-sex marriage in the United States,159,1,1
Kenshiinalternateform,Boston,User talk:Gogo Dodo,162,-1,0
Justingiovanni,Jazz,Casey Affleck,188,3,1
Hdskumm,Integrity 2000,Integrity (band),244,1,1
Knowledgeball,Maksim Gelman stabbing spree,Scottish Football Association,277,3,1
Vallpages,Wikipedia:Wikipediholism test,Sly Cooper,319,3,1
WaffleMuncher,Lighthouse of Alexandria,Deer,335,3,1
5646547654653452a,Lighthouse of Alexandria,Gogo Dodo,352,3,1
Wowsas67,Giza Necropolis,Gogo Dodo,355,4,0
Dylanka126,Ottoman Empire,Talk:Russia,361,3,1
Shmehh36,Muammar Gaddafi,Libyan Civil War,374,2,1
Jackcars123,Darren Sharper,Jacoby Jones,381,2,1
Mills3270,Conway Twitty,Stanisław Lem,386,3,1
Johnnojammy,Leongatha,Leongatha,406,1,1
Shijomonthomas,Electrostatic discharge,Kim Yong-nam,408,4,0
Onixgh,The Mosslands School,The Mosslands School,411,1,1
ValuedContributor,List of crew-served weapons of the U.S. Armed Forces,Talk:Ted Bundy,428,-1,0
ValuedContributor,Talk:Ted Bundy,User talk:Gogo Dodo,432,-1,0
Watdahek,Sonny Bill Williams,QWERTY,459,3,1
Watdahek,QWERTY,Richie McCaw,460,3,1
Sarahmartinofnewyork,"Sir Samuel Garrard, 4th Baronet",Wladimir Talanczuk,472,5,0
Sarahmartinofnewyork,Wladimir Talanczuk,Clarinet,473,3,1
Sarahmartinofnewyork,Clarinet,Sudhakarrao Naik,476,5,0
