username1,pagetitle1,pagetitle2,counter,hop,nhop
Ronni3rockstar,Aces & Eights,Aaron Hernandez,18,3,1
SnottyGomez,Ilya Kovalchuk,Ilya Kovalchuk,22,1,1
Iamanawesometaco,Sidekick,Sidekick,26,1,1
Wiki8613,B. R. Shetty,Abu Dhabi Indian School,34,3,1
Sermoyboy1996,Birdman discography,Stay Trippy,41,3,1
Nizam655,Sugar sand,Talk:J. K. Rowling,55,-1,0
Nizam655,Talk:J. K. Rowling,User talk:Nizam655,56,-1,0
Nizam655,Applied science,Technological revival,88,2,1
Nizam655,Technological revival,Global Data Synchronization Network,91,4,0
Nizam655,Welfare technology,Dell Networking,96,4,0
Nizam655,Dell Networking,Ohio State Route 505,97,5,0
Nizam655,SLC3A2,Minemhat,119,5,0
Brthehtr,The Powerpuff Girls,Tara Strong,150,1,1
Vincexrapunxel,The Monster Ball Tour,MDNA (album),165,2,1
Vincexrapunxel,Marry the Night,User talk:Vincexrapunxel,170,-1,0
Vincexrapunxel,User talk:Vincexrapunxel,Lady Gaga,172,4,0
Vincexrapunxel,User talk:Vincexrapunxel,The Block (Australian TV series),178,5,0
Vincexrapunxel,The Block (Australian TV series),Lady Gaga Fame,179,4,0
Vincexrapunxel,Lady Gaga Fame,MTV Video Music Award,180,3,1
Vincexrapunxel,MTV Video Music Award,Zedd (musician),181,2,1
Cjc14752,Jonathan Alder High School,Gonzaga College High School,192,4,0
Cjc14752,Gonzaga College High School,"Patrick Henry High School (Hamler, Ohio)",194,5,0
Big.glasses101,Kristen Stewart,Lizzy Pattinson,220,2,1
Big.glasses101,Lizzy Pattinson,Kristen Stewart,221,3,1
Rdtfbjnkiytf,United States dollar,United States dollar,256,1,1
Angeloquitonz,Kismet (robot),Jassim bin Mohammed Al Thani,270,4,0
Skeamo1,Robert Menzies,Robert Menzies,288,1,1
Briguys1,Bomani Jones,Bomani Jones,345,1,1
Adetka,Theft,Eric Holder,386,3,1
