username1,pagetitle1,pagetitle2,counter,hop,nhop
Juanalbarran243,Veritasium,Futurecop!,10,5,0
Juanalbarran243,Futurecop!,Andrés Manuel López Obrador,11,4,0
Juanalbarran243,Raiders of the Lost Ark,Need for Speed: Most Wanted (2012 video game),15,3,1
Juanalbarran243,Need for Speed: Most Wanted (2012 video game),The Lego Movie Videogame,16,2,1
Rickeliason,Prem Kishore Patakha,Cryolipolysis,49,5,0
Bgitzen,List of Internet exchange points by size,Talk:List of Internet exchange points by size,61,-1,0
U932,User:U932,Calculus,66,-1,0
Infamous Castle,City of London Police,Nootropic,102,3,1
Infamous Castle,Road Rash,Kadal (2013 film),111,4,0
Infamous Castle,Computer engineering,United States Department of the Treasury,121,3,1
Infamous Castle,Water-electrolyte imbalance,Qin Jiushao,130,4,0
Infamous Castle,Head-Royce School,Less-than sign,175,4,0
Infamous Castle,User:Infamous Castle,Leicester,183,-1,0
Infamous Castle,Leicester,George Zimmer,187,3,1
Infamous Castle,Damages,Hernia,190,4,0
Infamous Castle,Camouflage,Transformer types,193,3,1
Infamous Castle,Anna Karenina (2012 film),Persuasion,202,3,1
Infamous Castle,Persuasion,Juan Román Riquelme,203,4,0
Infamous Castle,Matis,"United States House of Representatives elections, 2012",206,4,0
Infamous Castle,User talk:173.196.174.125,Ida B. Wells,216,3,1
Infamous Castle,Apollonius of Rhodes,Set (game),232,3,1
Infamous Castle,Authority,List of Diary of a Wimpy Kid characters,243,4,0
Infamous Castle,I Knew You Were Trouble,Robert Guest,269,4,0
SAMI.Bot,User:SAMI.Bot,Thodupuzha,306,-1,0
SAMI.Bot,Thodupuzha,Dailymotion,307,4,0
SAMI.Bot,Dailymotion,"Brahmagiri (hill), Karnataka",308,3,1
SAMI.Bot,"Brahmagiri (hill), Karnataka",Chicago Pile-1,309,4,0
SAMI.Bot,User:Samee,Ester Rachel Kamińska,312,-1,0
SAMI.Bot,Ester Rachel Kamińska,You (actress),313,5,0
SAMI.Bot,You Belong to Me (1941 film),"Young Harris, Georgia",315,4,0
SAMI.Bot,Ypsolophidae,Yu Xuezhong,320,5,0
SAMI.Bot,Yu Xuezhong,Yunus (sura),321,4,0
SAMI.Bot,Yusuf (sura),Yuya Miyashita,328,5,0
SAMI.Bot,Yuya Miyashita,Pakestan,329,5,0
SAMI.Bot,"Pakil, Laguna",Wikipedia:Teahouse/Questions,331,-1,0
SAMI.Bot,Wikipedia:Namespace,Hydra (genus),379,4,0
SAMI.Bot,Hydra (genus),Cartoon Network (India),380,4,0
SAMI.Bot,Cartoon Network (India),Category:Political parties established in 1832,381,-1,0
SAMI.Bot,Abadeh,Template:Country data Northern Rhodesia,456,-1,0
SAMI.Bot,List of countries by economic freedom,Category:States and territories of India,469,-1,0
Martinw1200,Udhna Varanasi Express,Michael Behagen,473,-1,0
Martinw1200,Enele Ma'afu,Shivalli Smarta Brahmins,480,5,0
