username1,pagetitle1,pagetitle2,counter,hop,nhop
Coaster6,Blueberry,Website,6,2,1
Bobbysedita,Nick Jr. (block),Wendy's,24,3,1
Bobbysedita,Wendy's,Nickelodeon,25,2,1
Bobbysedita,List of The Mighty B! episodes,File:Wendy's logo 2012.svg,51,-1,0
Albertleeisqueenie,Fortune and Men's Eyes,Fortune and Men's Eyes,57,1,1
Albertleeisqueenie,Fortune and Men's Eyes,2012 Delhi gang rape,58,4,0
Albertleeisqueenie,2012 Delhi gang rape,Aron Ralston,64,3,1
Albertleeisqueenie,Aron Ralston,Steven Culp,66,3,1
Albertleeisqueenie,Steven Culp,Durian,69,3,1
Albertleeisqueenie,Durian,Libby Purves,72,3,1
Jvt54,"Indianola, Iowa",Peanut butter and jelly sandwich,85,3,1
Cocobrain123,Jack Van Impe,Charles Van Doren,96,4,0
Nathanbennett,Arnold Rimmer,File:RedDwarfShip.jpg,101,-1,0
Nathanbennett,File:RedDwarfShip.jpg,Kristine Kochanski,102,2,1
Nathanbennett,Kristine Kochanski,User talk:Nathanbennett,103,-1,0
Nathanbennett,User talk:Nathanbennett,Chris Barrie,104,-1,0
HelpTheChast,Trollz,User talk:HelpTheChast,121,-1,0
Doncheedle,Amara Fashion House,Michilimackinac,157,5,0
Fighterjet62,User talk:Fighterjet62,Human sexual activity,173,-1,0
MooreNo1,Grand Theft Auto: Liberty City Stories soundtrack,Simulated reality in fiction,177,3,1
MooreNo1,Future history,The True Story,179,4,0
MooreNo1,Talk:The True Story,British Board of Film Classification,181,-1,0
MooreNo1,Talk:Trial of Michael Jackson,User talk:MooreNo1,189,-1,0
MooreNo1,User talk:MooreNo1,The Sky at Night,190,-1,0
MooreNo1,The Sky at Night,Total War: Rome II,191,4,0
Aleksa is cool,Bowling average,Poison dart frog,313,4,0
Aleksa is cool,Universe,User talk:Aleksa is cool,316,-1,0
Jasonj926,Wladimir Klitschko,Mike Tyson,379,2,1
Hobbitgenius,List of Sherlock episodes,The Hobbit: An Unexpected Journey,387,2,1
Cardboardbox1,Sam Worthington,Stand Up and Scream,401,4,0
Bluejay101984,Uttar Sampark Kranti Express,Watt,430,4,0
Appleboy64,User:Appleboy64,User:Yunshui,451,-1,0
Appleboy64,User:Yunshui,User talk:Appleboy64,452,-1,0
Jordikokki90,Samuel de Champlain,Monaco,499,3,1
00dcrotzer,Asparagus,DFDS,503,4,0
00dcrotzer,DFDS,Pogo stick,504,4,0
00dcrotzer,Pogo stick,Mushroom,506,3,1
Brooke8590,Patrick Star,McMahon family,541,3,1
Brooke8590,McMahon family,User talk:Brooke8590,543,-1,0
Imvchoudhary,India Under-19 cricket team,India Under-19 cricket team,548,0,1
Imvchoudhary,India Under-19 cricket team,User talk:Imvchoudhary,550,-1,0
Sk8ter32123,Total Nonstop Action Wrestling,Total Nonstop Action Wrestling,553,1,1
Jiggawhat32,Water cycle,User talk:Jiggawhat32,557,-1,0
Mynameisnotbarackobama,Infant mortality,Timbuktu,566,2,1
Lane.snow25,Peter Pan,Peter Pan,570,1,1
MotherduckingRambo,"St Wilfrids Catholic High School, North Featherstone","St Wilfrids Catholic High School, North Featherstone",573,-1,0
FrozenFreeze,ALV,NLV,577,6,0
Alexcool17,Romano,Debra,590,5,0
Kieran97lol,John Lewis Partnership,Store manager,593,4,0
Tubaface,Ted Jolliffe,Enid Blyton,631,3,1
Brennanboymen,Tyson Clabo,Antonie van Leeuwenhoek,637,4,0
Meawesome6544211,Men of Iron,Architecture of cathedrals and great churches,660,3,1
Challenisboss,List of Man v. Food episodes,List of countries by life expectancy,671,3,1
Lord flacco,Georges Bizet,Georges Bizet,770,1,1
Trollin98,Leigh Griffiths,Jack Nicholson,777,3,1
TheEvilRussian,"Highland Park, Saint Paul",Highland Park High School (Minnesota),781,1,1
Spoocane,User:Spoocane/sandbox,Ratchet & Clank,819,-1,0
Spoocane,Ratchet & Clank,Aldo Leopold,821,4,0
Ac12109,George Crum,Shikigami,831,4,0
Quinnjenish,T in the Park 2003,Greek War of Independence,836,3,1
Tit69,"Somers, New York",Krayenburg,867,4,0
WPsheep,Phil Kessel,Phil Kessel,869,1,1
Seriousarticleeditor168,Classical music,Margaret MacDonald (artist),880,3,1
Seriousarticleeditor168,Margaret MacDonald (artist),Cesare Borgia,881,3,1
Playtime1208Kinz,Template:Taxonomy/Eukaryota,Template:Taxonomy/Grypania,927,-1,0
Poptartman117,Human back,Human back,944,1,1
Pilney24,Josh Bootsma,Josh Bootsma,986,1,1
25yankee,Lee Thompson Young,Lee Thompson Young,1010,1,1
999sian,Time travel,Time travel,1048,1,1
999sian,Time travel,Blessed George Napier Roman Catholic School,1050,4,0
신속과 정확,Butter cookie,User talk:신속과 정확,1052,-1,0
Munnan the kid,Ikaw ang Lahat sa Akin,Jai (actor),1074,5,0
Munnan the kid,Jai (actor),H,1075,4,0
Ptunali2013,AFL Grand Final,Collingwood Football Club,1104,1,1
Ptunali2013,AFL Grand Final,User:Jevansen,1107,-1,0
Splatomier,Wii U,Ted Jolliffe,1124,4,0
Splatomier,Ted Jolliffe,Gary Johnson,1125,3,1
JerrickStraughter,Combing,Occupational Safety and Health Administration,1131,3,1
MentalSesher99,Tesco,Ross County F.C.,1152,3,1
RealTimeLords1,User:RealTimeLords1,Talk:Total War: Rome II,1166,-1,0
RealTimeLords1,Talk:Total War: Rome II,Transformers: Age of Extinction,1167,4,0
RealTimeLords1,Pixar,Doctor Who: Series 7 (soundtrack),1175,4,0
RealTimeLords1,Paramount Pictures,Talk (magazine),1181,3,1
RealTimeLords1,User talk:Carniolus,Timeline of human prehistory,1183,3,1
Habs-edit,Max Pacioretty,Travis Moen,1186,3,1
Chadwick 890,Climate of Massachusetts,Luigi's Flying Tires,1226,4,0
Gregoryjones36,American Revolutionary War,American Revolutionary War,1229,1,1
Joeybuttawipo,User talk:EuroCarGT,Lake Michigan College,1235,5,0
Joeybuttawipo,Lake Michigan College,Yahoo!,1237,3,1
Lord jarrett,Jarrett,Georgia (U.S. state),1242,3,1
Piano360,Taiwan Major League,Myron Samuel,1293,5,0
Piano360,Bill Hader,Landry Jones,1313,3,1
Piano360,List of career achievements by Babe Ruth,Bugatti,1318,4,0
Piano360,Joakim Noah,Jack Root,1322,4,0
Piano360,Jack Root,Florida State Fair,1323,4,0
Piano360,Florida State Fair,The birds and the bees,1324,4,0
Winkerstinker,Virginia,Rhode Island,1328,2,1
Lopsidedtriangle,Motherboard,Traditional African masks,1358,4,0
Lopsidedtriangle,Traditional African masks,Central processing unit,1360,3,1
Joshbrownnn,Ali Al-Habsi,Stakeford,1367,4,0
Joshbrownnn,Ashington,Sunderland A.F.C.,1369,2,1
Joshbrownnn,Stakeford,Southampton F.C.,1381,3,1
HeMoArmy,Heather Morris,Heather Morris,1402,1,1
BrandtQuinn,Prime Minister of Australia,Cameron Smith,1407,3,1
Danielmullay,Get-rich-quick scheme,Get-rich-quick scheme,1409,1,1
Danielmullay,Get-rich-quick scheme,A. J. Green,1411,4,0
Molightning,Konde Deshmukh,"Franz Park, St. Louis",1432,5,0
Goosefondue,Star Wars (film),Respect,1446,3,1
Thor143,Oliver B. Bumble,User talk:Thor143,1449,-1,0
Hashtagyoloswagmoneybossness123,Hashtag,123,1454,4,0
Dave78901374828,Nathan Tyson,David McGoldrick,1467,3,1
Chickenbird123412,Great Zimbabwe,Carthage,1473,2,1
Samted,Voltaire,Brunswick Manifesto,1481,1,1
사구ㅏ,Ramón Emeterio Betances,Doctor Who,1494,2,1
Its3mKHD,Sydney Harbour Bridge,Cellular respiration,1503,3,1
Dodgybugger,Denis Leary,Jeremy Kyle,1510,3,1
Jbrosh,Siberian (disambiguation),Straitjacket (disambiguation),1520,5,0
Spanishfive,Augusto Pinochet,Salvador Allende,1533,1,1
Eth12345poo,Monofixation syndrome,Delayed Gadolinium Enhanced Magnetic Resonance Imaging of Cartilage (dGEMRIC),1536,5,0
Fearless513,Zimbabwe national cricket team,Swedish Football Association,1571,3,1
Green1843,Players Association,Players Association,1593,1,1
Angbwa22,Victor Anichebe,User:Kolbasz,1630,-1,0
Angbwa22,Benoît Angbwa,User talk:Angbwa22,1636,-1,0
Cjwoods21190,Fecal incontinence,Women's suffrage,1645,3,1
Ryry36,Belen Jesuit Preparatory School,Belen Jesuit Preparatory School,1648,1,1
Ethman harmo,Yoda,James T. Kirk,1680,3,1
Lemonsmeller,New England Colonies,Alloy,1704,3,1
Samellis21,National Collegiate Athletic Association,Bob the Builder,1715,3,1
NCTANEWS,DEN Networks,DEN Networks,1719,1,1
NCTANEWS,DEN Networks,User talk:NCTANEWS,1721,-1,0
Coolboyliz,Elizabeth Canning,Essendon Football Club,1762,3,1
Blogger98076,Kids (film),Kids (film),1867,1,1
Textcheese,Tom,Tetris,1884,3,1
Xcmpunkx,NFL Europe,New United States Football League,1887,2,1
Xcmpunkx,New United States Football League,Frontier League,1940,3,1
Xcmpunkx,Template:Las Vegas Locomotives,Spokane Shock,1943,-1,0
Xcmpunkx,Arena Football League,Columbus Destroyers,1955,1,1
Xcmpunkx,Houston Stallions,Washington Commandos,1980,3,1
Xcmpunkx,ShoWare Center,The Palace of Auburn Hills,1991,3,1
IHateLucyVanPeltSoDamnMuch,User talk:FuckingShitSince1980,User talk:IHateLucyVanPeltSoDamnMuch,2023,-1,0
Secretdude1234,Cathay Pacific,"Avenue of Stars, Hong Kong",2027,2,1
Secretdude1234,Asiana Airlines Flight 214,China Airlines,2037,2,1
JohnAppleSeed21,Walter Panas High School,Lakeland High School (New York),2070,1,1
Knowledgequest225,Tracy Chapman,Mike Comrie,2084,3,1
Bazzacullen,Booterstown,Booterstown,2092,1,1
Croady17,Richard Cheese,List of unusual deaths,2101,3,1
동국제약,Misu (drink),Sweet potato,2112,3,1
동국제약,Sweet potato,User talk:동국제약,2121,-1,0
AdamMcIntyre100,Amanda Bynes,Spring Breakers,2130,3,1
