username1,pagetitle1,pagetitle2,counter,hop,nhop
Unlabled,Amy K. Nelson,The American Outlaws,11,4,0
Stormyr3,Sarcasm,Count von Count,18,4,0
Avion365,Talk:Boston Marathon bombings,Talk:2014 Ukrainian revolution,32,-1,0
Avion365,Talk:2014 Ukrainian revolution,Wikipedia talk:Administrators' noticeboard,36,-1,0
Avion365,Wikipedia talk:Administrators' noticeboard,Talk:2014 Crimean crisis,38,-1,0
Avion365,Talk:2014 Crimean crisis,Wikipedia:Neutral point of view/Noticeboard,39,-1,0
Avion365,Wikipedia:Neutral point of view/Noticeboard,Talk:Timeline of the 2014 pro-Russian unrest in Ukraine,40,-1,0
Avion365,Talk:Timeline of the 2014 pro-Russian unrest in Ukraine,Talk:War in Donbass,49,-1,0
Avion365,Talk:War in Donbass,2014 pro-Russian unrest in Ukraine,50,3,1
Avion365,Talk:War in Donbass,"Talk:2014 shootings at Parliament Hill, Ottawa",55,-1,0
Wes 4716,Lion Air Flight 904,Lion Air Flight 904,67,1,1
Wes 4716,American Airlines accidents and incidents,American Airlines Flight 1420,83,2,1
Wes 4716,American Airlines Flight 587,Husein Sastranegara International Airport,85,3,1
Wes 4716,Lion Air Flight 904,Newark Liberty International Airport,87,2,1
Wes 4716,Newark Liberty International Airport,Asiana Airlines Flight 214,89,2,1
Wes 4716,Asiana Airlines Flight 214,Non-stop flight,90,2,1
HAMINGLY,List of Pokémon,Wikipedia:Sandbox,125,4,0
KIDDxALEX,Finding Nemo,Grown Ups 2,151,3,1
KIDDxALEX,Grown Ups 2,Call of Duty: Ghosts,152,3,1
Jimmyzhu123,"Fuyang, Zhejiang","Fuyang, Zhejiang",168,1,1
Jimmyzhu123,"Fuyang, Zhejiang",User:GUYANCHI/sandbox,183,-1,0
Andre-CCT,User:Andre-CCT/sandbox,The Real World,220,-1,0
Andre-CCT,St. Marcellinius Secondary School,Miley Cyrus,222,4,0
Andre-CCT,Miley Cyrus,Carly Rae Jepsen,223,2,1
Menalkhan92,User:Menalkhan92/sandbox,Cervical spine disorder,263,3,1
Samplumm,Finding Dory,Andrew Stanton,306,1,1
Samplumm,Finding Dory,Halle Berry,318,2,1
Samplumm,Halle Berry,Friends,323,2,1
Samplumm,Friends,Lewis Watson,326,4,0
Samplumm,Lewis Watson,Magical objects in Harry Potter,327,4,0
Samplumm,Magical objects in Harry Potter,Kate Hudson,329,3,1
Samplumm,Origin of Symmetry,User:Samplumm/sandbox,331,-1,0
Samplumm,Lewis Watson (musician),Wikipedia:WikiProject Articles for creation/Help desk,337,-1,0
Samplumm,Wikipedia:WikiProject Articles for creation/Help desk,The Devil is in the detail,340,5,0
Samplumm,The Devil is in the detail,Placebo (band),343,4,0
Samplumm,Placebo (band),Yamla Pagla Deewana 2,345,4,0
Samplumm,Yamla Pagla Deewana 2,TweetDeck,346,3,1
Don krapohl,Decision-making,Competitive intelligence,372,3,1
LiveRail,Talk:Railway electrification system,Waterloo & City line,400,3,1
LiveRail,Talk:Railway electrification system,Talk:Incandescent light bulb,402,3,1
LiveRail,Talk:Incandescent light bulb,Talk:Power factor,403,-1,0
LiveRail,Talk:Power factor,Mains electricity by country,413,-1,0
LiveRail,Mains electricity by country,Talk:Mains electricity by country,414,-1,0
LiveRail,Mains electricity by country,Power factor,417,2,1
LiveRail,Power factor,"List of Statutory Instruments of the United Kingdom, 1996",418,4,0
LiveRail,"List of Statutory Instruments of the United Kingdom, 1996",Phase-out of incandescent light bulbs,419,3,1
LiveRail,Phase-out of incandescent light bulbs,Talk:Phase-out of incandescent light bulbs,428,1,1
LiveRail,User talk:LiveRail,Circle line (London Underground),438,3,1
LiveRail,Talk:Mains electricity by country,Wikipedia:Administrators' noticeboard/Incidents,445,6,0
LiveRail,Wikipedia:Administrators' noticeboard/Incidents,Vacuum tube,447,3,1
LiveRail,Talk:Electromagnetic coil,1N4148,459,3,1
LiveRail,1N4148,Railway electrification in Great Britain,462,4,0
LiveRail,Railway electric traction,List of current systems for electric rail traction,477,2,1
LiveRail,Wikipedia:Administrators' noticeboard/Incidents,Railroad electrification in the United States,494,4,0
LiveRail,Trolleybuses in Dayton,Alternator,497,2,1
LiveRail,List of current systems for electric rail traction,Talk:List of current systems for electric rail traction,499,-1,0
LiveRail,List of current systems for electric rail traction,Watford DC Line,501,1,1
LiveRail,Watford DC Line,Talk:Watford DC Line,502,-1,0
