username1,pagetitle1,pagetitle2,counter,hop,nhop
Sam Hollingsworth,Automotive market in the United States,Clothing,13,-1,0
Sam Hollingsworth,Clothing,Mobile phone accessories,14,3,1
Sam Hollingsworth,Mobile phone accessories,Economics of automobile usage,16,3,1
Sam Hollingsworth,Economics of automobile usage,Netbook,17,3,1
Sam Hollingsworth,Netbook,Toy,18,3,1
Sam Hollingsworth,Toy,Sports equipment,19,2,1
Sam Hollingsworth,Sports equipment,Category management,20,4,0
Sam Hollingsworth,Category management,Mobile game,21,3,1
Sam Hollingsworth,Mobile game,Video on demand,22,2,1
Sam Hollingsworth,Video on demand,Video camera,25,3,1
Sam Hollingsworth,Video camera,Effects of the 2008–10 automotive industry crisis on the United States,27,4,0
Sam Hollingsworth,Cosmetics,Country music,30,3,1
Sam Hollingsworth,Fashion accessory,Auto maintenance,33,4,0
Sam Hollingsworth,Auto maintenance,Anti-aging cream,34,4,0
Sam Hollingsworth,Anti-aging cream,Lunch,35,3,1
Sam Hollingsworth,Lunch,Breakfast,37,1,1
Sam Hollingsworth,Breakfast,Office supplies,39,3,1
Sam Hollingsworth,Office supplies,Car costs,40,4,0
Sam Hollingsworth,Car costs,Internet radio,42,3,1
Sam Hollingsworth,Mobile television,Tablet computer,45,2,1
Sam Hollingsworth,Tablet computer,School supplies,46,3,1
Darkwolf86,User:Darkwolf86,User:Darkwolf86/sandbox,53,-1,0
Tetriminos,Varicocele,Talk:List of films related to the hippie subculture,67,5,0
Tetriminos,Talk:List of films related to the hippie subculture,List of films related to the hippie subculture,68,-1,0
Tetriminos,List of films related to the hippie subculture,Gottfrid Svartholm,84,3,1
Tetriminos,List of films related to the hippie subculture,List of countries by HIV/AIDS adult prevalence rate,87,4,0
Tetriminos,List of countries by HIV/AIDS adult prevalence rate,Nick D'Aloisio,89,4,0
Tetriminos,Nick D'Aloisio,Usage share of web browsers,91,3,1
Tetriminos,Usage share of web browsers,Wikipedia talk:Statistics,93,-1,0
Tetriminos,List of Linux adopters,Homosexuality,99,2,1
Tetriminos,Homosexuality,Talk:Demographics of Sydney,101,-1,0
Tetriminos,Talk:Demographics of Sydney,Tourist attraction,102,-1,0
Tetriminos,Tourist attraction,User talk:Tetriminos,103,-1,0
Tetriminos,User talk:Tetriminos,Ratio of fatty acids in different foods,104,5,0
Mesmeilleurs,User:Mesmeilleurs,Kirkland High School and Community College,110,3,1
Mesmeilleurs,Kirkland High School and Community College,List of Keys to the City in the United States,111,4,0
Mesmeilleurs,List of Keys to the City in the United States,Glenn Miller,113,3,1
Mussoels,User:Mussoels/sandbox,User:Mussoels,158,-1,0
Mussoels,User:Mussoels,Andrzej Tarkowski,159,2,1
ParacusForward,Talk:Irom Chanu Sharmila,Irom Chanu Sharmila,164,3,1
ParacusForward,Petros Papadakis,Petros and Money Show,166,1,1
ParacusForward,Solar constant,Jefferson nickel,172,3,1
ParacusForward,Jefferson nickel,Aceria tosichella,173,5,0
ParacusForward,Talk:Irom Chanu Sharmila,Rossford Public Library,175,5,0
ParacusForward,"Core Molding Technologies, Inc",Miss Universe 2014,183,3,1
ParacusForward,User talk:ParacusForward,Mindy Budgor,187,7,0
ParacusForward,Miss Universe 2014,Wikipedia:Administrators' noticeboard,190,4,0
ParacusForward,User talk:ParacusForward,Talk:Miss Universe 2014,201,-1,0
ParacusForward,User talk:Amro.elsamra,User talk:Boliradaka,206,-1,0
ParacusForward,User talk:Boliradaka,Team Fortress Classic,212,-1,0
ParacusForward,Online Trading Academy,Hayden Christensen,220,4,0
ParacusForward,Petros and Money Show,Sporting Life 10K,224,5,0
ParacusForward,Gross domestic product,New York Titans (lacrosse),228,4,0
ParacusForward,New York Titans (lacrosse),Jai Ho (film),231,4,0
ParacusForward,Jai Ho (film),Portal:Current events/2013 December 14,232,5,0
ParacusForward,Serrasalmus geryi,Quora,240,4,0
ParacusForward,Wikipedia:How to write a plot summary,A Christmas Story,245,3,1
ParacusForward,A Christmas Story,Bruce Almighty,248,3,1
ParacusForward,Wikipedia:How to write a plot summary,The Goonies,250,3,1
ParacusForward,Wikipedia:Teahouse/Questions,List of unsolved murders in the United Kingdom,256,4,0
ParacusForward,FreeCell,Essjay controversy,260,4,0
ParacusForward,Essjay controversy,Talk:FreeCell,261,4,0
