username1,pagetitle1,meta1,counter,pagetitle2,meta2,timedifference,commoncategories,crmf,crms,crmv,crnf,crns,crnv,crf_crv,ntus
Waweru1234567,Pedda chintakuntla,0,0,Pedda chintakuntla,0,0 days 00:06:50.000000000,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Waweru1234567,Pedda chintakuntla,0,1,Pedda chintakuntla,0,0 days 00:05:27.000000000,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Waweru1234567,Pedda chintakuntla,0,2,Pedda chintakuntla,0,0 days 00:08:33.000000000,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Waweru1234567,Pedda chintakuntla,0,3,Pedda chintakuntla,0,0 days 00:12:21.000000000,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Waweru1234567,Pedda chintakuntla,0,4,Pedda chintakuntla,0,0 days 00:03:13.000000000,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Waweru1234567,Pedda chintakuntla,0,5,Pedda chintakuntla,0,0 days 00:03:12.000000000,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Waweru1234567,Pedda chintakuntla,0,6,Pedda chintakuntla,0,0 days 00:03:22.000000000,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Waweru1234567,Pedda chintakuntla,0,7,Pedda chintakuntla,0,0 days 00:16:02.000000000,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Waweru1234567,Pedda chintakuntla,0,8,Pedda chintakuntla,0,3 days 00:36:20.000000000,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Waweru1234567,Pedda chintakuntla,0,9,User:Waweru1234567,1,0 days 00:23:10.000000000,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Hollingsworth,User:Sam Hollingsworth,1,11,Automotive market in the United States,0,182 days 19:04:32.000000000,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Hollingsworth,Automotive market in the United States,0,12,Automotive market in the United States,0,0 days 00:00:38.000000000,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Sam Hollingsworth,Automotive market in the United States,0,13,Clothing,0,1 days 22:59:26.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Hollingsworth,Clothing,0,14,Mobile phone accessories,0,1 days 06:56:40.000000000,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Hollingsworth,Mobile phone accessories,0,15,Mobile phone accessories,0,0 days 00:03:54.000000000,9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Sam Hollingsworth,Mobile phone accessories,0,16,Economics of automobile usage,0,4 days 18:53:26.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Hollingsworth,Economics of automobile usage,0,17,Netbook,0,1 days 03:48:13.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Hollingsworth,Netbook,0,18,Toy,0,0 days 01:34:08.000000000,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Hollingsworth,Toy,0,19,Sports equipment,0,0 days 20:42:35.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Hollingsworth,Sports equipment,0,20,Category management,0,3 days 21:46:31.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Hollingsworth,Category management,0,21,Mobile game,0,0 days 00:52:13.000000000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Hollingsworth,Mobile game,0,22,Video on demand,0,1 days 03:29:07.000000000,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Hollingsworth,Video on demand,0,23,Video on demand,0,0 days 00:00:36.000000000,14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Sam Hollingsworth,Video on demand,0,24,Video on demand,0,0 days 00:14:34.000000000,14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Sam Hollingsworth,Video on demand,0,25,Video camera,0,11 days 21:38:03.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Hollingsworth,Video camera,0,26,Video camera,0,0 days 00:01:59.000000000,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Sam Hollingsworth,Video camera,0,27,Effects of the 2008–10 automotive industry crisis on the United States,0,0 days 00:31:09.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Hollingsworth,Effects of the 2008–10 automotive industry crisis on the United States,0,28,Cosmetics,0,0 days 00:13:08.000000000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Hollingsworth,Cosmetics,0,29,Cosmetics,0,0 days 00:03:58.000000000,15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Sam Hollingsworth,Cosmetics,0,30,Country music,0,0 days 00:15:35.000000000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Hollingsworth,Country music,0,31,Fashion accessory,0,0 days 00:14:34.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Hollingsworth,Fashion accessory,0,32,Fashion accessory,0,0 days 00:01:08.000000000,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Sam Hollingsworth,Fashion accessory,0,33,Auto maintenance,0,0 days 17:51:14.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Hollingsworth,Auto maintenance,0,34,Anti-aging cream,0,0 days 00:50:17.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Hollingsworth,Anti-aging cream,0,35,Lunch,0,0 days 23:39:11.000000000,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Hollingsworth,Lunch,0,36,Lunch,0,0 days 00:05:48.000000000,15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Sam Hollingsworth,Lunch,0,37,Breakfast,0,0 days 01:10:25.000000000,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Hollingsworth,Breakfast,0,38,Breakfast,0,0 days 00:00:54.000000000,14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Sam Hollingsworth,Breakfast,0,39,Office supplies,0,0 days 00:47:23.000000000,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Hollingsworth,Office supplies,0,40,Car costs,0,15 days 01:58:26.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Hollingsworth,Car costs,0,41,Car costs,0,0 days 00:00:37.000000000,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Sam Hollingsworth,Car costs,0,42,Internet radio,0,34 days 00:42:25.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Hollingsworth,Internet radio,0,43,Mobile television,0,0 days 00:09:04.000000000,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Hollingsworth,Mobile television,0,44,Mobile television,0,0 days 00:01:36.000000000,27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Sam Hollingsworth,Mobile television,0,45,Tablet computer,0,0 days 00:20:36.000000000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Hollingsworth,Tablet computer,0,46,School supplies,0,1 days 20:28:04.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Hollingsworth,School supplies,0,47,Computer hardware,0,0 days 00:10:40.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Hollingsworth,Computer hardware,0,48,Printer (computing),0,0 days 00:06:13.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darkwolf86,OTP banka Srbija,0,50,Wikipedia:Tutorial/Editing/sandbox,1,2 days 03:02:26.000000000,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darkwolf86,Wikipedia:Tutorial/Editing/sandbox,1,51,Wikipedia:Tutorial/Editing/sandbox,1,0 days 00:05:37.000000000,-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darkwolf86,Wikipedia:Tutorial/Editing/sandbox,1,52,User:Darkwolf86,1,0 days 00:17:56.000000000,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darkwolf86,User:Darkwolf86,1,53,User:Darkwolf86/sandbox,1,0 days 01:00:47.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darkwolf86,User:Darkwolf86/sandbox,1,54,User:Darkwolf86/sandbox,1,0 days 00:27:08.000000000,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Darkwolf86,User:Darkwolf86/sandbox,1,55,User:Darkwolf86/sandbox,1,1 days 03:24:12.000000000,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Darkwolf86,User:Darkwolf86/sandbox,1,56,User:Darkwolf86,1,0 days 15:35:29.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darkwolf86,User:Darkwolf86,1,57,User:Darkwolf86,1,0 days 00:10:49.000000000,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darkwolf86,User:Darkwolf86,1,58,User:Darkwolf86,1,0 days 07:21:20.000000000,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Darkwolf86,User:Darkwolf86,1,59,User:Darkwolf86,1,5 days 13:42:19.000000000,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PaulShk,User:PaulShk,1,61,User:PaulShk,1,0 days 00:14:39.000000000,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PaulShk,User:PaulShk,1,62,User:PaulShk,1,0 days 00:02:15.000000000,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
PaulShk,User:PaulShk,1,63,User:PaulShk,1,0 days 00:01:29.000000000,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PaulShk,User:PaulShk,1,64,User:PaulShk,1,0 days 00:30:27.000000000,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PaulShk,User:PaulShk,1,65,User:PaulShk,1,281 days 22:39:40.000000000,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Tetriminos,Varicocele,0,67,Talk:List of films related to the hippie subculture,1,4 days 06:05:15.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tetriminos,Talk:List of films related to the hippie subculture,1,68,List of films related to the hippie subculture,0,0 days 00:36:11.000000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tetriminos,List of films related to the hippie subculture,0,69,List of films related to the hippie subculture,0,0 days 00:00:27.000000000,7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
