username1,pagetitle1,meta1,counter,pagetitle2,meta2,timedifference,commoncategories,crmf,crms,crmv,crnf,crns,crnv,crf_crv,ntus
Moprah11,Teenage Dream (Katy Perry album),0,0,Teenage Dream (Katy Perry album),0,0 days 00:05:42.000000000,55,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Moprah11,Teenage Dream (Katy Perry album),0,1,Teenage Dream (Katy Perry album),0,0 days 00:02:34.000000000,55,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Moprah11,Teenage Dream (Katy Perry album),0,2,The Girlie Show World Tour,0,0 days 00:04:00.000000000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moprah11,The Girlie Show World Tour,0,3,The Girlie Show World Tour,0,0 days 00:01:29.000000000,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Moprah11,The Girlie Show World Tour,0,4,User talk:Lugia2453,1,0 days 00:02:01.000000000,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asoka Kumarasiri,User:Tony1,1,6,Curuppumullage Jinarajadasa,0,0 days 08:14:26.000000000,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoyJonesJrFan22,Amir Khan (boxer),0,8,Amir Khan (boxer),0,0 days 00:02:47.000000000,24,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
RoyJonesJrFan22,Amir Khan (boxer),0,9,Amir Khan (boxer),0,0 days 00:05:58.000000000,24,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RoyJonesJrFan22,Amir Khan (boxer),0,10,Amir Khan (boxer),0,0 days 00:07:20.000000000,24,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
RoyJonesJrFan22,Amir Khan (boxer),0,11,Amir Khan (boxer),0,0 days 00:01:10.000000000,24,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
RoyJonesJrFan22,Amir Khan (boxer),0,12,Amir Khan (boxer),0,0 days 00:01:04.000000000,24,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
RoyJonesJrFan22,Amir Khan (boxer),0,13,Amir Khan (boxer),0,0 days 00:00:50.000000000,24,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
RoyJonesJrFan22,Amir Khan (boxer),0,14,Amir Khan (boxer),0,0 days 00:00:37.000000000,24,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
RoyJonesJrFan22,Amir Khan (boxer),0,15,Amir Khan (boxer),0,0 days 00:02:47.000000000,24,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
RoyJonesJrFan22,Amir Khan (boxer),0,16,Amir Khan (boxer),0,0 days 00:01:19.000000000,24,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Tehe787878878,Walter Smith,0,18,Barry Ferguson,0,0 days 00:03:46.000000000,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tehe787878878,Barry Ferguson,0,19,Walter Smith,0,0 days 00:04:18.000000000,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tehe787878878,Walter Smith,0,20,User:Tehe787878878,1,0 days 00:01:09.000000000,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tehe787878878,User:Tehe787878878,1,21,Dado Pršo,0,0 days 00:06:30.000000000,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tehe787878878,Dado Pršo,0,22,Craig White,0,0 days 00:03:27.000000000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fart112,JLS,0,24,JLS,0,0 days 00:10:45.000000000,19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Omish Mon,"Greene, Iowa",0,26,"Greene, Iowa",0,0 days 00:02:30.000000000,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Omish Mon,"Greene, Iowa",0,27,Korea,0,0 days 00:18:35.000000000,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Omish Mon,Korea,0,28,"Greene, Iowa",0,0 days 18:49:11.000000000,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Omish Mon,"Greene, Iowa",0,29,"Greene, Iowa",0,0 days 00:34:31.000000000,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Omish Mon,"Greene, Iowa",0,30,"Butler County, Iowa",0,0 days 00:01:55.000000000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruthuparna,User:Ruthuparna,1,32,User talk:Ruthuparna,1,0 days 00:02:22.000000000,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
