counter,crnf
6,1
7,1
9,1
27,1
29,1
87,1
119,1
157,1
180,1
183,1
190,1
198,1
213,1
228,1
231,1
235,1
240,1
241,1
253,1
270,1
271,1
288,1
308,1
311,1
356,1
365,1
368,1
406,1
409,1
440,1
450,1
465,1
483,1
490,1
499,1
507,1
528,1
530,1
541,1
542,1
548,1
573,1
579,1
580,1
649,1
650,1
651,1
652,1
653,1
654,1
665,1
667,1
668,1
675,1
681,1
693,1
710,1
711,1
713,1
721,1
771,1
772,1
773,1
783,1
815,1
831,1
842,1
859,1
860,1
874,1
882,1
936,1
1037,1
1052,1
1054,1
1547,1
1557,1
1618,1
1670,1
1683,1
1685,1
1686,1
1688,1
1725,1
1727,1
1754,1
1777,1
1778,1
1795,1
1887,1
2115,1
2158,1
2225,1
2226,1
2227,1
2228,1
2229,1
2232,1
2234,1
2238,1
2243,1
2249,1
2253,1
2259,1
2264,1
2440,1
2443,1
2465,1
2466,1
2470,1
2478,1
2513,1
2518,1
2689,1
2766,1
3176,1
3179,1
3197,1
3210,1
3709,1
3710,1
3713,1
3735,1
3747,1
3752,1
3764,1
3812,1
3872,1
4032,1
4054,1
4066,1
4098,1
4100,1
4106,1
4111,1
4112,1
4136,1
4140,1
4143,1
4144,1
4145,1
4147,1
4283,1
4579,1
4590,1
4591,1
4592,1
4593,1
4594,1
4597,1
4604,1
4608,1
4612,1
4613,1
4617,1
4624,1
4634,1
4645,1
4647,1
4657,1
4658,1
4665,1
4669,1
4725,1
4729,1
4746,1
4784,1
4788,1
4793,1
4796,1
4801,1
4833,1
4835,1
4836,1
4837,1
4844,1
4851,1
4858,1
4861,1
4862,1
4880,1
4883,1
4894,1
4909,1
4913,1
4916,1
4917,1
4920,1
4926,1
4929,1
4932,1
4937,1
4940,1
4960,1
4965,1
4973,1
4975,1
4986,1
4989,1
5008,1
5010,1
5024,1
5026,1
5053,1
5054,1
5062,1
5088,1
5090,1
5099,1
5107,1
5112,1
5113,1
5118,1
5147,1
5166,1
5167,1
5175,1
5182,1
5223,1
5229,1
5234,1
5242,1
5244,1
5246,1
5279,1
5280,1
5293,1
5313,1
5396,1
5409,1
5410,1
5425,1
5525,1
5534,1
5537,1
5577,1
5588,1
5594,1
5603,1
5628,1
5653,1
5667,1
5698,1
5707,1
5748,1
5750,1
5789,1
5791,1
5989,1
5995,1
5996,1
6000,1
6006,1
6027,1
6034,1
6054,1
6082,1
6084,1
6088,1
6123,1
6133,1
6140,1
6207,1
6282,1
6295,1
6331,1
6356,1
6357,1
6360,1
6363,1
6367,1
6368,1
6371,1
6372,1
6373,1
6394,1
6395,1
6401,1
6478,1
6532,1
6541,1
6551,1
6560,1
6581,1
6582,1
6588,1
6626,1
6638,1
6641,1
6651,1
6666,1
6673,1
6678,1
6689,1
6699,1
6700,1
6701,1
6707,1
6713,1
6716,1
6720,1
6731,1
6785,1
6786,1
6787,1
6868,1
6871,1
6872,1
6880,1
6889,1
6900,1
6916,1
6931,1
6932,1
6941,1
6942,1
6948,1
6967,1
6971,1
6972,1
6976,1
6988,1
7011,1
7012,1
7016,1
7034,1
7041,1
7042,1
7116,1
7129,1
7130,1
7131,1
7138,1
7148,1
7149,1
7160,1
7161,1
7206,1
7221,1
7229,1
7390,1
7417,1
7418,1
7420,1
7421,1
7517,1
7523,1
7531,1
7533,1
7535,1
7540,1
7554,1
7563,1
7571,1
7588,1
7590,1
7591,1
7596,1
7597,1
7614,1
7812,1
7813,1
7819,1
8055,1
8061,1
8064,1
8066,1
8067,1
8174,1
8185,1
8186,1
8187,1
8188,1
8189,1
8251,1
8254,1
8259,1
8261,1
8265,1
8268,1
8269,1
8273,1
8288,1
8291,1
8298,1
8299,1
8301,1
8306,1
8316,1
8317,1
8321,1
8327,1
8331,1
8332,1
8333,1
8352,1
8353,1
8372,1
8373,1
8375,1
8389,1
8403,1
8404,1
8405,1
8416,1
8417,1
8418,1
8420,1
8427,1
8430,1
8432,1
8448,1
8499,1
8502,1
8532,1
8533,1
8534,1
8544,1
8545,1
8548,1
8550,1
8552,1
8553,1
8654,1
8655,1
8677,1
8679,1
8690,1
8697,1
8698,1
8699,1
8716,1
8724,1
8725,1
8727,1
8728,1
8730,1
8731,1
8750,1
8790,1
8800,1
8803,1
8830,1
8873,1
8874,1
8884,1
8927,1
8947,1
8956,1
8962,1
8966,1
8982,1
9000,1
9010,1
9016,1
9019,1
9044,1
9051,1
9065,1
9067,1
9090,1
9096,1
9110,1
9113,1
9122,1
9138,1
9140,1
9152,1
9153,1
9154,1
9180,1
9181,1
9193,1
9194,1
9199,1
9209,1
9217,1
9220,1
9225,1
9228,1
9255,1
9257,1
9385,1
9493,1
9542,1
9622,1
9623,1
9659,1
9660,1
9690,1
9701,1
9729,1
9733,1
9738,1
9740,1
9741,1
9744,1
9751,1
9753,1
9764,1
9778,1
9798,1
9799,1
9821,1
9825,1
9827,1
9830,1
9841,1
9851,1
9900,1
9914,1
9916,1
9917,1
9920,1
9927,1
9928,1
9929,1
9931,1
9932,1
9933,1
9937,1
9939,1
9941,1
9942,1
9946,1
9948,1
9952,1
9959,1
9961,1
9962,1
9963,1
9976,1
