counter,crnf
8,1
9,1
13,1
32,1
34,1
35,1
36,1
39,1
62,1
63,1
91,1
120,1
165,1
167,1
202,1
220,1
238,1
239,1
257,1
268,1
271,1
274,1
303,1
311,1
312,1
324,1
345,1
357,1
362,1
363,1
364,1
367,1
369,1
380,1
382,1
383,1
385,1
421,1
423,1
435,1
495,1
618,1
649,1
682,1
683,1
697,1
715,1
747,1
750,1
772,1
828,1
1098,1
1100,1
1167,1
1174,1
1176,1
1177,1
1181,1
1183,1
1184,1
1185,1
1193,1
1195,1
1198,1
1201,1
1222,1
1227,1
1243,1
1294,1
1308,1
1309,1
1319,1
1320,1
1324,1
1328,1
1333,1
1359,1
1371,1
1374,1
1376,1
1385,1
1400,1
1436,1
1440,1
1448,1
1462,1
1467,1
1468,1
1494,1
1499,1
1505,1
1506,1
1529,1
1530,1
1535,1
1536,1
1539,1
1543,1
1544,1
1547,1
1548,1
1549,1
1552,1
1553,1
1555,1
1556,1
1580,1
1589,1
1592,1
1594,1
1600,1
1610,1
1612,1
1623,1
1628,1
1660,1
1670,1
1685,1
1686,1
1704,1
1727,1
1734,1
1740,1
1757,1
1765,1
1766,1
1830,1
1831,1
1835,1
1837,1
1838,1
1847,1
1849,1
1871,1
1889,1
1904,1
1913,1
1930,1
1944,1
1947,1
1954,1
1973,1
2016,1
2042,1
2044,1
2054,1
2059,1
2063,1
2070,1
2078,1
2079,1
2081,1
2105,1
2107,1
2112,1
2118,1
2126,1
2129,1
2180,1
2197,1
2203,1
2204,1
2205,1
2212,1
2214,1
2223,1
2227,1
2248,1
2279,1
2355,1
2357,1
2363,1
2375,1
2377,1
2379,1
2380,1
2381,1
2397,1
2404,1
2405,1
2406,1
2408,1
2434,1
2437,1
2438,1
2457,1
2468,1
2470,1
2509,1
2563,1
2580,1
2582,1
2588,1
2592,1
2594,1
2596,1
2614,1
2630,1
2644,1
2692,1
2704,1
2717,1
2718,1
2722,1
2723,1
2758,1
2759,1
2760,1
2763,1
2766,1
2776,1
2807,1
2810,1
2813,1
2819,1
2829,1
2833,1
2836,1
2846,1
2852,1
2889,1
2897,1
2898,1
2899,1
2903,1
2904,1
2912,1
2918,1
2925,1
2958,1
2964,1
2965,1
3017,1
3022,1
3053,1
3066,1
3122,1
3124,1
3132,1
3133,1
3135,1
3139,1
3169,1
3172,1
3174,1
3175,1
3176,1
3181,1
3187,1
3189,1
3190,1
3241,1
3242,1
3246,1
3256,1
3263,1
3285,1
3291,1
3304,1
3306,1
3348,1
3402,1
3424,1
3425,1
3427,1
3467,1
3479,1
3480,1
3484,1
3487,1
3497,1
3505,1
3509,1
3518,1
3553,1
3554,1
3563,1
3589,1
3590,1
3603,1
3631,1
3632,1
3677,1
3678,1
3691,1
3692,1
3731,1
3752,1
3788,1
3796,1
3799,1
3800,1
3805,1
3809,1
3825,1
3827,1
3830,1
3831,1
3853,1
3906,1
3923,1
3939,1
3942,1
3982,1
3997,1
4041,1
4043,1
4055,1
4057,1
4059,1
4064,1
4073,1
4075,1
4076,1
4086,1
4091,1
4104,1
4112,1
4114,1
4126,1
4147,1
4152,1
4153,1
4229,1
4239,1
4240,1
4246,1
4248,1
4249,1
4269,1
4271,1
4275,1
4278,1
4285,1
4310,1
4324,1
4369,1
4371,1
4373,1
4374,1
4378,1
4379,1
4380,1
4386,1
4387,1
4393,1
4403,1
4422,1
4473,1
4484,1
4496,1
4498,1
4511,1
4557,1
4683,1
4723,1
4763,1
4786,1
4787,1
4788,1
4830,1
4835,1
4842,1
4844,1
4846,1
4847,1
4848,1
4851,1
4882,1
4888,1
4890,1
4915,1
4924,1
4925,1
4933,1
4934,1
4938,1
4943,1
4949,1
5005,1
5027,1
5098,1
5099,1
5113,1
5116,1
5117,1
5123,1
5153,1
5166,1
5168,1
5172,1
5174,1
5175,1
5177,1
5210,1
5218,1
5224,1
5225,1
5226,1
5227,1
5231,1
5297,1
5301,1
5302,1
5334,1
5336,1
5337,1
5348,1
5351,1
5373,1
5384,1
5396,1
5397,1
5402,1
5415,1
5416,1
5423,1
5424,1
5425,1
5426,1
5430,1
5432,1
5476,1
5481,1
5500,1
5501,1
5515,1
5518,1
5524,1
5540,1
5541,1
5548,1
5549,1
5550,1
5556,1
5563,1
5567,1
5569,1
5590,1
5593,1
5606,1
5641,1
5642,1
5668,1
5682,1
5685,1
5689,1
5690,1
5723,1
5724,1
5736,1
5739,1
5740,1
5741,1
5742,1
5757,1
5758,1
5759,1
5775,1
5792,1
5794,1
5802,1
5804,1
5820,1
5822,1
5842,1
5849,1
5856,1
5865,1
5866,1
5867,1
5873,1
5877,1
5902,1
5904,1
5911,1
5937,1
5959,1
5960,1
5961,1
5965,1
6022,1
6031,1
6040,1
6085,1
6091,1
6102,1
6103,1
6155,1
6248,1
6253,1
6254,1
6255,1
6277,1
6306,1
6309,1
6311,1
6320,1
6321,1
6333,1
6360,1
6375,1
6437,1
6438,1
6448,1
6451,1
6456,1
6457,1
6459,1
6461,1
6462,1
6465,1
6466,1
6467,1
6473,1
6477,1
6478,1
6480,1
6481,1
6482,1
6487,1
6488,1
6522,1
6523,1
6578,1
6581,1
6582,1
6624,1
6625,1
6633,1
6649,1
6652,1
6653,1
6660,1
6662,1
6664,1
6667,1
6672,1
6675,1
6679,1
6682,1
6685,1
6687,1
6690,1
6691,1
6713,1
6735,1
6748,1
6781,1
6788,1
6789,1
6790,1
6913,1
6919,1
6921,1
6933,1
6953,1
6958,1
6967,1
6976,1
6979,1
6980,1
6998,1
7047,1
7075,1
7085,1
7135,1
7136,1
7137,1
7147,1
7201,1
7205,1
7207,1
7208,1
7209,1
7211,1
7247,1
7249,1
7254,1
7312,1
7349,1
7352,1
7353,1
7359,1
7368,1
7374,1
7395,1
7399,1
7415,1
7447,1
7467,1
7512,1
7532,1
7536,1
