username,crmf,crms,crmv,crnf,crns,crnv,crf_crv,ntus,crm,crn,nts_nts,fm,totaledit,vandal
Kattheawesome,50.000,0.000,50.000,0.000,0.000,0.000,50.000,0.000,100.000,0.000,0.000,1,2,0
Niagaragallery,1.471,4.412,16.176,5.882,2.941,11.765,22.059,2.941,23.529,20.588,1.471,1,68,0
Play Scripts Forever,0.000,0.000,33.333,33.333,0.000,0.000,0.000,0.000,33.333,33.333,0.000,0,3,0
Warox1994,10.345,4.598,85.057,0.000,0.000,0.000,80.460,0.000,100.000,0.000,0.000,1,87,0
Qaraa cilmi baare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,2,0
Jamiecott5555,0.000,0.000,0.000,66.667,0.000,0.000,0.000,0.000,0.000,66.667,0.000,0,6,0
MaxJeff-AU,18.182,0.000,18.182,36.364,0.000,0.000,18.182,0.000,36.364,36.364,0.000,0,11,0
Wikid77b,3.398,0.485,2.427,2.427,1.456,0.485,1.942,0.000,6.311,4.369,6.796,1,206,0
Janesummers79,0.000,0.000,0.000,8.333,0.000,0.000,0.000,0.000,0.000,8.333,8.333,1,12,0
Onial Khan,0.000,3.704,0.000,0.000,3.704,11.111,11.111,0.000,3.704,14.815,7.407,0,27,0
ChocolateCakeYum!!,18.919,9.910,29.730,0.000,0.000,0.000,15.315,0.000,58.559,0.000,1.802,1,111,0
Vjaasief,4.167,6.250,15.278,7.639,7.639,26.389,30.556,0.000,25.694,41.667,0.694,0,144,0
MortenZdk,8.451,5.634,43.662,0.000,1.408,8.451,39.437,0.000,57.746,9.859,7.042,0,71,0
Sanggi Yoga,0.000,50.000,50.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,0.000,1,2,0
Test Account for Visual Editor,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,50.000,0.000,1,2,0
Younicesilver,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,0.000,1,1,0
Lorykwee,17.308,17.308,59.615,0.000,0.000,0.000,48.077,0.000,94.231,0.000,0.000,1,52,0
