username1,crn
101kittykat,1
1122superpie1122,4
1234dogman,3
123tree,3
1STAPRIL2013,3
2fab4u,3
4fab2u,1
5tuP1dD3aF,8
7roll,1
90col90,1
912doctorwho,37
A bunny man,1
ADiMare0,3
AJR200,3
Aamirkhandalwai,2
Abletonlive05,2
Aboobinabra,9
Adam Binks,7
Adi.iz.whore22,1
Ahurt22,1
Ajayandalex,9
Alantisdell,5
Alexg1993,1
Alexialove01,3
Alexio1000,1
Alexis101beast,9
Alexworsfold,2
Amarjeet88,7
AmbroseKnowsGames,1
Amuletbooks40,1
Analflute,2
Anarcho-syndikalist101,8
Androllinswag,4
AnimeFreak13,3
Aniyawillisrocks,3
Anjrew,3
Anon10427,5
Anonimnystefy,3
AnonymousUser19,2
Anonypoo,8
AnthonyHasNoFriends,3
AnthonyRobinson123,1
Anyname3,7
ArrowTHK,1
Arsenal11110,2
Arsterianpasta,4
Assateague,4
Asxhzxz,1
Austinestes67,6
Avocado2509,8
AwesomeWhovian,6
Awikimegamandude,8
Awkwardpotato-the-7th,1
Babafira123,1
Ballsackswag,3
Bananasoda,1
Bangtoliv,28
Baraq Osama,6
Barri123,3
Bastard,4
Bbob84,3
Beasting99,2
Beefyted69,2
Bellspecial,1
Benjaminpaglia,2
Benshanks117,3
Bethglb,4
BetterSkatez,6
Bhills996,1
BigRigsFan1,2
Bigbrando98,3
Bigbrother98,2
Bigcack,5
Bigdumpy,2
Bigfreeguide,5
Bigolebill47,3
Bilal shawqi,2
Bilbob12345,4
Billespanker,1
Billsonoma,2
Biolifeline,1
Bk9000,1
Blacklisting,44
Blaggle.commm,3
Blah654565,2
Blick56,3
Blindknyttstories,2
BloodyNova,5
Bluehost,6
Bob calderon,1
Bob21345,1
Boboey123,2
Bocamadman,3
Boobyquisha,2
Boshiboom,9
Bradtnolan,11
Braniac813,2
Brittanydavis44662,1
Brosephjoseph99,2
Bsdinnan,1
Bubeem,1
Buttfloss11,2
Buttmanboobs,3
Buttwart69,5
CDaddySlim,3
CMack277,4
