username1,pagetitle1,meta1,counter,pagetitle2,meta2,timedifference,commoncategories
Onetimeuseusername,Hunter Hayes,0,0,Cake Boss,0,0 days 00:03:09.000000000,1
Onetimeuseusername,Cake Boss,0,1,Liv and Maddie,0,0 days 00:02:55.000000000,2
Onetimeuseusername,Liv and Maddie,0,2,Hunter Hayes,0,0 days 00:02:31.000000000,0
Coaster6,Jason (given name),0,4,Nokia,0,0 days 00:03:31.000000000,0
Coaster6,Nokia,0,5,Blueberry,0,0 days 00:03:22.000000000,2
Coaster6,Blueberry,0,6,Website,0,1 days 21:38:58.000000000,0
Coaster6,Website,0,7,Alabama,0,0 days 00:02:51.000000000,0
Coaster6,Alabama,0,8,Alabama,0,0 days 00:04:45.000000000,21
Factmaaan!,Jordan Maron,0,10,Jordan Maron,0,0 days 00:05:44.000000000,14
Factmaaan!,Jordan Maron,0,11,Jordan Maron,0,0 days 00:05:53.000000000,14
Factmaaan!,Jordan Maron,0,12,Jordan Maron,0,0 days 00:04:18.000000000,14
Factmaaan!,Jordan Maron,0,13,Jordan Maron,0,0 days 00:02:42.000000000,14
Factmaaan!,Jordan Maron,0,14,Lockheed SR-71 Blackbird,0,0 days 00:08:05.000000000,0
Factmaaan!,Lockheed SR-71 Blackbird,0,15,"Barack Obama, Sr.",0,0 days 00:13:18.000000000,1
Factmaaan!,"Barack Obama, Sr.",0,16,"Barack Obama, Sr.",0,0 days 00:02:07.000000000,17
Bbhhuuffllkkgghh,Aaron Hernandez,0,18,Aaron Hernandez,0,0 days 00:01:08.000000000,19
Bbhhuuffllkkgghh,Aaron Hernandez,0,19,Matt Flynn,0,0 days 00:01:41.000000000,3
Bbhhuuffllkkgghh,Matt Flynn,0,20,Matt Ryan,0,0 days 00:01:41.000000000,7
Trololol69,Pulsar,0,22,Creed (band),0,0 days 00:03:19.000000000,0
Bobbysedita,Nick Jr. (block),0,24,Wendy's,0,0 days 01:28:17.000000000,0
Bobbysedita,Wendy's,0,25,Nickelodeon,0,0 days 03:22:05.000000000,2
Bobbysedita,Nickelodeon,0,26,Nickelodeon,0,0 days 00:02:42.000000000,18
Bobbysedita,Nickelodeon,0,27,Nickelodeon,0,0 days 00:00:33.000000000,18
Bobbysedita,Nickelodeon,0,28,Nick Jr.,0,0 days 00:04:42.000000000,7
Bobbysedita,Nick Jr.,0,29,Wendy's,0,0 days 00:06:31.000000000,1
Bobbysedita,Wendy's,0,30,Wendy's,0,0 days 00:00:48.000000000,15
Bobbysedita,Wendy's,0,31,Doritos,0,0 days 00:07:22.000000000,2
Bobbysedita,Doritos,0,32,Doritos,0,0 days 00:00:45.000000000,14
Bobbysedita,Doritos,0,33,Doritos,0,0 days 00:01:19.000000000,14
Bobbysedita,Doritos,0,34,Doritos,0,0 days 00:00:43.000000000,14
Bobbysedita,Doritos,0,35,Doritos,0,0 days 00:00:26.000000000,14
Bobbysedita,Doritos,0,36,Doritos,0,0 days 00:01:14.000000000,14
Bobbysedita,Doritos,0,37,Doritos,0,0 days 00:03:10.000000000,14
Bobbysedita,Doritos,0,38,Doritos,0,0 days 00:02:22.000000000,14
Bobbysedita,Doritos,0,39,Intel,0,0 days 00:06:58.000000000,4
Bobbysedita,Intel,0,40,Intel,0,0 days 00:00:52.000000000,54
Bobbysedita,Intel,0,41,Intel,0,0 days 00:01:18.000000000,54
Bobbysedita,Intel,0,42,Doritos,0,0 days 00:00:57.000000000,4
Bobbysedita,Doritos,0,43,Doritos,0,0 days 00:01:23.000000000,14
Bobbysedita,Doritos,0,44,List of The Mighty B! episodes,0,0 days 00:07:09.000000000,0
Bobbysedita,List of The Mighty B! episodes,0,45,List of The Mighty B! episodes,0,0 days 00:00:37.000000000,2
Bobbysedita,List of The Mighty B! episodes,0,46,List of The Mighty B! episodes,0,0 days 00:00:18.000000000,2
Bobbysedita,List of The Mighty B! episodes,0,47,List of The Mighty B! episodes,0,0 days 00:00:22.000000000,2
Bobbysedita,List of The Mighty B! episodes,0,48,List of The Mighty B! episodes,0,0 days 00:00:54.000000000,2
Bobbysedita,List of The Mighty B! episodes,0,49,List of The Mighty B! episodes,0,0 days 00:06:53.000000000,2
Bobbysedita,List of The Mighty B! episodes,0,50,List of The Mighty B! episodes,0,0 days 00:01:51.000000000,2
Bobbysedita,List of The Mighty B! episodes,0,51,File:Wendy's logo 2012.svg,1,0 days 23:32:12.000000000,0
Bobbysedita,File:Wendy's logo 2012.svg,1,52,Wendy's,0,0 days 00:02:20.000000000,0
Bobbysedita,Wendy's,0,53,Wendy's,0,0 days 00:02:02.000000000,15
Albertleeisqueenie,Fortune and Men's Eyes,0,57,Fortune and Men's Eyes,0,0 days 00:17:26.000000000,18
Albertleeisqueenie,Fortune and Men's Eyes,0,58,2012 Delhi gang rape,0,2 days 14:56:38.000000000,0
Albertleeisqueenie,2012 Delhi gang rape,0,59,2012 Delhi gang rape,0,0 days 00:03:05.000000000,13
Albertleeisqueenie,2012 Delhi gang rape,0,60,2012 Delhi gang rape,0,0 days 00:21:02.000000000,13
Albertleeisqueenie,2012 Delhi gang rape,0,61,2012 Delhi gang rape,0,0 days 00:01:18.000000000,13
Albertleeisqueenie,2012 Delhi gang rape,0,62,2012 Delhi gang rape,0,0 days 00:00:45.000000000,13
Albertleeisqueenie,2012 Delhi gang rape,0,63,2012 Delhi gang rape,0,0 days 00:16:56.000000000,13
Albertleeisqueenie,2012 Delhi gang rape,0,64,Aron Ralston,0,1 days 18:18:59.000000000,0
Albertleeisqueenie,Aron Ralston,0,65,Aron Ralston,0,0 days 00:01:35.000000000,19
Albertleeisqueenie,Aron Ralston,0,66,Steven Culp,0,1 days 14:27:03.000000000,4
Albertleeisqueenie,Steven Culp,0,67,Steven Culp,0,0 days 00:01:27.000000000,25
Albertleeisqueenie,Steven Culp,0,68,Steven Culp,0,0 days 00:07:34.000000000,25
Albertleeisqueenie,Steven Culp,0,69,Durian,0,6 days 02:33:45.000000000,0
Albertleeisqueenie,Durian,0,70,Durian,0,0 days 00:02:49.000000000,25
Albertleeisqueenie,Durian,0,71,Durian,0,0 days 00:01:58.000000000,25
