username1,pagetitle1,meta1,counter,pagetitle2,meta2,timedifference,commoncategories
Brentc3,Edmond Casarella,0,0,"National Fossil Wood Park, Tiruvakkarai",0,0 days 00:04:35.000000000,0
Brentc3,"National Fossil Wood Park, Tiruvakkarai",0,1,Universidad Nacional Experimental del Táchira,0,0 days 00:02:35.000000000,0
Brentc3,Universidad Nacional Experimental del Táchira,0,2,Varia di Palmi,0,0 days 00:05:46.000000000,0
Brentc3,Varia di Palmi,0,3,Edmond Casarella,0,0 days 00:03:26.000000000,0
Brentc3,Edmond Casarella,0,4,User:Brentc3,1,0 days 00:00:59.000000000,-1
Brentc3,User:Brentc3,1,5,User:Brentc3,1,0 days 00:00:52.000000000,-1
Brentc3,User:Brentc3,1,6,Cosmos: A Spacetime Odyssey,1,0 days 16:19:11.000000000,-1
Brentc3,Cosmos: A Spacetime Odyssey,1,7,Mental health in Southeast Africa,0,3 days 07:46:51.000000000,0
Zacksassoon,User:Zacksassoon,1,9,User:Zacksassoon/sandbox,1,0 days 00:04:54.000000000,-1
Zacksassoon,User:Zacksassoon/sandbox,1,10,User:Zacksassoon/sandbox,1,0 days 00:00:16.000000000,1
Zacksassoon,User:Zacksassoon/sandbox,1,11,User:Zacksassoon/sandbox,1,0 days 00:00:12.000000000,1
Zacksassoon,User:Zacksassoon/sandbox,1,12,User:Zacksassoon/sandbox,1,0 days 00:00:10.000000000,1
Zacksassoon,User:Zacksassoon/sandbox,1,13,User:Zacksassoon/sandbox,1,0 days 00:06:21.000000000,1
Zacksassoon,User:Zacksassoon/sandbox,1,14,User:Zacksassoon/sandbox,1,0 days 00:01:53.000000000,1
Zacksassoon,User:Zacksassoon/sandbox,1,15,User:Zacksassoon/sandbox,1,0 days 00:04:39.000000000,1
Zacksassoon,User:Zacksassoon/sandbox,1,16,User:Zacksassoon/sandbox,1,0 days 00:01:13.000000000,1
Zacksassoon,User:Zacksassoon/sandbox,1,17,Wikipedia talk:Articles for creation/Nissim (Hip Hop artist),1,0 days 00:00:37.000000000,1
Zacksassoon,Wikipedia talk:Articles for creation/Nissim (Hip Hop artist),1,18,Wikipedia talk:Articles for creation/Nissim (Hip Hop artist),1,0 days 00:01:36.000000000,1
Zacksassoon,Wikipedia talk:Articles for creation/Nissim (Hip Hop artist),1,19,Wikipedia talk:Articles for creation/Nissim (Hip Hop artist),1,0 days 00:03:40.000000000,1
