username1,pagetitle1,meta1,counter,pagetitle2,meta2,timedifference,commoncategories
Unlabled,User:Unlabled/sandbox,1,0,User:Unlabled/sandbox,1,0 days 00:00:49.000000000,-1
Unlabled,User:Unlabled/sandbox,1,1,User:Unlabled/sandbox,1,0 days 00:01:48.000000000,-1
Unlabled,User:Unlabled/sandbox,1,2,Amy K. Nelson,0,0 days 00:18:42.000000000,-1
Unlabled,Amy K. Nelson,0,3,User:Unlabled,1,0 days 00:02:53.000000000,-1
Unlabled,User:Unlabled,1,4,Paxton Crawford,0,0 days 04:14:17.000000000,-1
Unlabled,Paxton Crawford,0,5,Logan Morrison,0,0 days 00:07:16.000000000,1
Unlabled,Logan Morrison,0,6,Amy K. Nelson,0,0 days 00:04:45.000000000,1
Unlabled,Amy K. Nelson,0,7,Nicole Bobek,0,0 days 00:06:07.000000000,1
Unlabled,Nicole Bobek,0,8,Amy K. Nelson,0,0 days 01:48:30.000000000,1
Unlabled,Amy K. Nelson,0,9,Amy K. Nelson,0,276 days 16:34:25.000000000,2
Unlabled,Amy K. Nelson,0,10,Amy K. Nelson,0,0 days 00:02:15.000000000,2
Unlabled,Amy K. Nelson,0,11,The American Outlaws,0,26 days 05:56:39.000000000,0
Unlabled,The American Outlaws,0,12,Amy K. Nelson,0,213 days 19:42:12.000000000,0
Unlabled,Amy K. Nelson,0,13,User:Unlabled/sandbox,1,0 days 00:01:43.000000000,-1
Stormyr3,Irony,0,15,User:Stormyr3,1,0 days 01:05:57.000000000,-1
Stormyr3,User:Stormyr3,1,16,Sarcasm,0,0 days 00:06:04.000000000,-1
Stormyr3,Sarcasm,0,17,Sarcasm,0,0 days 00:00:40.000000000,6
Stormyr3,Sarcasm,0,18,Count von Count,0,38 days 03:09:04.000000000,0
Stormyr3,Count von Count,0,19,Count von Count,0,0 days 00:05:17.000000000,13
Stormyr3,Count von Count,0,20,Count von Count,0,0 days 00:00:29.000000000,13
Stormyr3,Count von Count,0,21,Jim Jacobs,0,0 days 00:04:40.000000000,0
Stormyr3,Jim Jacobs,0,22,Count von Count,0,0 days 03:08:05.000000000,0
Avion365,Talk:Boston Marathon bombings,1,24,Talk:Boston Marathon bombings,1,0 days 00:01:21.000000000,30
Avion365,Talk:Boston Marathon bombings,1,25,Talk:Boston Marathon bombings,1,0 days 14:34:32.000000000,30
Avion365,Talk:Boston Marathon bombings,1,26,Talk:Boston Marathon bombings,1,0 days 00:32:14.000000000,30
Avion365,Talk:Boston Marathon bombings,1,27,Talk:Boston Marathon bombings,1,0 days 00:24:30.000000000,30
Avion365,Talk:Boston Marathon bombings,1,28,Talk:Boston Marathon bombings,1,0 days 00:07:59.000000000,30
Avion365,Talk:Boston Marathon bombings,1,29,Talk:Boston Marathon bombings,1,0 days 00:46:02.000000000,30
Avion365,Talk:Boston Marathon bombings,1,30,Talk:Boston Marathon bombings,1,0 days 00:46:57.000000000,30
Avion365,Talk:Boston Marathon bombings,1,31,Talk:Boston Marathon bombings,1,0 days 00:00:26.000000000,30
Avion365,Talk:Boston Marathon bombings,1,32,Talk:2014 Ukrainian revolution,1,310 days 21:46:06.000000000,1
Avion365,Talk:2014 Ukrainian revolution,1,33,Talk:2014 Ukrainian revolution,1,0 days 00:11:30.000000000,9
Avion365,Talk:2014 Ukrainian revolution,1,34,Talk:2014 Ukrainian revolution,1,3 days 00:00:23.000000000,9
Avion365,Talk:2014 Ukrainian revolution,1,35,Talk:2014 Ukrainian revolution,1,0 days 00:07:05.000000000,9
Avion365,Talk:2014 Ukrainian revolution,1,36,Wikipedia talk:Administrators' noticeboard,1,15 days 23:47:17.000000000,0
Avion365,Wikipedia talk:Administrators' noticeboard,1,37,Wikipedia talk:Administrators' noticeboard,1,0 days 00:00:22.000000000,1
Avion365,Wikipedia talk:Administrators' noticeboard,1,38,Talk:2014 Crimean crisis,1,1 days 13:47:01.000000000,0
Avion365,Talk:2014 Crimean crisis,1,39,Wikipedia:Neutral point of view/Noticeboard,1,0 days 00:17:07.000000000,0
Avion365,Wikipedia:Neutral point of view/Noticeboard,1,40,Talk:Timeline of the 2014 pro-Russian unrest in Ukraine,1,94 days 08:35:48.000000000,0
Avion365,Talk:Timeline of the 2014 pro-Russian unrest in Ukraine,1,41,User:Avion365,1,0 days 00:00:41.000000000,-1
Avion365,User:Avion365,1,42,Talk:Ukrainian Air Force Ilyushin Il-76 shoot-down,1,0 days 01:22:57.000000000,-1
Avion365,Talk:Ukrainian Air Force Ilyushin Il-76 shoot-down,1,43,Talk:Ukrainian Air Force Ilyushin Il-76 shoot-down,1,0 days 00:00:32.000000000,19
Avion365,Talk:Ukrainian Air Force Ilyushin Il-76 shoot-down,1,44,Talk:Ukrainian Air Force Ilyushin Il-76 shoot-down,1,0 days 00:09:08.000000000,19
Avion365,Talk:Ukrainian Air Force Ilyushin Il-76 shoot-down,1,45,Talk:Ukrainian Air Force Ilyushin Il-76 shoot-down,1,0 days 00:01:43.000000000,19
Avion365,Talk:Ukrainian Air Force Ilyushin Il-76 shoot-down,1,46,Talk:Ukrainian Air Force Ilyushin Il-76 shoot-down,1,2 days 01:17:04.000000000,19
Avion365,Talk:Ukrainian Air Force Ilyushin Il-76 shoot-down,1,47,Talk:Timeline of the 2014 pro-Russian unrest in Ukraine,1,4 days 06:39:53.000000000,3
Avion365,Talk:Timeline of the 2014 pro-Russian unrest in Ukraine,1,48,Talk:Timeline of the 2014 pro-Russian unrest in Ukraine,1,0 days 20:55:35.000000000,12
Avion365,Talk:Timeline of the 2014 pro-Russian unrest in Ukraine,1,49,Talk:War in Donbass,1,16 days 23:21:39.000000000,6
Avion365,Talk:War in Donbass,1,50,2014 pro-Russian unrest in Ukraine,0,1 days 00:57:51.000000000,0
Avion365,2014 pro-Russian unrest in Ukraine,0,51,User talk:Mondolkiri1,1,0 days 00:04:22.000000000,-1
Avion365,User talk:Mondolkiri1,1,52,Talk:2014 pro-Russian unrest in Ukraine,1,2 days 05:04:22.000000000,-1
