username1,pagetitle1,meta1,counter,pagetitle2,meta2,timedifference,commoncategories
DwaineK,User:DwaineK,1,0,User:DwaineK,1,0 days 00:00:24.000000000,-1
Juanalbarran243,Veritasium,0,2,Veritasium,0,0 days 00:04:41.000000000,2
Juanalbarran243,Veritasium,0,3,Veritasium,0,0 days 19:38:33.000000000,2
Juanalbarran243,Veritasium,0,4,Veritasium,0,0 days 00:13:27.000000000,2
Juanalbarran243,Veritasium,0,5,Veritasium,0,14 days 02:35:20.000000000,2
Juanalbarran243,Veritasium,0,6,Veritasium,0,0 days 00:01:20.000000000,2
Juanalbarran243,Veritasium,0,7,Veritasium,0,0 days 00:01:11.000000000,2
Juanalbarran243,Veritasium,0,8,Veritasium,0,0 days 00:00:24.000000000,2
Juanalbarran243,Veritasium,0,9,Veritasium,0,17 days 00:34:49.000000000,2
Juanalbarran243,Veritasium,0,10,Futurecop!,0,16 days 21:12:28.000000000,0
Juanalbarran243,Futurecop!,0,11,Andrés Manuel López Obrador,0,24 days 03:27:18.000000000,0
Juanalbarran243,Andrés Manuel López Obrador,0,12,User:Juanalbarran243,1,0 days 00:01:42.000000000,-1
Juanalbarran243,User:Juanalbarran243,1,13,Talk:Veritasium,1,0 days 00:06:35.000000000,-1
Juanalbarran243,Talk:Veritasium,1,14,Raiders of the Lost Ark,0,133 days 01:06:12.000000000,-1
Juanalbarran243,Raiders of the Lost Ark,0,15,Need for Speed: Most Wanted (2012 video game),1,79 days 14:16:49.000000000,0
Juanalbarran243,Need for Speed: Most Wanted (2012 video game),1,16,The Lego Movie Videogame,0,82 days 06:11:20.000000000,9
Juanalbarran243,The Lego Movie Videogame,0,17,User:Juanalbarran243,1,15 days 20:07:53.000000000,-1
Juanalbarran243,User:Juanalbarran243,1,18,Dirt: Showdown,1,177 days 22:17:01.000000000,-1
Juanalbarran243,Dirt: Showdown,1,19,Veritasium,0,0 days 00:03:23.000000000,0
Juanalbarran243,Veritasium,0,20,Veritasium,0,0 days 00:00:30.000000000,2
Ljmonsters,Royal Wins,0,22,User:Ljmonsters,1,251 days 04:29:58.000000000,-1
Ljmonsters,User:Ljmonsters,1,23,User:Ljmonsters,1,0 days 00:04:06.000000000,-1
Ljmonsters,User:Ljmonsters,1,24,User:Ljmonsters,1,0 days 00:05:10.000000000,-1
Ljmonsters,User:Ljmonsters,1,25,User:Ljmonsters,1,0 days 00:00:29.000000000,-1
Ljmonsters,User:Ljmonsters,1,26,Royal Wins,0,0 days 00:00:58.000000000,-1
