username1,pagetitle1,meta1,counter,pagetitle2,meta2,timedifference,commoncategories
Ungvarizs,International Cartographic Association,0,0,International Cartographic Association,0,0 days 00:03:45.000000000,2
Ungvarizs,International Cartographic Association,0,1,International Cartographic Association,0,0 days 00:04:29.000000000,2
Ungvarizs,International Cartographic Association,0,2,International Cartographic Association,0,0 days 00:22:58.000000000,2
Ungvarizs,International Cartographic Association,0,3,International Cartographic Association,0,0 days 00:00:38.000000000,2
Ungvarizs,International Cartographic Association,0,4,International Cartographic Association,0,0 days 00:08:49.000000000,2
Ungvarizs,International Cartographic Association,0,5,International Cartographic Association,0,0 days 00:01:20.000000000,2
Ungvarizs,International Cartographic Association,0,6,International Cartographic Association,0,0 days 00:22:55.000000000,2
Ungvarizs,International Cartographic Association,0,7,International Cartographic Association,0,0 days 00:00:44.000000000,2
Ungvarizs,International Cartographic Association,0,8,International Cartographic Association,0,0 days 00:01:26.000000000,2
Ungvarizs,International Cartographic Association,0,9,International Cartographic Association,0,0 days 00:41:52.000000000,2
Ungvarizs,International Cartographic Association,0,10,International Cartographic Association,0,0 days 00:01:50.000000000,2
Ungvarizs,International Cartographic Association,0,11,International Cartographic Association,0,5 days 20:58:00.000000000,2
Ungvarizs,International Cartographic Association,0,12,International Cartographic Association,0,0 days 00:01:12.000000000,2
Ungvarizs,International Cartographic Association,0,13,International Cartographic Association,0,0 days 00:06:33.000000000,2
Ungvarizs,International Cartographic Association,0,14,International Cartographic Association,0,0 days 00:05:44.000000000,2
Ungvarizs,International Cartographic Association,0,15,International Cartographic Association,0,0 days 00:02:59.000000000,2
Ungvarizs,International Cartographic Association,0,16,International Cartographic Association,0,0 days 00:02:48.000000000,2
Ungvarizs,International Cartographic Association,0,17,International Cartographic Association,0,0 days 00:02:52.000000000,2
Ungvarizs,International Cartographic Association,0,18,User:Ungvarizs,1,0 days 00:06:13.000000000,-1
Ungvarizs,User:Ungvarizs,1,19,File:Logo of the International Cartographic Association.gif,1,0 days 00:12:49.000000000,-1
Ungvarizs,File:Logo of the International Cartographic Association.gif,1,20,International Cartographic Association,0,0 days 00:01:21.000000000,0
Ungvarizs,International Cartographic Association,0,21,International Cartographic Association,0,0 days 00:01:44.000000000,2
Ungvarizs,International Cartographic Association,0,22,International Cartographic Association,0,0 days 00:00:49.000000000,2
Ungvarizs,International Cartographic Association,0,23,International Cartographic Association,0,5 days 15:08:35.000000000,2
Nelon Gerrard,User:Nelon Gerrard,1,25,User:Nelon Gerrard,1,0 days 00:05:53.000000000,1
Nelon Gerrard,User:Nelon Gerrard,1,26,User:Nelon Gerrard,1,0 days 00:01:00.000000000,1
Nelon Gerrard,User:Nelon Gerrard,1,27,User:Nelon Gerrard,1,0 days 00:05:31.000000000,1
