username1,pagetitle1,meta1,counter,pagetitle2,meta2,timedifference,commoncategories
IF***edYourMom,Caliber,0,0,Caliber,0,0 days 00:01:51.000000000,8
Beefyted69,Ted Leonsis,0,2,Ted Leonsis,0,1 days 07:43:05.000000000,25
Beefyted69,Ted Leonsis,0,3,Ted Leonsis,0,0 days 00:03:48.000000000,25
Beefyted69,Ted Leonsis,0,4,User talk:Beefyted69,1,0 days 03:04:14.000000000,-1
Beefyted69,User talk:Beefyted69,1,5,Ted Leonsis,0,0 days 09:13:03.000000000,-1
Onehoteskimo,Ocean sunfish,0,7,Ocean sunfish,0,0 days 00:04:07.000000000,13
Onehoteskimo,Ocean sunfish,0,8,Ocean sunfish,0,0 days 02:29:02.000000000,13
Onehoteskimo,Ocean sunfish,0,9,Ocean sunfish,0,0 days 00:06:59.000000000,13
Onehoteskimo,Ocean sunfish,0,10,Ocean sunfish,0,0 days 00:04:58.000000000,13
Onehoteskimo,Ocean sunfish,0,11,Ocean sunfish,0,0 days 00:03:57.000000000,13
Onehoteskimo,Ocean sunfish,0,12,Brickleberry,0,0 days 00:01:59.000000000,0
Onehoteskimo,Brickleberry,0,13,Brickleberry,0,0 days 00:03:12.000000000,15
Onehoteskimo,Brickleberry,0,14,Brickleberry,0,0 days 00:04:42.000000000,15
Onehoteskimo,Brickleberry,0,15,Brickleberry,0,0 days 00:00:40.000000000,15
Onehoteskimo,Brickleberry,0,16,Meg Griffin,0,0 days 00:05:01.000000000,0
Onehoteskimo,Meg Griffin,0,17,Meg Griffin,0,0 days 00:02:11.000000000,6
Bubeem,Chris Smalling,0,19,User talk:Bubeem,1,0 days 00:03:17.000000000,-1
Bubeem,User talk:Bubeem,1,20,Alexander Büttner,0,0 days 00:00:55.000000000,-1
Bubeem,Alexander Büttner,0,21,David Luiz,0,0 days 02:58:05.000000000,3
Bubeem,David Luiz,0,22,Chris Smalling,0,0 days 00:01:34.000000000,4
Bubeem,Chris Smalling,0,23,Santi Cazorla,0,0 days 00:33:22.000000000,3
Bubeem,Santi Cazorla,0,24,Paul Scholes,0,0 days 00:12:33.000000000,3
Bubeem,Paul Scholes,0,25,Nani,0,0 days 00:03:48.000000000,6
Bubeem,Nani,0,26,Nani,0,0 days 00:03:14.000000000,36
Bubeem,Nani,0,27,Gonzalo Higuaín,0,0 days 00:02:20.000000000,3
Hans6997,Alcohol abuse,0,29,Alcohol abuse,0,0 days 00:02:18.000000000,13
Hans6997,Alcohol abuse,0,30,Alcohol abuse,0,0 days 00:02:38.000000000,13
Hans6997,Alcohol abuse,0,31,Alcohol abuse,0,0 days 00:08:30.000000000,13
Hans6997,Alcohol abuse,0,32,Alcohol abuse,0,0 days 00:08:32.000000000,13
Hans6997,Alcohol abuse,0,33,Alcohol abuse,0,0 days 00:02:26.000000000,13
Hans6997,Alcohol abuse,0,34,Alcohol abuse,0,0 days 00:00:58.000000000,13
Hans6997,Alcohol abuse,0,35,Alcohol abuse,0,0 days 00:03:25.000000000,13
MiniMikeR,Werner Bochmann,0,37,Sigourney Weaver,0,0 days 00:05:02.000000000,4
MiniMikeR,Sigourney Weaver,0,38,Sigourney Weaver,0,0 days 00:05:40.000000000,30
Henkdezwerver,Mike Ditka,0,40,Vandalism on Wikipedia,0,0 days 00:29:00.000000000,1
Henkdezwerver,Vandalism on Wikipedia,0,41,Hobo,0,0 days 00:03:42.000000000,1
Username314159,Geometry,0,43,Geometry,0,0 days 00:05:50.000000000,5
Username314159,Geometry,0,44,Timbuktu,0,0 days 00:04:11.000000000,1
Username314159,Timbuktu,0,45,Arabian Peninsula,0,0 days 03:38:16.000000000,2
Username314159,Arabian Peninsula,0,46,Greece,0,0 days 00:08:28.000000000,3
Username314159,Greece,0,47,User talk:Username314159,1,0 days 03:51:49.000000000,-1
Finnuri,Myspace,0,49,Myspace,0,0 days 00:01:47.000000000,26
Finnuri,Myspace,0,50,Myspace,0,0 days 00:00:23.000000000,26
Finnuri,Myspace,0,51,Myspace,0,0 days 00:01:04.000000000,26
Finnuri,Myspace,0,52,Myspace,0,0 days 00:02:01.000000000,26
Finnuri,Myspace,0,53,Myspace,0,0 days 00:00:24.000000000,26
Eric t. midget,Howard Stern,0,55,Howard Stern,0,0 days 00:02:49.000000000,39
Eric t. midget,Howard Stern,0,56,Ehlers–Danlos syndrome,0,0 days 00:13:31.000000000,0
Eric t. midget,Ehlers–Danlos syndrome,0,57,Ehlers–Danlos syndrome,0,0 days 00:01:03.000000000,11
Eric t. midget,Ehlers–Danlos syndrome,0,58,Ehlers–Danlos syndrome,0,0 days 00:02:52.000000000,11
Eric t. midget,Ehlers–Danlos syndrome,0,59,Robin Quivers,0,0 days 00:20:40.000000000,0
Eric t. midget,Robin Quivers,0,60,America's Got Talent,0,0 days 00:17:48.000000000,2
TheGrapist69,Bushido,0,62,Godzilla,0,0 days 00:07:15.000000000,1
Fake2.0,Portal:Arts/Featured biography/13,1,64,Ramaria botrytis,0,0 days 09:39:54.000000000,-1
Fake2.0,Ramaria botrytis,0,65,Ramaria botrytis,0,0 days 00:02:51.000000000,11
Fake2.0,Ramaria botrytis,0,66,Mexican Drug War,0,0 days 00:03:58.000000000,0
Fake2.0,Mexican Drug War,0,67,Batman Begins,0,0 days 16:29:39.000000000,1
Fake2.0,Batman Begins,0,68,Batman Begins,0,0 days 00:02:19.000000000,35
Fake2.0,Batman Begins,0,69,Batman Begins,0,0 days 00:17:16.000000000,35
Fake2.0,Batman Begins,0,70,Batman Begins,0,0 days 05:04:40.000000000,35
Fake2.0,Batman Begins,0,71,Batman Begins,0,0 days 00:05:02.000000000,35
Fake2.0,Batman Begins,0,72,Batman Begins,0,0 days 00:00:35.000000000,35
Fake2.0,Batman Begins,0,73,User talk:209.34.114.225,1,0 days 18:42:26.000000000,0
Fake2.0,User talk:209.34.114.225,1,74,Pokémon Gold and Silver,0,0 days 00:01:34.000000000,0
Fake2.0,Pokémon Gold and Silver,0,75,Pokémon HeartGold and SoulSilver,0,0 days 00:01:21.000000000,4
Fake2.0,Pokémon HeartGold and SoulSilver,0,76,House,0,0 days 21:26:55.000000000,0
Fake2.0,House,0,77,The Matrix,0,0 days 00:01:51.000000000,0
Fake2.0,The Matrix,0,78,The Matrix,0,0 days 00:01:06.000000000,38
Fake2.0,The Matrix,0,79,The Matrix,0,0 days 00:01:46.000000000,38
Fake2.0,The Matrix,0,80,The Matrix,0,0 days 00:01:23.000000000,38
Fake2.0,The Matrix,0,81,Jac Weller,0,25 days 03:48:13.000000000,0
Fake2.0,Jac Weller,0,82,Jac Weller,0,0 days 00:06:34.000000000,13
Dom-swag,User talk:AussieLegend,1,84,User talk:O.Koslowski,1,0 days 00:08:42.000000000,-1
Pjong Pjang Pjo,Wikipedia:Village pump (miscellaneous),1,86,We Are the Champions,0,0 days 00:00:23.000000000,0
Pjong Pjang Pjo,We Are the Champions,0,87,Banja (Novi Pazar),0,0 days 00:01:04.000000000,0
Itanatswaaa,John Godber,0,89,Coca-Cola Zero,0,0 days 00:01:25.000000000,0
Itanatswaaa,Coca-Cola Zero,0,90,Murder of Stephen Lawrence,0,0 days 11:39:33.000000000,0
Nick 24b,The Ben Stiller Show,0,92,Nathan For You,0,0 days 00:06:48.000000000,0
Nick 24b,Nathan For You,0,93,"Giddings, Texas",0,3 days 02:30:14.000000000,0
Nick 24b,"Giddings, Texas",0,94,San Jose Sharks,0,0 days 00:02:50.000000000,0
Nick 24b,San Jose Sharks,0,95,San Jose Sharks,0,3 days 20:55:48.000000000,10
Honyooboo,Grassland,0,97,Grassland,0,0 days 12:37:45.000000000,9
Honyooboo,Grassland,0,98,Grassland,0,0 days 00:04:51.000000000,9
Honyooboo,Grassland,0,99,Grassland,0,0 days 00:01:17.000000000,9
Honyooboo,Grassland,0,100,Grassland,0,0 days 00:01:11.000000000,9
Swagboy123,Salinity,0,102,Odd,0,0 days 00:01:33.000000000,0
Swagboy123,Odd,0,103,Desk,0,0 days 00:02:05.000000000,0
Arsenal11110,Oliver Warner,0,105,FC Bayern Munich,0,0 days 00:29:27.000000000,1
Arsenal11110,FC Bayern Munich,0,106,Nathan Aké,0,0 days 00:05:27.000000000,0
Arsenal11110,Nathan Aké,0,107,Nathan Aké,0,0 days 07:19:42.000000000,17
Arsenal11110,Nathan Aké,0,108,Nathan Aké,0,0 days 00:13:00.000000000,17
AnthonyRobinson123,Emancipation Proclamation,0,110,Iraq,0,0 days 00:02:49.000000000,0
AnthonyRobinson123,Iraq,0,111,Antidisestablishmentarianism,0,0 days 00:02:08.000000000,3
AnthonyRobinson123,Antidisestablishmentarianism,0,112,User talk:Yintan,1,0 days 00:02:49.000000000,0
AnthonyRobinson123,User talk:Yintan,1,113,555 timer IC,0,0 days 00:01:46.000000000,0
AnthonyRobinson123,555 timer IC,0,114,555 timer IC,0,0 days 00:01:25.000000000,5
Yamumsdadsbrother,"James R. Jordan, Sr.",0,116,Triangle,0,0 days 00:01:38.000000000,0
Yamumsdadsbrother,Triangle,0,117,Triangle,0,0 days 00:00:55.000000000,8
Yamumsdadsbrother,Triangle,0,118,Kitty Flanagan,0,0 days 00:05:46.000000000,0
Mr. Wint and Mr. Kidd,User:Mr. Wint and Mr. Kidd,1,120,User talk:Mr. Wint and Mr. Kidd,1,0 days 00:00:27.000000000,-1
Mr. Wint and Mr. Kidd,User talk:Mr. Wint and Mr. Kidd,1,121,User:NipNap,1,0 days 00:05:01.000000000,-1
Mr. Wint and Mr. Kidd,User:NipNap,1,122,User talk:NipNap,1,0 days 00:00:47.000000000,-1
