username1,totaledit
18phillipst,86
1Nature1,7
23.56.789ERR,3
24days,7
666frz,4
89Jay89,1
99pardeep,2
A.B.X RAP,8
A4advowiki,4
AH UDelLib,329
AL2896,499
AW94,2
Aaron Judgement,2
Abadi2030,7
Abdoolally,9
Abhinav2031,2
Abn7349,36
Access2013,6
Aceoutrageous,1
Acmel48,63
AcochranASCE,9
Adamnur,10
AddWittyNameHere,499
Advaitmission,3
AgentHSmith,54
Agrso,499
Ahmed21212121,2
Albertchembur,86
Alejandro.du,2
Alexamder Jokinksy,5
Alexandralstiles,1
Alexandre Hocquet,107
Alexcansmile,3
Alexyates98,23
Ali Ismail Hulbale,2
Ali alhalwachi,1
AliMohsinjadoon,3
Alpha090,127
Altairs assasin,11
Aluxosm,96
AlvaroGuevaraVazquez,12
Amable269,19
Amanwithoutaface,2
AndrewPeterT,249
Andrewc248,5
Andrewsei141,2
Anesu1633,2
Ankalalchalaune,5
AnnaOurLittleAlice,126
Anoewyn80,41
Antonieta Cardoso,3
Apoorvathegeek,4
Aravinduser,2
Architect2015,9
Archlinux,31
Arifsofg,4
Arikra,5
Asaad Alhaj,2
Asadwarraich,499
Ashdown Ranger,3
AshleighBizzare2013,3
Asnively,8
Ataarbani,19
Atotalstranger,499
Aurelian Carpathia,46
Auro Varat Patnaik,6
Aurora shen andres,2
AuroraDragon,7
Aw116032,8
Awilkens8,2
AzLadyGeek,6
Azizur Rahman John,11
BTMiguel,25
Ba Kiwanuka,18
Babagana M Gana,3
Babak.jzp,2
Backman tuti,3
Balajishripatwad,11
Balen sami,3
BandarAlbgomi,16
Baryalikzai,2
Bassem Jos,3
Beaedyson,32
BearingTechnology,28
BenjaminDrury,13
Benny Verbis,12
BerndHess,6
Bethky,15
BevWeHills,1
Bharatha MP Thennakoon,58
Bhimr,30
Billeh2013,4
Billvictolee,44
Biogerontology,20
BiologistBabe,93
Biswasmit Lenka,2
Bjornturoq,15
BlakeLopez20,8
Blobbylol800,5
Blondeguynative,499
Blue Raspberry Wikipedian,12
Bluebellanon,73
Bmw333,24
Bnseagreen,49
Bob Random Thoughts,14
Bobwonder96,1
Bodroom,22
Bogdan Kosar,497
Bomlboy7,4
Bossicon,6
Bradley J. Fest,4
Braj kishor kamal,3
BranSul,9
Brandonheys1,2
Brendan Nugent,3
Brentc3,8
Brian Rapson,25
Brit-o-pedia,23
Btgolder,21
BubbyJ,9
Burfoa,12
Bvpandurangarao,10
Byfserag,27
CDK78,9
CFredkin,499
Cabaye4,3
Calamity Hill,60
Canadaiscool74,6
Canoedunk,7
Cardiffcityfan07,14
Cathydommer,5
Catmac3232,1
Catverine,499
Ccie.cisco,3
CentervilleDad,61
Ceraex,68
Cereza123,3
Cerezolowell,3
Cfrede,13
CharityKountz,9
Charles Segal Music,20
Chigwalla,7
Choirboyvallejo,3
Chrismorey,499
Chrissydakid,3
Christopher.Hesh,72
CiociaDobraRada,3
Cl171562,8
Claremont 2013,3
Claws47,18
Clayton.mcbride,3
Clotheslover12,5
Cloudcomputingcompany,2
Comapony,9
Confessionallutheran,19
Content.adder,11
Cooldj101,8
Cosettej,108
Coteup,2
Cottagechef,3
Cpl.Winky,2
Cr.marthi,7
Crazyforreading,74
Culturecontrol,2
Curbkicked,2
DBWilliams23,6
DLM 1989,224
DMendeleev,230
DMutani,3
DaffydLandegge,10
Dangerame,3
Danielklee92,90
Danieltscott,27
Danjen2331,17
Danredmount,35
DarkMalfunction,4
DarkMatter8295,1
Darknessmaster64,4
Darkreason2,4
Darkreign11,9
Darkwormhole,15
Darts Romania,195
Darumadesign,2
DasGermanMoses,499
DaveyT1,3
David Dariel Lewis,2
David1hein,29
DavidBellos,85
Daviddenboer,27
DayleFire,4
DeadManINDIA,4
DeborahLinderDVMDACVN,3
Debrafir,21
Derube,3
Dickonson,4
Diegoxerol2013,3
Dmar91,20
Doggers westerdyk,3
DoubleTrebleTrouble,5
Dougalai,2
Dr stephen johnson,2
DrAWeiner,3
DrDillard,24
Drewkeeling,50
Drickfire,43
Dubya23,3
Dumuids,10
Dwoullard66,1
ENKWMS,17
Eclatbs 13py,2
Ecuardodias,2
Eddiechisha,13
Edithsim,14
Eksilverman,13
Elainy223,8
Eliluu,148
Emcroke,2
EmeraldGreg,5
EncyclopaediaNilssonia,213
Engrsafeerullah,2
Enriquepenson,4
Erezcorech,7
Erika Linder Fan,8
Erlend Rolf Bakke,3
EseYoungLilJoker,1
Essencerayne,3
Esther.seung.lee,11
Evelenfiftyseven,23
Ewald dlawE,24
Eynre,74
FSDetroitMLB,2
Fabiomormile,2
FactChkGal13,154
Farah ghzawi,2
Farhang M. Muhamad,3
Father Leonard,10
Fawwazz,21
Fearjesus,30
Fellboy4256,3
Fernand.braudel,15
Fewfre,10
FireflySixtySeven,499
Fluffynutmeg,11
Flying Buttress,55
Foley7128,5
Francky Perez,2
FreckleTrout,3
Fredrick Matenga,2
Fscantamburlo,97
Futurenat,18
Fyrdraca,21
GKWilly,3
Gabriel Salameh,6
Gaea LaBelle,11
Gafeg,15
Gankbanger,7
Gary petty,3
Garyfindlow82,3
Gbotemikolawole,2
GeekInItsPurestForm,51
GengarIsGreat,1
Genius Terra,5
George Nhigula,2
GeorgeErgo,3
Gespafresca,4
Gho2t993,86
GiantsAreAwesome,3
Gibwork,1
