counter,crns
35,1
44,1
51,1
55,1
76,1
85,1
89,1
91,1
132,1
133,1
135,1
136,1
137,1
200,1
207,1
218,1
219,1
220,1
221,1
225,1
229,1
238,1
239,1
240,1
244,1
268,1
279,1
284,1
285,1
292,1
294,1
297,1
303,1
316,1
327,1
339,1
341,1
356,1
362,1
363,1
365,1
366,1
367,1
372,1
373,1
374,1
380,1
381,1
382,1
386,1
475,1
476,1
512,1
597,1
602,1
656,1
664,1
672,1
709,1
719,1
729,1
730,1
732,1
735,1
882,1
883,1
898,1
984,1
1004,1
1012,1
1017,1
1105,1
1122,1
1362,1
1367,1
1370,1
1372,1
1378,1
1380,1
1381,1
1386,1
1388,1
1401,1
1414,1
1433,1
1439,1
1441,1
1456,1
1458,1
1459,1
1460,1
1489,1
1564,1
1602,1
1616,1
1620,1
1621,1
1622,1
1626,1
1637,1
1638,1
1664,1
1672,1
1673,1
1679,1
1689,1
1694,1
1703,1
1704,1
1705,1
1712,1
1713,1
1719,1
1720,1
1741,1
1753,1
1755,1
1757,1
1761,1
1773,1
1779,1
1783,1
1788,1
1789,1
1792,1
1793,1
1796,1
1797,1
1798,1
1809,1
1812,1
1813,1
1814,1
1816,1
1820,1
1821,1
1823,1
1825,1
1828,1
1833,1
1834,1
1837,1
1843,1
1853,1
1873,1
1879,1
1883,1
1884,1
1887,1
1888,1
1889,1
1890,1
1893,1
1894,1
1896,1
1897,1
1898,1
1901,1
1905,1
1908,1
1909,1
1910,1
1911,1
1912,1
1914,1
1915,1
1917,1
1918,1
1919,1
1920,1
1921,1
1929,1
1930,1
1933,1
1939,1
1942,1
1946,1
1948,1
1949,1
1951,1
1952,1
1953,1
1954,1
1959,1
1961,1
1976,1
1982,1
1987,1
2129,1
2130,1
2135,1
2151,1
2157,1
2243,1
2326,1
2328,1
2362,1
2366,1
2391,1
2441,1
2442,1
2443,1
2448,1
2452,1
2453,1
2462,1
2488,1
2489,1
2510,1
2666,1
2720,1
2733,1
2749,1
2793,1
2794,1
2796,1
2797,1
2831,1
2931,1
3100,1
3147,1
3148,1
3159,1
3163,1
3177,1
3187,1
3210,1
3212,1
3231,1
3232,1
3234,1
3241,1
3242,1
3244,1
3331,1
3335,1
3336,1
3425,1
3430,1
3462,1
3478,1
3479,1
3480,1
3509,1
3529,1
3546,1
3549,1
3556,1
3558,1
3566,1
3568,1
3569,1
3573,1
3574,1
3577,1
3581,1
3583,1
3590,1
3592,1
3593,1
3594,1
3614,1
3690,1
3691,1
3692,1
3693,1
3695,1
3707,1
3710,1
3715,1
3726,1
3727,1
3728,1
3731,1
3733,1
3734,1
3736,1
3737,1
3740,1
3747,1
3748,1
3757,1
3758,1
3760,1
3765,1
3773,1
3780,1
3781,1
3795,1
3808,1
3813,1
3814,1
3823,1
3827,1
3837,1
3839,1
3870,1
3884,1
3894,1
3899,1
3900,1
3909,1
3910,1
3911,1
3914,1
3915,1
3936,1
3937,1
3939,1
3946,1
3948,1
3949,1
3954,1
3955,1
3957,1
3959,1
3966,1
3983,1
3984,1
3985,1
3989,1
3990,1
3994,1
3995,1
3996,1
3997,1
3999,1
4001,1
4005,1
4006,1
4007,1
4008,1
4024,1
4033,1
4034,1
4035,1
4036,1
4037,1
4038,1
4039,1
4040,1
4041,1
4042,1
4047,1
4048,1
4049,1
4050,1
4052,1
4055,1
4056,1
4059,1
4061,1
4062,1
4063,1
4068,1
4069,1
4070,1
4072,1
4099,1
4100,1
4104,1
4132,1
4134,1
4144,1
4147,1
4148,1
4149,1
4150,1
4158,1
4160,1
4163,1
4169,1
4170,1
4171,1
4175,1
4177,1
4178,1
4181,1
4184,1
4188,1
4190,1
4191,1
4193,1
4194,1
4209,1
4221,1
4223,1
4225,1
4227,1
4232,1
4233,1
4235,1
4236,1
4240,1
4241,1
4250,1
4256,1
4258,1
4260,1
4264,1
4274,1
4318,1
4319,1
4320,1
4325,1
4328,1
4329,1
4330,1
4333,1
4334,1
4339,1
4345,1
4346,1
4350,1
4360,1
4361,1
4372,1
4374,1
4383,1
4384,1
4385,1
4391,1
4392,1
4397,1
4398,1
4405,1
4407,1
4409,1
4415,1
4432,1
4435,1
4436,1
4439,1
4441,1
4455,1
4456,1
4458,1
4470,1
4514,1
4515,1
4519,1
4532,1
4537,1
4538,1
4563,1
4570,1
4571,1
4574,1
4575,1
4592,1
4593,1
4594,1
4595,1
4596,1
4600,1
4613,1
4614,1
4615,1
4635,1
4638,1
4685,1
4686,1
4688,1
4690,1
4697,1
4711,1
4712,1
4718,1
4723,1
4724,1
4726,1
4733,1
4743,1
4824,1
4886,1
4888,1
4893,1
4894,1
4897,1
4956,1
4966,1
4967,1
4968,1
4973,1
4983,1
4984,1
5036,1
5041,1
5048,1
5049,1
5056,1
5133,1
5153,1
5165,1
5171,1
5174,1
5176,1
5177,1
5193,1
5298,1
5301,1
5302,1
5339,1
5375,1
5379,1
5408,1
5415,1
5432,1
5433,1
5434,1
5435,1
5441,1
5447,1
5450,1
5456,1
5478,1
5665,1
5669,1
5736,1
5911,1
5912,1
5913,1
5914,1
5924,1
6033,1
6035,1
6036,1
6102,1
6117,1
6146,1
6184,1
6242,1
6302,1
6305,1
6317,1
6320,1
6331,1
