counter,crns
10,1
14,1
20,1
44,1
60,1
61,1
93,1
129,1
169,1
184,1
203,1
246,1
293,1
296,1
300,1
333,1
334,1
335,1
336,1
337,1
595,1
743,1
761,1
766,1
775,1
807,1
816,1
925,1
1002,1
1208,1
1230,1
1253,1
1254,1
1255,1
1338,1
1342,1
1343,1
1344,1
1347,1
1353,1
1387,1
1469,1
1489,1
1490,1
1491,1
1505,1
1507,1
1511,1
1518,1
1533,1
1586,1
1587,1
1619,1
1637,1
1664,1
1702,1
1740,1
1781,1
1838,1
2039,1
2040,1
2042,1
2061,1
2078,1
2101,1
2141,1
2142,1
2143,1
2148,1
2174,1
2186,1
2187,1
2189,1
2200,1
2245,1
2256,1
2257,1
2278,1
2299,1
2307,1
2310,1
2321,1
2338,1
2339,1
2345,1
2357,1
2627,1
2671,1
2678,1
2739,1
2841,1
2870,1
2940,1
2942,1
2948,1
2992,1
3026,1
3028,1
3029,1
3282,1
3300,1
3368,1
3383,1
3386,1
3396,1
3400,1
3413,1
3627,1
3703,1
3746,1
3747,1
3774,1
3787,1
3806,1
3820,1
3847,1
3853,1
3858,1
3864,1
3866,1
3871,1
3873,1
4044,1
4050,1
4130,1
4131,1
4169,1
4170,1
4212,1
4295,1
4308,1
4357,1
4358,1
4360,1
4365,1
4386,1
4406,1
4407,1
4413,1
4452,1
4492,1
4544,1
4545,1
4552,1
4562,1
4564,1
4565,1
4671,1
4676,1
4754,1
4781,1
4782,1
4785,1
4819,1
4858,1
4903,1
4972,1
5007,1
5013,1
5025,1
5082,1
5139,1
5193,1
5204,1
5256,1
5379,1
5411,1
5438,1
5440,1
5503,1
5512,1
5513,1
5521,1
5556,1
5585,1
5599,1
5610,1
5618,1
5655,1
5716,1
5792,1
5808,1
5836,1
5936,1
5942,1
5960,1
5971,1
6011,1
6012,1
6038,1
6045,1
6052,1
6058,1
6068,1
6071,1
6090,1
6108,1
6114,1
6115,1
6126,1
6150,1
6153,1
6214,1
6273,1
6275,1
6292,1
6338,1
6377,1
6389,1
6392,1
6396,1
6402,1
6403,1
6405,1
6417,1
6418,1
6421,1
6455,1
6457,1
6459,1
6462,1
6495,1
6517,1
6624,1
6640,1
6645,1
6660,1
6661,1
6677,1
6678,1
6679,1
6680,1
6683,1
6815,1
6886,1
6915,1
6922,1
6958,1
6962,1
7027,1
7289,1
7320,1
7323,1
7367,1
7457,1
7462,1
7468,1
7471,1
7472,1
7493,1
7498,1
7499,1
7500,1
7508,1
7510,1
7523,1
7605,1
7643,1
7646,1
7648,1
7651,1
7713,1
7717,1
7719,1
7720,1
7721,1
7722,1
7728,1
7730,1
7800,1
7806,1
7819,1
7822,1
7823,1
7824,1
7825,1
7830,1
7899,1
7921,1
7922,1
7945,1
7959,1
8176,1
8184,1
8210,1
8290,1
8310,1
8333,1
8336,1
8337,1
8356,1
8374,1
8381,1
8385,1
8389,1
8390,1
8401,1
8507,1
