counter,crns
11,1
109,1
124,1
139,1
174,1
255,1
287,1
290,1
291,1
355,1
373,1
374,1
376,1
378,1
409,1
413,1
435,1
463,1
467,1
469,1
470,1
513,1
548,1
618,1
630,1
646,1
690,1
763,1
788,1
789,1
791,1
824,1
903,1
906,1
1053,1
1064,1
1069,1
1070,1
1075,1
1120,1
1188,1
1189,1
1270,1
1365,1
1449,1
1489,1
1510,1
1544,1
1550,1
1557,1
1559,1
1632,1
1660,1
1740,1
1831,1
1834,1
1844,1
1855,1
2022,1
2024,1
2026,1
2047,1
2078,1
2089,1
2161,1
2177,1
2194,1
2197,1
2252,1
2285,1
2358,1
2364,1
2369,1
2374,1
2386,1
2388,1
2405,1
2407,1
2542,1
2577,1
2623,1
2628,1
2636,1
2647,1
2650,1
2784,1
2805,1
2815,1
2817,1
2844,1
2848,1
2883,1
2884,1
2899,1
2943,1
2968,1
3097,1
3103,1
3108,1
3109,1
3112,1
3160,1
3168,1
3201,1
3212,1
3301,1
3303,1
3306,1
3371,1
3386,1
3388,1
3390,1
3393,1
3394,1
3406,1
3407,1
3485,1
3490,1
3499,1
3523,1
3616,1
3672,1
3673,1
3674,1
3675,1
3678,1
3679,1
3694,1
3752,1
3754,1
3837,1
3838,1
3899,1
3940,1
3998,1
4063,1
4065,1
4066,1
4067,1
4080,1
4101,1
4149,1
4166,1
4251,1
4352,1
4393,1
4394,1
4425,1
4479,1
4501,1
4520,1
4551,1
4558,1
4613,1
4633,1
4764,1
4783,1
4786,1
4810,1
4811,1
4813,1
4814,1
4815,1
4816,1
5005,1
5094,1
5192,1
5229,1
5230,1
5235,1
5267,1
5268,1
5295,1
5303,1
5331,1
5333,1
5364,1
5370,1
5396,1
5400,1
5408,1
5417,1
5452,1
5459,1
5581,1
5585,1
5590,1
5594,1
5595,1
5704,1
5724,1
5730,1
5752,1
5757,1
5758,1
5765,1
5766,1
5771,1
5795,1
5834,1
5856,1
5866,1
5870,1
5933,1
5973,1
5983,1
5985,1
5988,1
5989,1
6003,1
6067,1
6068,1
6081,1
6099,1
6100,1
6116,1
6117,1
6155,1
6158,1
6159,1
6161,1
6163,1
6167,1
6178,1
6231,1
6255,1
6256,1
6259,1
6265,1
6267,1
6279,1
6281,1
6284,1
6298,1
6312,1
6319,1
6350,1
6352,1
6354,1
6355,1
6389,1
6394,1
6405,1
6476,1
6516,1
6558,1
6566,1
6581,1
6583,1
6619,1
6639,1
6702,1
6704,1
6705,1
6715,1
6790,1
6796,1
6797,1
6800,1
6804,1
6807,1
6843,1
6899,1
7062,1
7135,1
7341,1
7381,1
7390,1
7407,1
7410,1
7460,1
7496,1
7613,1
7622,1
7657,1
7667,1
7680,1
7760,1
7775,1
7905,1
7928,1
7969,1
8024,1
8034,1
8048,1
8059,1
8111,1
