username1,pagetitle1,pagetitle2,counter
Boyboy13,Flute,User talk:Crispy1989,27
Troller3000,Mid-Pacific Institute,User talk:Troller3000,57
Wiki x King,Titration,User talk:Wiki x King,143
Wiki x King,User talk:Wiki x King,King Lear,144
Poopnuke,Intercontinental ballistic missile,User:Poopnuke/sandbox,210
Tangoviper,User:Tangoviper,Brad Maddox,294
BrockHoliox,User talk:BrockHoliox,User talk:Materialscientist,343
Katetha,Phil Lester,User talk:Katetha,529
CatTazer69,User talk:Tonymontana1235312,Promiscuity,550
CatTazer69,Jack and Jill (film),User:CatTazer69/Turnabout is stupid,553
Helloeveryone91919,Johnny Test,User:Helloeveryone91919/sandbox,739
Tentri,User:Tentri,Aldfrith of Northumbria,749
MR.SPARKLE'S-UNICORN-ZOMBIE,User:MR.SPARKLE'S-UNICORN-ZOMBIE,Himalayan cat,776
Wayne59,Financial transaction,User talk:Wayne59,853
Wayne59,User talk:I am One of Many,User:Gmaxwell/seo,855
Wayne59,User:Gmaxwell/seo,Talk:Nicki Minaj,856
Transerd,Wikipedia:Articles for deletion/László Kovács (writer),Castra of Drajna de Sus,984
Transerd,Wikipedia:Articles for deletion/László Kovács (writer),Klauzál tér (Budapest),989
Transerd,Talk:Klauzál Square,Castra of Târsa,995
Transerd,Battle of Trnava (1430),Battle of Nagyszombat,1122
Transerd,User:Transerd,User talk:Alexf,1325
Kurwiszonfiut,Central African Republic,User talk:Kurwiszonfiut,1405
Kakamanal,Mahmoud Ahmadinejad,User talk:Kakamanal,1935
Pedro69914,Gabriela Mistral,Wikipedia:Edit filter/False positives/Reports,1939
Bong Hits For Muhammad,User talk:I dream of horses,Here and Now (Nickelback album),1999
LenaDelRay,Anne Hathaway,User talk:2.29.83.195,2113
Brockhole8,List of hardcore punk bands,Wikipedia:Articles for deletion/Bradley Wright,2117
Brockhole8,Wikipedia:Articles for deletion/Bradley Wright,User:YuMaNuMa,2118
JuanXolos,User:JuanXolos/sandbox,2012–13 Liga MX season,2147
Lucario42t,Yolo,User talk:Lucario42t,2185
Tablorprizerna,Quarter-comma meantone,User talk:Carolmooredc,2245
Chicken5000,Bread,Wikipedia:Edit filter/False positives/Reports,2314
Melikedonkeykong,User talk:Melikedonkeykong,"Louisa, Kentucky",2320
Tempuser1,User:Tempuser1,Spotted owl,2434
Akshayep,Jesus in Islam,User talk:Akshayep,2509
Hartsleisure,Bacary Sagna,User talk:Hartsleisure,2566
Zanbaq2,Shaul Mofaz,Portal:Featured content/Pages,2571
Zanbaq2,Portal:Cumbria,User talk:Zanbaq2,2579
Taylor.brazell,Talk:Lollipop,User talk:Taylor.brazell,2610
MasterHaydow,User:MasterHaydow,Mechanical advantage,2643
Doc Ock3,Butt plug,User talk:JohnCD,2655
TannerSauve911,Detroit,User:TannerSauve911,2680
TannerSauve911,User:TannerSauve911,Law of the United States,2681
Luxurious Line,Allan Hancox,User talk:Luxurious Line,2711
Stegmeister1,Antonie van Leeuwenhoek,User talk:Stegmeister1,2924
Khaduja,User talk:Khaduja,Yaya Touré,3023
Lucrae Jenkins,User talk:Rocketrod1960,User talk:Lucrae Jenkins,3117
Give Idea,Talk:John Lennon,User talk:Binksternet,3157
Give Idea,User talk:Binksternet,User talk:Jimbo Wales,3158
LTFan22,Comune,Isab,3213
LTFan22,Isab,Wayne Jarrett,3214
Bobspalding,Math (disambiguation),User talk:Bobspalding,3372
