username1,pagetitle1,pagetitle2,counter
Beefyted69,Ted Leonsis,User talk:Beefyted69,4
Username314159,Greece,User talk:Username314159,47
Fake2.0,Portal:Arts/Featured biography/13,Ramaria botrytis,64
MyThrowawayAccount,Yahoo! Mobile,User talk:MyThrowawayAccount,364
SalHatena,User talk:Yintan,User talk:SalHatena,547
Cameronpeattie,User:Cameronpeattie/sandbox,Antoni Gaudí,603
Josecardoza,User talk:Nick 24b,User talk:Fingerelevenfanatic9,782
Itsakitten,User talk:Itsakitten,"Pryor Creek, Oklahoma",802
Lukeluv69,Diversity factor,User talk:Keri,829
FelipeCaraVieja,Michelle Williams (singer),User talk:Excirial,895
FelipeCaraVieja,Michelle Williams (singer),User talk:FelipeCaraVieja,897
Wtfboom814,Kokeshi,User talk:Wtfboom814,1040
Malcon 95,Malaysian Army,User:Malcon 95,1051
Malcon 95,Malaysian Army,User talk:Malcon 95,1065
Spyke12,User:Spyke12,Reykjavik to Rotterdam (2007),1160
Preshil2012,Peter Siddle,User talk:Preshil2012,1211
TAMMYWENA,Tim Riley (radio personality),User talk:NawlinWiki/Archive 77,1253
Tepid Glitter,User:Tepid Glitter,Orange juice,1270
Fingerelevenfanatic9,Cobalt(II) bromide,User:Fingerelevenfanatic9,1300
DoctorHenryHowardHolmes,Wikipedia:Articles for deletion/Pasquale Cafaro,Communist Russia,1457
DoctorHenryHowardHolmes,Communist Russia,User talk:DoctorHenryHowardHolmes,1466
DoctorHenryHowardHolmes,Ronald L. Thompson,Wikipedia:Articles for deletion/Andrés Thomas Conteris (2nd nomination),1473
DoctorHenryHowardHolmes,Wikipedia:Articles for deletion/Andrés Thomas Conteris (2nd nomination),Pasquale Cafaro,1477
Madibff,User talk:96.4.40.226,Talk:Main Page,1647
Madibff,Talk:Main Page,User talk:Madibff,1648
Biolifeline,Index of health articles,User talk:Biolifeline,1775
Cole240269,User:Cole240269,Chester Gaylord,1813
Sharpspike77,Salting the earth,User talk:Sharpspike77,1876
Gifara,Diary of a Wimpy Kid (series),User talk:Gifara,1922
