counter,crmf
127,1
130,1
131,1
208,1
209,1
215,1
263,1
266,1
281,1
311,1
326,1
327,1
336,1
445,1
447,1
521,1
600,1
797,1
798,1
832,1
833,1
834,1
1140,1
1145,1
1244,1
1624,1
1635,1
1709,1
1840,1
1897,1
2063,1
2207,1
2208,1
2213,1
2216,1
2217,1
2218,1
2256,1
2257,1
2295,1
2314,1
2409,1
2410,1
2470,1
2508,1
2511,1
2513,1
2545,1
2625,1
2626,1
2671,1
2685,1
2687,1
2689,1
2691,1
2692,1
2766,1
2771,1
2775,1
2782,1
3116,1
3117,1
3118,1
3119,1
3137,1
3139,1
3140,1
3143,1
3171,1
3191,1
3398,1
3399,1
3419,1
3457,1
3525,1
3531,1
3669,1
3731,1
3732,1
3738,1
3743,1
3744,1
3775,1
4052,1
4111,1
4128,1
4200,1
4211,1
4793,1
