counter,crmf
124,1
154,1
232,1
233,1
234,1
235,1
236,1
278,1
286,1
367,1
559,1
587,1
680,1
698,1
703,1
714,1
723,1
732,1
733,1
928,1
929,1
971,1
1006,1
1010,1
1141,1
1143,1
1144,1
1145,1
1172,1
1185,1
1352,1
1407,1
1713,1
1843,1
1884,1
2087,1
2091,1
2092,1
2093,1
2094,1
2095,1
2383,1
2387,1
2417,1
2438,1
2442,1
2466,1
2583,1
2584,1
2689,1
2935,1
3101,1
3163,1
3237,1
3262,1
3272,1
3700,1
3744,1
3838,1
3840,1
3842,1
3845,1
3852,1
3998,1
4006,1
4346,1
4441,1
4443,1
4446,1
4448,1
4470,1
4694,1
4796,1
4798,1
4826,1
4836,1
4874,1
4885,1
4892,1
4907,1
4908,1
4928,1
4935,1
4936,1
4962,1
4978,1
4980,1
5142,1
5174,1
5176,1
5196,1
5280,1
5298,1
5320,1
5321,1
5527,1
5532,1
5534,1
5561,1
5734,1
5890,1
5891,1
6120,1
6124,1
6234,1
6275,1
6276,1
6292,1
6301,1
6380,1
6437,1
6473,1
6481,1
6523,1
6863,1
