counter,crmf
1,1
105,1
147,1
149,1
173,1
461,1
495,1
496,1
584,1
586,1
595,1
598,1
600,1
611,1
622,1
735,1
747,1
749,1
750,1
751,1
752,1
776,1
972,1
973,1
1340,1
1341,1
1343,1
1359,1
1362,1
1378,1
1469,1
1478,1
1487,1
1490,1
1491,1
1495,1
1515,1
1516,1
1550,1
1551,1
1561,1
1564,1
1572,1
1581,1
1583,1
1587,1
1588,1
1590,1
1593,1
1595,1
1605,1
1609,1
1631,1
1632,1
1640,1
1647,1
1659,1
1679,1
1691,1
1698,1
1699,1
1702,1
1720,1
1736,1
1739,1
1742,1
1745,1
1746,1
1772,1
1773,1
1785,1
1800,1
1808,1
1814,1
1815,1
1995,1
2060,1
2144,1
2147,1
2181,1
2186,1
2187,1
2195,1
2201,1
2210,1
2215,1
2268,1
2275,1
2285,1
2299,1
2303,1
2333,1
2342,1
2369,1
2375,1
2383,1
2384,1
2398,1
2409,1
2411,1
2429,1
2436,1
2448,1
2454,1
2455,1
2493,1
2622,1
2744,1
2760,1
2762,1
2764,1
2995,1
3001,1
3002,1
3014,1
3015,1
3018,1
3019,1
3021,1
3024,1
3025,1
3026,1
3027,1
3028,1
3038,1
3039,1
3040,1
3048,1
3049,1
3051,1
3052,1
3053,1
3064,1
3067,1
3072,1
3073,1
3074,1
3075,1
3076,1
3078,1
3080,1
3083,1
3085,1
3086,1
3090,1
3091,1
3093,1
3094,1
3095,1
3098,1
3101,1
3103,1
3109,1
3110,1
3113,1
3125,1
3129,1
3130,1
3131,1
3132,1
3133,1
3135,1
3136,1
3137,1
3138,1
3143,1
3144,1
3147,1
3149,1
3151,1
3152,1
3153,1
3154,1
3156,1
3157,1
3160,1
3164,1
3169,1
3171,1
3173,1
3191,1
3221,1
3222,1
3233,1
3236,1
3239,1
3243,1
3247,1
3252,1
3254,1
3255,1
3256,1
3260,1
3262,1
3265,1
3267,1
3268,1
3269,1
3270,1
3271,1
3279,1
3281,1
3283,1
3284,1
3285,1
3287,1
3288,1
3289,1
3298,1
3299,1
3301,1
3302,1
3303,1
3304,1
3306,1
3308,1
3309,1
3313,1
3315,1
3316,1
3317,1
3318,1
3319,1
3322,1
3324,1
3329,1
3331,1
3333,1
3334,1
3335,1
