counter,crmf
73,1
155,1
156,1
271,1
274,1
296,1
453,1
548,1
656,1
662,1
786,1
865,1
872,1
1078,1
1134,1
1475,1
1479,1
1481,1
1482,1
1489,1
1519,1
1521,1
1522,1
1611,1
1617,1
1623,1
1669,1
1678,1
1714,1
1741,1
1804,1
1806,1
2063,1
2197,1
2199,1
2237,1
2412,1
2433,1
2442,1
2443,1
2469,1
2966,1
2967,1
3051,1
3052,1
3054,1
3055,1
3058,1
3059,1
3259,1
3282,1
3283,1
3383,1
3597,1
3632,1
3639,1
3640,1
3641,1
3772,1
3825,1
4050,1
4100,1
4181,1
4186,1
4252,1
4255,1
4256,1
4313,1
4382,1
4383,1
4417,1
4455,1
4502,1
4562,1
4581,1
4583,1
4594,1
4596,1
4598,1
4659,1
4674,1
4679,1
4681,1
4690,1
4699,1
4938,1
4939,1
4941,1
4942,1
4943,1
5916,1
5918,1
5922,1
5923,1
5927,1
5930,1
5997,1
6008,1
6029,1
6056,1
6064,1
6066,1
6075,1
6077,1
6097,1
6101,1
6124,1
6128,1
6636,1
6794,1
6803,1
6804,1
7099,1
7107,1
7112,1
7159,1
7178,1
