counter,crms
10,1
179,1
181,1
183,1
336,1
403,1
406,1
409,1
438,1
440,1
442,1
453,1
456,1
466,1
469,1
470,1
742,1
745,1
748,1
769,1
770,1
771,1
841,1
842,1
847,1
848,1
896,1
1080,1
1280,1
1285,1
1291,1
1292,1
1296,1
1323,1
1326,1
1327,1
1335,1
1495,1
1517,1
1518,1
1557,1
1583,1
1584,1
1587,1
1590,1
1591,1
1597,1
1598,1
2051,1
2061,1
2062,1
2064,1
2073,1
2074,1
2077,1
2078,1
2082,1
2097,1
2100,1
2123,1
2127,1
2161,1
2168,1
2182,1
2183,1
2187,1
2189,1
2190,1
2191,1
2201,1
2205,1
2214,1
2228,1
2234,1
2256,1
2269,1
2276,1
2278,1
2333,1
2526,1
2527,1
2528,1
2529,1
2530,1
2531,1
2532,1
2533,1
2534,1
2535,1
2536,1
2560,1
2561,1
2566,1
2567,1
2570,1
2577,1
2582,1
2583,1
2596,1
2599,1
2631,1
2633,1
2635,1
2639,1
2644,1
2645,1
2648,1
2652,1
2658,1
2660,1
2687,1
2698,1
2699,1
2700,1
2702,1
2703,1
2708,1
2711,1
2715,1
2723,1
2724,1
2725,1
2726,1
2728,1
2737,1
2776,1
2777,1
2779,1
2799,1
2812,1
2813,1
2815,1
2837,1
2856,1
2872,1
2878,1
2882,1
2883,1
2888,1
2890,1
2911,1
2912,1
2914,1
2917,1
2936,1
2944,1
2974,1
2977,1
2980,1
2983,1
2984,1
2989,1
2991,1
3028,1
3030,1
3034,1
3038,1
3040,1
3041,1
3042,1
3043,1
3045,1
3061,1
3063,1
3064,1
3069,1
3070,1
3080,1
3114,1
3117,1
3138,1
3139,1
3141,1
3142,1
3168,1
3169,1
3180,1
3204,1
3255,1
3289,1
3292,1
3296,1
3304,1
3389,1
3416,1
3482,1
3484,1
3499,1
3501,1
3602,1
3658,1
3659,1
3660,1
3661,1
3683,1
3879,1
3969,1
3970,1
3971,1
3972,1
4643,1
4675,1
4681,1
4740,1
4746,1
4903,1
4904,1
4906,1
4908,1
4909,1
4910,1
4916,1
4918,1
4920,1
4922,1
4923,1
4924,1
4925,1
4926,1
4931,1
4935,1
4936,1
4937,1
4942,1
4950,1
4961,1
5002,1
5003,1
5005,1
5019,1
5020,1
5021,1
5073,1
5089,1
5095,1
5097,1
5099,1
5100,1
5114,1
5184,1
5190,1
5202,1
5215,1
5237,1
5238,1
5243,1
5257,1
5258,1
5259,1
5278,1
5281,1
