counter,crms
16,1
110,1
485,1
486,1
489,1
911,1
915,1
1022,1
1081,1
1333,1
1821,1
2587,1
2598,1
2599,1
2731,1
2954,1
3060,1
3067,1
3070,1
3087,1
3089,1
3125,1
3330,1
3596,1
3597,1
3598,1
3599,1
3600,1
3602,1
3632,1
3633,1
3676,1
3677,1
3694,1
3838,1
4041,1
4519,1
4569,1
4570,1
4772,1
4774,1
4775,1
4776,1
5090,1
5166,1
5167,1
5168,1
5544,1
5546,1
5644,1
5646,1
6190,1
6194,1
6196,1
6762,1
6803,1
6915,1
6931,1
6932,1
6933,1
7108,1
7109,1
7222,1
7224,1
7225,1
7357,1
7423,1
7424,1
7426,1
7566,1
7567,1
7673,1
7674,1
7675,1
7676,1
7677,1
7738,1
7740,1
7742,1
7828,1
7853,1
7854,1
7855,1
7985,1
7986,1
7987,1
7991,1
8014,1
8056,1
8057,1
8075,1
8076,1
8172,1
8319,1
8365,1
8366,1
8367,1
8374,1
8377,1
8433,1
8453,1
8460,1
8536,1
8537,1
8538,1
8539,1
8551,1
8602,1
8624,1
8633,1
8648,1
8665,1
8667,1
