counter,crms
230,1
231,1
381,1
498,1
530,1
531,1
532,1
590,1
862,1
870,1
1011,1
1013,1
1014,1
1032,1
1063,1
1091,1
1092,1
1093,1
1104,1
1139,1
1143,1
1158,1
1184,1
1191,1
1857,1
1861,1
1862,1
1863,1
1891,1
2325,1
2567,1
2568,1
2659,1
2685,1
2688,1
2712,1
2713,1
2714,1
2832,1
3155,1
3156,1
3662,1
3664,1
3667,1
3769,1
3972,1
3973,1
4155,1
4294,1
4295,1
4300,1
4301,1
4302,1
4305,1
4318,1
4501,1
4781,1
4784,1
4787,1
4880,1
4882,1
4883,1
4888,1
4889,1
5084,1
5155,1
5190,1
5279,1
5280,1
5484,1
5489,1
5494,1
5548,1
5565,1
5658,1
5659,1
5660,1
5676,1
7103,1
7170,1
7318,1
7320,1
7332,1
7343,1
7430,1
7506,1
7762,1
8146,1
8148,1
8149,1
8190,1
8210,1
8211,1
8262,1
8263,1
8264,1
8325,1
8522,1
8605,1
8606,1
8622,1
8623,1
8627,1
8643,1
8762,1
8763,1
8764,1
8771,1
8772,1
9089,1
9092,1
9725,1
9790,1
9791,1
9793,1
9794,1
9796,1
9797,1
9841,1
9842,1
10129,1
11036,1
11038,1
