counter,crms
54,1
63,1
74,1
84,1
135,1
292,1
294,1
295,1
296,1
298,1
299,1
300,1
303,1
484,1
486,1
487,1
490,1
496,1
501,1
506,1
511,1
520,1
545,1
549,1
552,1
578,1
579,1
581,1
582,1
583,1
646,1
648,1
659,1
660,1
663,1
667,1
673,1
676,1
683,1
684,1
686,1
689,1
693,1
694,1
702,1
705,1
719,1
737,1
739,1
750,1
755,1
759,1
763,1
770,1
774,1
776,1
781,1
1358,1
1362,1
1406,1
1447,1
1449,1
1450,1
1451,1
1452,1
1579,1
1587,1
1593,1
1604,1
1643,1
1650,1
1659,1
1660,1
1662,1
1666,1
1668,1
1670,1
1684,1
1685,1
1888,1
1892,1
1893,1
1913,1
1915,1
1927,1
1928,1
1933,1
1934,1
1942,1
1996,1
2006,1
2017,1
2018,1
2021,1
2044,1
2045,1
2050,1
2063,1
2075,1
2078,1
2081,1
2094,1
2095,1
2096,1
2097,1
2106,1
2177,1
2178,1
2179,1
2182,1
2183,1
2187,1
2193,1
2194,1
2195,1
2196,1
2198,1
2203,1
2205,1
2206,1
2219,1
2220,1
2223,1
2228,1
2247,1
2248,1
2249,1
2250,1
2251,1
2252,1
2253,1
2256,1
2264,1
2265,1
2268,1
2280,1
2286,1
2293,1
2299,1
2311,1
2340,1
2342,1
2347,1
2349,1
2350,1
2351,1
2361,1
2382,1
2389,1
2414,1
2429,1
2450,1
2451,1
2456,1
2459,1
2467,1
2557,1
2740,1
2823,1
2826,1
2828,1
2847,1
2866,1
2885,1
2887,1
2903,1
2905,1
2906,1
2907,1
2909,1
3283,1
3287,1
3291,1
3292,1
3300,1
3301,1
3303,1
3311,1
3314,1
3315,1
3316,1
3319,1
3322,1
3323,1
3324,1
3325,1
3326,1
3327,1
3333,1
3335,1
3336,1
3340,1
3355,1
3397,1
3398,1
3399,1
3411,1
3413,1
3415,1
3416,1
3417,1
3420,1
3421,1
3425,1
3428,1
3429,1
3430,1
3442,1
3445,1
3458,1
3484,1
3485,1
3491,1
3495,1
3496,1
3497,1
3522,1
3613,1
3621,1
3622,1
3623,1
3654,1
3697,1
3698,1
3699,1
3700,1
3701,1
3702,1
3703,1
3704,1
3705,1
3735,1
3821,1
3869,1
3871,1
3874,1
3884,1
3894,1
3896,1
3916,1
3917,1
3926,1
3940,1
3949,1
3950,1
3953,1
3954,1
3995,1
4004,1
4008,1
4012,1
4013,1
4034,1
4037,1
4042,1
4045,1
4047,1
4117,1
4118,1
4124,1
4127,1
4128,1
4149,1
4150,1
4212,1
4216,1
4218,1
4221,1
4223,1
4226,1
4232,1
4233,1
4267,1
4268,1
4275,1
4276,1
4277,1
4282,1
4283,1
4285,1
4289,1
4290,1
4293,1
4294,1
4295,1
4299,1
4303,1
4304,1
4305,1
4307,1
4308,1
4309,1
4336,1
4395,1
4412,1
4457,1
4531,1
4601,1
4603,1
4700,1
4730,1
