counter,crnv
12,1
23,1
26,1
32,1
38,1
41,1
44,1
69,1
70,1
73,1
74,1
79,1
83,1
90,1
97,1
100,1
105,1
112,1
123,1
219,1
230,1
257,1
270,1
274,1
286,1
295,1
312,1
313,1
314,1
316,1
353,1
433,1
438,1
474,1
475,1
482,1
484,1
485,1
493,1
501,1
502,1
506,1
516,1
517,1
524,1
526,1
535,1
537,1
540,1
543,1
545,1
546,1
550,1
558,1
569,1
577,1
578,1
579,1
581,1
583,1
588,1
591,1
592,1
595,1
596,1
597,1
598,1
604,1
605,1
607,1
608,1
613,1
625,1
639,1
651,1
653,1
654,1
657,1
689,1
692,1
696,1
697,1
706,1
711,1
717,1
723,1
730,1
732,1
737,1
741,1
744,1
762,1
767,1
770,1
773,1
777,1
794,1
831,1
845,1
846,1
886,1
887,1
889,1
890,1
906,1
907,1
910,1
913,1
914,1
915,1
916,1
917,1
921,1
927,1
939,1
941,1
945,1
947,1
949,1
953,1
964,1
983,1
995,1
1021,1
1032,1
1050,1
1053,1
1054,1
1059,1
1069,1
1078,1
1118,1
1122,1
1123,1
1127,1
1162,1
1202,1
1207,1
1208,1
1210,1
1224,1
1225,1
1226,1
1227,1
1230,1
1232,1
1236,1
1237,1
1238,1
1239,1
1241,1
1242,1
1243,1
1244,1
1245,1
1246,1
1247,1
1248,1
1249,1
1250,1
1251,1
1252,1
1254,1
1256,1
1258,1
1267,1
1268,1
1269,1
1270,1
1272,1
1273,1
1274,1
1275,1
1276,1
1279,1
1280,1
1281,1
1282,1
1283,1
1289,1
1290,1
1291,1
1292,1
1293,1
1295,1
1296,1
1297,1
1298,1
1300,1
1301,1
1302,1
1303,1
1304,1
1309,1
1311,1
1312,1
1313,1
1314,1
1315,1
1316,1
1317,1
1320,1
1322,1
1324,1
1326,1
1328,1
1329,1
1332,1
1334,1
1335,1
1336,1
1339,1
1340,1
1344,1
1345,1
1346,1
1347,1
1350,1
1352,1
1355,1
1357,1
1360,1
1361,1
1362,1
1363,1
1367,1
1368,1
1372,1
1374,1
1377,1
1378,1
1379,1
1382,1
1394,1
1395,1
1398,1
1401,1
1402,1
1403,1
1409,1
1410,1
1412,1
1414,1
1416,1
1427,1
1429,1
1430,1
1434,1
1435,1
1436,1
1438,1
1439,1
1442,1
1451,1
1460,1
1461,1
1489,1
1499,1
1504,1
1505,1
1506,1
1507,1
1514,1
1524,1
1527,1
1528,1
1529,1
1570,1
1604,1
1611,1
1622,1
1631,1
1699,1
1704,1
1705,1
1707,1
1711,1
1718,1
1719,1
1721,1
1723,1
1724,1
1725,1
1732,1
1924,1
1931,1
1933,1
1949,1
1952,1
1953,1
1959,1
1968,1
1970,1
1980,1
1991,1
1992,1
1996,1
2012,1
2013,1
2026,1
2028,1
2035,1
2037,1
2039,1
2041,1
2100,1
2101,1
2131,1
2134,1
2136,1
2139,1
2141,1
2142,1
2146,1
2147,1
2156,1
2157,1
2161,1
2164,1
2167,1
2168,1
2170,1
2171,1
2185,1
2219,1
2227,1
2229,1
2230,1
2235,1
2236,1
2245,1
2256,1
2259,1
2263,1
2270,1
2272,1
2273,1
2274,1
2277,1
2312,1
2317,1
2320,1
2329,1
2333,1
2357,1
2374,1
2384,1
2404,1
2411,1
2427,1
2429,1
2460,1
2464,1
2465,1
2470,1
2489,1
2493,1
2511,1
2512,1
2518,1
2525,1
2531,1
2539,1
2545,1
2552,1
2554,1
2556,1
2557,1
2558,1
2559,1
2566,1
2569,1
2570,1
2585,1
2599,1
2600,1
2601,1
2604,1
2605,1
2606,1
2607,1
2611,1
2616,1
2619,1
2622,1
2623,1
2625,1
2628,1
2634,1
2635,1
2636,1
2637,1
2638,1
2639,1
2640,1
2642,1
2643,1
2645,1
2648,1
2651,1
2653,1
2656,1
2658,1
2659,1
2660,1
2672,1
2674,1
2683,1
2685,1
2688,1
2695,1
2696,1
2704,1
2716,1
2718,1
2719,1
2722,1
2728,1
2731,1
2733,1
2739,1
2740,1
2742,1
2743,1
2744,1
2745,1
2746,1
2747,1
2748,1
2749,1
2750,1
2751,1
2752,1
2754,1
2766,1
2781,1
2782,1
2783,1
2786,1
2810,1
2812,1
2813,1
2819,1
2820,1
2822,1
2855,1
2858,1
2859,1
2861,1
2862,1
2874,1
2875,1
2876,1
2877,1
2892,1
2982,1
2983,1
2986,1
3008,1
3009,1
3011,1
3012,1
3029,1
3032,1
3033,1
3107,1
3127,1
3204,1
3215,1
3221,1
3245,1
3246,1
3248,1
3305,1
3308,1
3313,1
3370,1
3371,1
3377,1
3378,1
3425,1
3426,1
3427,1
3428,1
3429,1
3430,1
3431,1
3439,1
3442,1
3446,1
3447,1
3449,1
3452,1
3456,1
3457,1
3458,1
3470,1
3473,1
3481,1
3491,1
3495,1
3502,1
3553,1
3584,1
3593,1
3621,1
3627,1
3628,1
3632,1
3634,1
3635,1
3637,1
3638,1
3640,1
3668,1
3673,1
3674,1
3730,1
3731,1
3755,1
3963,1
3965,1
3970,1
3974,1
3976,1
3977,1
4003,1
4009,1
4030,1
4032,1
4033,1
4037,1
4039,1
4040,1
4067,1
4071,1
4083,1
4154,1
4155,1
4196,1
4199,1
4204,1
4205,1
4206,1
4209,1
4213,1
4215,1
4216,1
4217,1
4219,1
4224,1
4231,1
4234,1
4262,1
4263,1
4267,1
4277,1
4302,1
4392,1
4405,1
4411,1
4422,1
4433,1
4434,1
4699,1
4706,1
4708,1
4709,1
4711,1
4715,1
4724,1
4727,1
4729,1
4740,1
4744,1
4747,1
4748,1
4749,1
4756,1
4757,1
4768,1
4776,1
4778,1
4785,1
4786,1
4792,1
4798,1
4815,1
4816,1
4820,1
4822,1
4866,1
4877,1
4879,1
4882,1
4890,1
4891,1
4892,1
4893,1
4896,1
4900,1
4905,1
4908,1
4914,1
4917,1
4927,1
4934,1
4935,1
4943,1
4949,1
4950,1
4951,1
4953,1
4954,1
4958,1
4959,1
4960,1
4961,1
4962,1
4965,1
4967,1
4968,1
4970,1
4971,1
4972,1
4974,1
4975,1
4978,1
4981,1
4982,1
4984,1
4985,1
4987,1
4990,1
4993,1
4994,1
4995,1
4996,1
4999,1
5000,1
5001,1
5002,1
5003,1
5004,1
5006,1
5007,1
5008,1
5009,1
5011,1
5016,1
5017,1
5019,1
5020,1
5022,1
5023,1
5030,1
5033,1
5035,1
5040,1
5048,1
5049,1
5050,1
5055,1
5056,1
5060,1
5082,1
5392,1
5393,1
5403,1
5430,1
5433,1
5460,1
5461,1
5495,1
5540,1
5541,1
5545,1
5547,1
5552,1
5553,1
5559,1
5560,1
5561,1
5562,1
5564,1
5565,1
5568,1
5576,1
5581,1
5584,1
5586,1
5587,1
5596,1
5600,1
5607,1
5608,1
5609,1
5610,1
5677,1
5678,1
5688,1
5694,1
5737,1
5738,1
5747,1
5754,1
5755,1
5759,1
5769,1
5780,1
5781,1
5782,1
5789,1
5790,1
5812,1
5818,1
5833,1
5835,1
5836,1
5837,1
5838,1
5840,1
5841,1
5842,1
5843,1
5844,1
5846,1
5847,1
5848,1
5849,1
5850,1
5851,1
5852,1
5856,1
5876,1
5877,1
5878,1
5879,1
5880,1
5889,1
5903,1
5906,1
5907,1
5932,1
5933,1
5942,1
5958,1
5985,1
5993,1
5997,1
6037,1
6038,1
6041,1
6045,1
6053,1
6054,1
6056,1
6059,1
6062,1
6063,1
6064,1
6065,1
6066,1
6067,1
6074,1
6078,1
6079,1
6080,1
6082,1
6083,1
6084,1
6086,1
6087,1
6088,1
6090,1
6091,1
6092,1
6094,1
6095,1
6096,1
6097,1
6098,1
6099,1
6100,1
6102,1
6103,1
6104,1
6105,1
6106,1
6107,1
6111,1
6112,1
6113,1
6114,1
6117,1
6161,1
6162,1
6163,1
6164,1
6165,1
6166,1
6167,1
6169,1
6209,1
6236,1
6237,1
6244,1
6245,1
6246,1
6252,1
6253,1
6255,1
6259,1
6263,1
6275,1
6279,1
6299,1
6300,1
6303,1
6305,1
6306,1
6307,1
6308,1
6309,1
6311,1
6314,1
6321,1
6323,1
6324,1
6330,1
6331,1
6332,1
6333,1
6334,1
6335,1
6336,1
6337,1
6338,1
6340,1
6341,1
6342,1
6343,1
6346,1
6348,1
6349,1
6350,1
6351,1
6363,1
6364,1
6366,1
6370,1
6372,1
6373,1
6376,1
6377,1
6378,1
6380,1
6381,1
6385,1
6395,1
6396,1
6400,1
6402,1
6403,1
6404,1
6405,1
6417,1
6419,1
6424,1
6425,1
6426,1
6427,1
6430,1
6431,1
6435,1
6436,1
6438,1
6440,1
6441,1
6442,1
6444,1
6445,1
6448,1
6449,1
6452,1
6453,1
6455,1
6456,1
6457,1
6458,1
6460,1
6461,1
6464,1
6467,1
6468,1
6471,1
6472,1
6474,1
6475,1
6476,1
6477,1
6478,1
6479,1
6480,1
6481,1
6482,1
6483,1
6484,1
6494,1
6495,1
6496,1
6499,1
6500,1
6501,1
6503,1
6504,1
6505,1
6506,1
6507,1
6508,1
6509,1
6511,1
6512,1
6513,1
6514,1
6519,1
6520,1
6521,1
6522,1
6523,1
6524,1
6525,1
6530,1
6537,1
6549,1
6550,1
6552,1
6556,1
6580,1
6593,1
6615,1
6676,1
6697,1
6700,1
6704,1
6710,1
6729,1
6734,1
6736,1
6739,1
6740,1
6745,1
6748,1
6750,1
6752,1
6761,1
6765,1
6768,1
6770,1
6772,1
6774,1
6780,1
6781,1
6782,1
6784,1
6795,1
6797,1
6805,1
6808,1
6809,1
6816,1
6830,1
6832,1
6837,1
6838,1
6841,1
6845,1
6846,1
6847,1
6852,1
6860,1
6862,1
6865,1
6894,1
6897,1
6899,1
6909,1
6911,1
6912,1
6939,1
6940,1
6943,1
6944,1
6945,1
6946,1
6949,1
6957,1
6960,1
6961,1
6979,1
6980,1
6981,1
6982,1
6984,1
6986,1
6994,1
6995,1
6996,1
7003,1
7004,1
7006,1
7036,1
7037,1
7042,1
7043,1
7045,1
7046,1
7047,1
7049,1
7050,1
7052,1
7053,1
7055,1
7061,1
7063,1
7065,1
7072,1
7080,1
7081,1
7082,1
7085,1
7086,1
7087,1
7093,1
7094,1
7095,1
7096,1
7097,1
7098,1
7099,1
7103,1
7104,1
7105,1
7108,1
7109,1
7110,1
7111,1
7113,1
7114,1
7115,1
7117,1
7118,1
7119,1
7120,1
7125,1
7126,1
7127,1
7128,1
7131,1
7132,1
7133,1
7135,1
7142,1
7145,1
7146,1
7147,1
7148,1
7163,1
7166,1
7169,1
7171,1
7178,1
7194,1
7199,1
7200,1
7201,1
7203,1
7206,1
7209,1
7210,1
7223,1
7263,1
7271,1
7277,1
7282,1
