counter,crmv
5,1
10,1
11,1
12,1
14,1
16,1
18,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
31,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
47,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
67,1
68,1
69,1
70,1
71,1
72,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
99,1
100,1
102,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
118,1
121,1
122,1
124,1
125,1
126,1
128,1
148,1
180,1
181,1
186,1
211,1
220,1
229,1
230,1
311,1
313,1
315,1
316,1
319,1
320,1
322,1
326,1
327,1
328,1
334,1
349,1
350,1
353,1
370,1
375,1
384,1
389,1
393,1
396,1
398,1
489,1
514,1
530,1
544,1
547,1
556,1
688,1
692,1
794,1
818,1
836,1
837,1
846,1
851,1
853,1
872,1
873,1
922,1
923,1
925,1
927,1
928,1
930,1
973,1
974,1
980,1
999,1
1067,1
1071,1
1072,1
1079,1
1083,1
1084,1
1091,1
1102,1
1103,1
1106,1
1114,1
1115,1
1117,1
1121,1
1123,1
1124,1
1125,1
1126,1
1137,1
1138,1
1141,1
1142,1
1143,1
1145,1
1146,1
1148,1
1149,1
1150,1
1153,1
1283,1
1757,1
1765,1
1766,1
1767,1
1771,1
1774,1
1776,1
1777,1
1791,1
1792,1
1832,1
1836,1
1862,1
1946,1
1973,1
1974,1
2054,1
2146,1
2147,1
2148,1
2254,1
2441,1
2492,1
2549,1
2550,1
2553,1
2554,1
2555,1
2612,1
2617,1
2621,1
2623,1
2624,1
2625,1
2626,1
3233,1
3261,1
3290,1
3389,1
3401,1
3403,1
3404,1
3405,1
3406,1
3408,1
3414,1
3420,1
3422,1
3423,1
3425,1
3428,1
3432,1
3439,1
3449,1
3451,1
3453,1
3455,1
3456,1
3459,1
3461,1
3463,1
3465,1
3467,1
3471,1
3621,1
3711,1
3816,1
3926,1
3927,1
3968,1
3972,1
3973,1
3974,1
3975,1
3976,1
3977,1
3978,1
3979,1
3980,1
3982,1
3983,1
3984,1
3985,1
3986,1
3987,1
3989,1
3991,1
3993,1
3994,1
3997,1
3998,1
3999,1
4003,1
4004,1
4005,1
4012,1
4017,1
4022,1
4033,1
4035,1
4037,1
4038,1
4040,1
4045,1
4056,1
4063,1
4090,1
4108,1
4167,1
4174,1
4180,1
4183,1
4186,1
4202,1
4206,1
4207,1
4214,1
4218,1
4227,1
4229,1
4230,1
4232,1
4241,1
4243,1
4244,1
4255,1
4256,1
4264,1
4269,1
4270,1
4277,1
4280,1
4281,1
4282,1
4401,1
4415,1
4417,1
4425,1
4427,1
4434,1
4442,1
4444,1
4446,1
4455,1
4473,1
4478,1
4479,1
4481,1
4482,1
4501,1
4504,1
4509,1
4518,1
4520,1
4528,1
4529,1
4545,1
4546,1
4553,1
4560,1
4565,1
4577,1
4584,1
4588,1
4636,1
4637,1
4638,1
4639,1
4640,1
4644,1
4655,1
4656,1
4658,1
4661,1
4663,1
4669,1
4676,1
4686,1
4698,1
4699,1
4711,1
4735,1
4744,1
4746,1
4747,1
4749,1
4752,1
4754,1
4756,1
4758,1
4759,1
4767,1
4786,1
4798,1
4805,1
4810,1
4811,1
4812,1
4813,1
4822,1
4899,1
4938,1
4965,1
4966,1
4967,1
4976,1
4978,1
4980,1
4981,1
4983,1
4984,1
4987,1
4988,1
5015,1
5036,1
5079,1
5082,1
5085,1
5087,1
5088,1
5089,1
5090,1
5092,1
5094,1
5096,1
5098,1
5099,1
5101,1
5102,1
5103,1
5105,1
5108,1
5109,1
5111,1
5113,1
5114,1
5116,1
5117,1
5118,1
5121,1
5122,1
5123,1
5125,1
5129,1
5131,1
5132,1
5137,1
5138,1
5142,1
5148,1
5149,1
5150,1
5152,1
5153,1
5154,1
5164,1
5167,1
5170,1
5176,1
5177,1
5178,1
5180,1
5183,1
5186,1
5191,1
5192,1
5193,1
5194,1
5197,1
5198,1
5200,1
5204,1
5206,1
5213,1
5214,1
5216,1
5225,1
5226,1
5235,1
5237,1
5239,1
5240,1
5241,1
5243,1
5244,1
5245,1
5246,1
5247,1
5266,1
5289,1
5291,1
5293,1
5294,1
5295,1
5296,1
5297,1
5298,1
5301,1
5303,1
5304,1
5305,1
5312,1
5313,1
5314,1
5322,1
5329,1
5347,1
5348,1
5352,1
5354,1
5357,1
5362,1
5365,1
5366,1
5367,1
5369,1
5370,1
5371,1
5372,1
5374,1
5375,1
5378,1
5380,1
5382,1
5437,1
5438,1
5439,1
5443,1
5444,1
5445,1
5448,1
5477,1
5534,1
5535,1
5536,1
5537,1
5538,1
5542,1
5544,1
5579,1
5584,1
5585,1
5587,1
5589,1
5590,1
5591,1
5595,1
5637,1
5665,1
5670,1
5671,1
5686,1
5687,1
5693,1
5825,1
5826,1
5827,1
5828,1
5835,1
5836,1
5837,1
5840,1
5852,1
5854,1
5869,1
5870,1
5882,1
5885,1
5887,1
5888,1
5890,1
5891,1
5892,1
5893,1
5894,1
5895,1
5896,1
5930,1
5940,1
5942,1
5944,1
5975,1
5978,1
5980,1
5983,1
5992,1
5999,1
6000,1
6001,1
6002,1
6003,1
6019,1
6043,1
6246,1
6248,1
6254,1
6256,1
6276,1
6283,1
6288,1
6290,1
6291,1
6352,1
6367,1
6389,1
6393,1
6412,1
6439,1
6506,1
6540,1
6544,1
6578,1
6589,1
6590,1
6591,1
6592,1
6593,1
6594,1
6601,1
6636,1
6637,1
6642,1
6709,1
6711,1
6714,1
6735,1
6790,1
6825,1
6848,1
6876,1
6885,1
6890,1
6910,1
6913,1
6933,1
6955,1
6956,1
6958,1
6961,1
6962,1
6963,1
6965,1
6966,1
6967,1
6968,1
6969,1
6970,1
6971,1
6972,1
6974,1
6975,1
6977,1
6979,1
6981,1
6982,1
6984,1
6986,1
6994,1
6995,1
7006,1
7007,1
7009,1
7011,1
7014,1
7015,1
7017,1
7019,1
7025,1
7028,1
7029,1
7030,1
7031,1
7032,1
7034,1
7037,1
7041,1
7042,1
7050,1
7055,1
7056,1
7058,1
7063,1
7064,1
7065,1
7067,1
7070,1
7072,1
7073,1
7078,1
7080,1
7114,1
7150,1
7153,1
7155,1
7156,1
7157,1
7158,1
7159,1
7162,1
7164,1
7167,1
7175,1
7178,1
7179,1
7181,1
7186,1
7187,1
7202,1
7203,1
7217,1
7218,1
7286,1
7358,1
7371,1
7908,1
7917,1
7926,1
7927,1
7928,1
7929,1
7930,1
7936,1
7947,1
7957,1
7959,1
7960,1
7967,1
7969,1
7971,1
7974,1
7976,1
7980,1
7983,1
7991,1
7994,1
7995,1
7996,1
8000,1
8005,1
8012,1
8053,1
8211,1
8240,1
8306,1
8307,1
8405,1
8410,1
8413,1
8415,1
8416,1
8417,1
8418,1
8419,1
8420,1
8425,1
8426,1
8427,1
8428,1
8429,1
8430,1
8435,1
8439,1
8463,1
8464,1
8466,1
8470,1
8554,1
8571,1
8589,1
8590,1
8591,1
8592,1
8593,1
8594,1
8595,1
8596,1
8597,1
8598,1
8599,1
8600,1
8602,1
8603,1
8604,1
8605,1
8606,1
8607,1
8616,1
8694,1
8695,1
8697,1
8702,1
8703,1
8705,1
8713,1
8714,1
8734,1
8740,1
8741,1
8745,1
8747,1
8750,1
8753,1
8779,1
8781,1
8785,1
8863,1
8890,1
9215,1
9216,1
9217,1
9218,1
9219,1
9222,1
9223,1
9224,1
9225,1
9226,1
9227,1
9232,1
9233,1
9234,1
9237,1
9238,1
9239,1
9240,1
9241,1
9242,1
9243,1
9244,1
9246,1
9247,1
9248,1
9249,1
9250,1
9251,1
9252,1
9253,1
9262,1
9264,1
9266,1
9267,1
9268,1
9269,1
9270,1
9384,1
9386,1
9392,1
9394,1
9396,1
9397,1
9398,1
9400,1
9401,1
9403,1
9404,1
9407,1
9411,1
9414,1
9415,1
9417,1
9418,1
9419,1
9421,1
9422,1
9426,1
9427,1
9428,1
9431,1
9437,1
9438,1
9439,1
9441,1
9443,1
9444,1
9445,1
9446,1
9447,1
9449,1
9450,1
9453,1
9454,1
9455,1
9457,1
9459,1
9461,1
9462,1
9463,1
9464,1
9465,1
9466,1
9467,1
9470,1
9473,1
9474,1
9475,1
9478,1
9515,1
9516,1
9606,1
9637,1
9750,1
9751,1
9752,1
9755,1
9768,1
9771,1
9779,1
9788,1
9789,1
9793,1
9802,1
9807,1
9812,1
10027,1
10028,1
10031,1
10034,1
10104,1
10252,1
10336,1
10350,1
10360,1
10361,1
10407,1
10408,1
10421,1
10423,1
10424,1
10427,1
10444,1
10447,1
10457,1
10471,1
10490,1
10491,1
10546,1
10547,1
10548,1
10549,1
10550,1
10551,1
10552,1
10553,1
10554,1
10555,1
10556,1
10570,1
10572,1
10573,1
10595,1
10597,1
10598,1
11043,1
11045,1
11047,1
11058,1
11059,1
11060,1
11067,1
11070,1
11075,1
11081,1
11088,1
11091,1
11098,1
11138,1
11139,1
11145,1
11165,1
11257,1
11266,1
11275,1
11295,1
11378,1
11499,1
11500,1
11508,1
11509,1
11510,1
11513,1
11515,1
11516,1
11524,1
11527,1
11536,1
11542,1
11543,1
11545,1
11549,1
11551,1
11553,1
11555,1
11557,1
11558,1
11559,1
11560,1
11563,1
11572,1
11575,1
11578,1
11580,1
11582,1
11589,1
11594,1
11597,1
11598,1
11599,1
11600,1
11621,1
11624,1
11635,1
11636,1
11656,1
11657,1
11662,1
11676,1
11677,1
11683,1
11698,1
11707,1
11712,1
11713,1
11719,1
11739,1
11740,1
11742,1
11745,1
11770,1
11785,1
11793,1
11795,1
11796,1
11797,1
11803,1
11812,1
11814,1
11820,1
11821,1
11825,1
11826,1
11828,1
11829,1
11849,1
11851,1
11863,1
11873,1
11875,1
11876,1
11877,1
11878,1
11882,1
11883,1
11886,1
11887,1
11890,1
11892,1
11903,1
11905,1
12045,1
12046,1
12049,1
12050,1
12051,1
12053,1
12055,1
12059,1
12068,1
12076,1
12079,1
12084,1
12085,1
12094,1
12117,1
12127,1
12128,1
12129,1
12130,1
12131,1
12132,1
12135,1
12143,1
12146,1
12164,1
12205,1
12269,1
12271,1
12274,1
12275,1
12276,1
12287,1
12288,1
12323,1
12395,1
12396,1
12397,1
12398,1
12399,1
12443,1
12445,1
12446,1
12449,1
12452,1
12495,1
12496,1
12537,1
12538,1
12587,1
12603,1
12604,1
12674,1
12675,1
12676,1
12677,1
12682,1
12693,1
12721,1
12887,1
12897,1
12937,1
12943,1
12947,1
12950,1
12953,1
12954,1
12956,1
12961,1
