counter,crmv
35,1
39,1
40,1
41,1
42,1
46,1
69,1
70,1
71,1
72,1
74,1
153,1
154,1
158,1
159,1
160,1
272,1
273,1
275,1
276,1
293,1
295,1
375,1
802,1
866,1
873,1
874,1
875,1
941,1
946,1
1080,1
1117,1
1269,1
1271,1
1347,1
1476,1
1477,1
1478,1
1480,1
1496,1
1497,1
1520,1
1612,1
1618,1
1621,1
1653,1
1654,1
1667,1
1668,1
1670,1
1672,1
1679,1
1680,1
1681,1
1683,1
1715,1
1871,1
1919,1
2064,1
2198,1
2233,1
2234,1
2235,1
2236,1
2259,1
2260,1
2413,1
2426,1
2428,1
2429,1
2430,1
2431,1
2432,1
2444,1
2445,1
2446,1
2447,1
2448,1
2450,1
2452,1
2461,1
2470,1
2508,1
2556,1
2773,1
2916,1
2932,1
2937,1
2938,1
2950,1
2951,1
2959,1
2960,1
2962,1
2964,1
2965,1
3053,1
3067,1
3068,1
3069,1
3070,1
3071,1
3072,1
3073,1
3074,1
3075,1
3101,1
3130,1
3278,1
3279,1
3280,1
3382,1
3595,1
3596,1
3780,1
3871,1
4049,1
4108,1
4109,1
4110,1
4111,1
4112,1
4113,1
4114,1
4115,1
4116,1
4173,1
4176,1
4177,1
4179,1
4182,1
4183,1
4185,1
4247,1
4249,1
4250,1
4254,1
4312,1
4314,1
4317,1
4318,1
4319,1
4381,1
4384,1
4385,1
4433,1
4503,1
4563,1
4582,1
4584,1
4591,1
4597,1
4599,1
4651,1
4652,1
4653,1
4654,1
4655,1
4656,1
4657,1
4658,1
4660,1
4661,1
4662,1
4663,1
4664,1
4665,1
4666,1
4667,1
4668,1
4669,1
4670,1
4671,1
4672,1
4673,1
4675,1
4676,1
4677,1
4678,1
4680,1
4682,1
4683,1
4684,1
4685,1
4686,1
4687,1
4688,1
4689,1
4691,1
4692,1
4693,1
4694,1
4695,1
4696,1
4697,1
4698,1
4700,1
4702,1
4704,1
4940,1
4944,1
5274,1
5673,1
5674,1
5675,1
5855,1
5856,1
5928,1
5929,1
5935,1
5936,1
5937,1
5942,1
5943,1
5944,1
5945,1
5948,1
5949,1
5964,1
5982,1
5992,1
5998,1
6004,1
6006,1
6007,1
6009,1
6010,1
6028,1
6030,1
6050,1
6051,1
6053,1
6055,1
6065,1
6076,1
6078,1
6080,1
6081,1
6082,1
6083,1
6084,1
6091,1
6092,1
6094,1
6098,1
6099,1
6102,1
6132,1
6133,1
6134,1
6163,1
6227,1
6263,1
6280,1
6281,1
6300,1
6530,1
6554,1
6601,1
6621,1
6648,1
6679,1
6683,1
6697,1
6760,1
6761,1
6798,1
6805,1
6959,1
6963,1
6964,1
7036,1
7041,1
7042,1
7073,1
7074,1
7084,1
7108,1
7110,1
7115,1
7117,1
7122,1
7129,1
7161,1
7162,1
7163,1
7164,1
7165,1
7166,1
