username1,pagetitle1,pagetitle2,counter,hop
Tryuee,George Watsky,User talk:Seaphoto,59,-1
Tryuee,User talk:Seaphoto,Johannes Gutenberg,65,4
Tryuee,Popsicle (brand),User talk:Tryuee,73,-1
BanMeIfYouDare,Up All Night (One Direction album),User talk:BanMeIfYouDare,109,-1
Datonorad,User:Datonorad,Jumber Patiashvili,192,-1
JohnnyGR,User:Scepia/bibliophile,User talk:JohnnyGR,199,-1
JohnnyGR,Wikipedia:Administrators' noticeboard/Edit warring,Wikipedia:Articles for deletion/List of National Express Coventry bus routes,210,-1
CallumCiappelli,Suzanne Lappin,User talk:EncMstr,222,-1
XXYYZZ99999,User:XXYYZZ99999,"Tarzana, Los Angeles",338,-1
ValuedContributor,Ted Bundy,Parkway Middle School (La Mesa CA),426,4
ValuedContributor,Parkway Middle School (La Mesa CA),List of crew-served weapons of the U.S. Armed Forces,427,3
KieranWATERS,Wikipedia talk:Username policy,Benton Park School,589,-1
KieranWATERS,Snowballing (sexual practice),User:KieranWATERS/sandbox,596,-1
KieranWATERS,Benton Park School,User talk:KieranWATERS,601,-1
Superkarebear,Like Minds,User talk:Superkarebear,815,-1
Jason Murdah,Tembo (Kitembo) language,User talk:Materialscientist,918,-1
Jason Murdah,User talk:Materialscientist,User talk:Jason Murdah,920,-1
Miikeoo,User:Miikeoo,HMS Inconstant (1914),950,-1
NinjaJacob05,Carnivore,User:NinjaJacob05,976,-1
NinjaJacob05,Omnivore,User talk:NinjaJacob05,983,-1
Mattyran,User talk:Mattyran,Nick Clegg,1044,-1
Tabrnakus,User:Tabrnakus/sandbox,User talk:Tabrnakus,1099,-1
Tabrnakus,User:Tabrnakus,Rondell Sheridan,1101,1
MotherFher,HUMP! (film festival),User talk:MotherFher,1183,-1
Tinytimscane,Oprahism,"Martin Luther King, Sr.",1232,2
Hobo Jeff,Adolf Hitler's rise to power,User talk:Hobo Jeff,1331,-1
Bennx285,User talk:Revolution1221,User talk:Bennx285,1537,-1
SystemsOverload,Integrity (band),User talk:SystemsOverload,1599,-1
SystemsOverload,User talk:SystemsOverload,Integrity (band),1600,-1
SystemsOverload,User talk:SystemsOverload,User talk:Biker Biker,1602,-1
SystemsOverload,User talk:Biker Biker,Wikipedia:Administrator intervention against vandalism,1603,3
Yoho15,User talk:Torreslfchero,List of sovereign states,1609,-1
Slothhunter,Decomposer,Education in Equatorial Guinea,1651,4
FlakyDiscord,User:FlakyDiscord,Soham Village College,1938,-1
Lonewolfdablak,Cordyline australis,Personal computer hardware,2046,3
Lonewolfdablak,Personal computer hardware,User talk:Lonewolfdablak,2050,-1
Potatocakes123,Syria International Islamic Bank,Wikipedia:Edit filter/False positives/Reports,2142,-1
Salsudoikari,Maroon 5,User talk:Lugia2453,2279,-1
Tylt45,Kathryn C. Thornton,User talk:Tylt45,2350,-1
Tescohorse,Richard I of England,User talk:Tescohorse,2418,-1
Hacker 24087,User talk:71.226.18.67,Politics of Mexico,2556,4
Euis handayani,Talk:Main Page,Talk:Main Page,2626,-1
Euis handayani,Talk:Main Page,User:Euis handayani,2627,-1
Elite Marshmallow,Józef Kowalski (supercentenarian),User:Elite Marshmallow,2656,-1
Himsis,James Farmer,User talk:Himsis,2670,-1
Donna2728,Category:1974–75 American college basketball standings templates,User talk:Donna2728,2696,-1
Kroth18,Miami Dolphins,User talk:Sarahj2107,2737,-1
CelticIrish1996,Seth MacFarlane,User talk:CelticIrish1996,2780,-1
Jaconator6,User:Jaconator6,Attack on Sydney Harbour,2875,-1
Wikitroller13,Cajasol,User talk:Wikitroller13,2930,-1
Imtabithaok,Shrek,User talk:Imtabithaok,3097,-1
Hello bruv,Durston House,User talk:Hello bruv,3144,-1
Hyper obese guy,User talk:Koavf/Archive040,Dobroslav Jevđević,3264,4
Genius567812,Types of capital punishment,Chemical element,3392,3
Eitnera21,Alice Walker,User talk:Eitnera21,3508,-1
Joekingirish,Domestic violence,User talk:069952497a,3610,-1
TheEd955,User talk:TheEd955,American Girl,3873,-1
Jpin10,Gleba,User talk:Eeekster,4047,-1
Thereedeemedperson22,Colorblindness,Coca-Cola Zero,4175,4
Gir4rocks,Carrot Top,User talk:Gir4rocks,4213,-1
Sweller than you,List of All Grown Up! episodes,User talk:Sweller than you,4306,-1
Sweller than you,User talk:Sweller than you,User talk:MaxSem,4307,-1
MikePancho,User talk:MikePancho,Cibo,4508,5
VikingDeathMarch,Beluga whale,User:VikingDeathMarch,4546,-1
Nazstaz,Dale Chihuly,Wikipedia:Edit filter/False positives/Reports,4594,-1
Aaronminer123,Daniel Bryan,User talk:Aaronminer123,4610,-1
Aaronminer123,Tramp,User talk:Fraggle81,4612,-1
Freestyle607,LeBron James,User talk:Freestyle607,4779,-1
Hamoudy113,User talk:Hamoudy113,User talk:Jageshwar,4808,-1
Matteblackful,Resident Evil 4,User talk:Matteblackful,4820,-1
Matteblackful,User talk:Matteblackful,User talk:Torreslfchero,4821,-1
Mail Facts,Forrest Gump,The Marksman (album),4834,-1
Waqarahmad 11,Hindko dialect,Hindko language,4876,1
Jakegantt4,User:Jakegantt4/Neopets: The Seekers of the Doom Squad,Mario Party: Island Tour,5223,-1
Jakegantt4,Electronic Entertainment Expo 2013,User:Jakegantt4,5272,-1
Benito Del Torro,Frederick Douglass Academy,User:FDA1234/Frederick Douglass Academy 1,5330,-1
Leshnavoka,User:Pisconeri,Garbiñe Muguruza,5462,-1
Chase45119,User:Chase45119/sandbox,Computer repair technician,5495,-1
Bobbybrownbeats01,Dil Pickles,Brooke Hogan,5501,3
MattFlynnForPresident,User talk:MattFlynnForPresident,Template:Cincinnati Bengals roster,5585,2
MattFlynnForPresident,User talk:Richmond96,Matt Barkley,5604,4
Craps222,User:Craps222,User talk:Craps222,5626,-1
Yorkie595,Yorkie,Primary schools in the Metropolitan Borough of Dudley,5632,4
Yorkie595,Primary schools in the Metropolitan Borough of Dudley,Brown Willy,5633,4
Datu Dong,Internet in the Philippines,User talk:Datu Dong,5668,-1
Datu Dong,User talk:Datu Dong,Silvio Berlusconi,5669,4
Evlekis,User talk:Rron.l,Adrian Lulgjuraj,5689,4
Evlekis,User talk:Rron.l,Norodom Sihamoni,5701,4
Evlekis,Tourism in Kosovo,User talk:Pigsonthewing,5735,-1
Evlekis,User talk:Eraalickaj,Bardhyl Çaushi,5786,4
Evlekis,Moša Pijade,User:Eraalickaj,5801,-1
Evlekis,User talk:Eraalickaj,Tonibler,5804,4
Evlekis,User:Evlekis/sandbox,User talk:F382d56d7a18630cf764a5b576ea1b4810467238,5978,-1
Evlekis,Talk:President of Serbia and Montenegro,User talk:Epeos,6013,-1
