username1,pagetitle1,pagetitle2,counter,hop
Irandisk,User talk:Irandisk,User talk:Irandisk,0,-1
Nizam655,User talk:Nizam655,User:Nizam655/sandbox,57,-1
Nizam655,User:Nizam655/sandbox,Information and media literacy,58,4
Plsstahp,User talk:Plsstahp,Worm (disambiguation),304,-1
Plsstahp,User talk:Plsstahp,User:Plsstahp/sandbox,313,-1
Kerri Pomo,Talk:My Little Pony,User talk:Kerri Pomo,571,-1
Manisgv,User talk:Dawnseeker2000,Portal:Science/Featured article/1,601,-1
Henryjin2001,User talk:173.180.25.240,User:Henryjin2001,789,-1
Nepalibharath32,Khiladi 786,User talk:Nepalibharath32,859,-1
Youcancallmecoop,User talk:WadeSimMiser,November,1071,4
Youcancallmecoop,November,User talk:Youcancallmecoop,1072,-1
Kkkaaaiii,Gross domestic product,Real SPAL,1312,4
Mclabid007,Geo News,User talk:Mclabid007,1413,-1
Mike legend yes,Jane Hill,User:Mike legend yes/EditCounterOptIn.js,1515,-1
Gree Guy,USA Today,User talk:Gree Guy,1532,-1
LittleBritain1,User:LittleBritain1,Total War: Rome II,1609,-1
LittleBritain1,Total War: Rome II,User talk:LittleBritain1,1610,-1
LittleBritain1,User talk:LittleBritain1,Boomerang (UK & Ireland),1611,3
LittleBritain1,User talk:LittleBritain1,Transformers: Age of Extinction,1620,4
Rosing the bow,University of Portsmouth,North East Derbyshire,1651,3
Amaya Wilkie,Jack Douglass,User talk:Amaya Wilkie,1760,-1
Mksah324,User talk:Mksah324,Library classification,1762,-1
Crazytrain047,Blink-182,User:Mrcolgate1/Cobus Potgieter,1871,-1
Crazytrain047,User:Mrcolgate1/Cobus Potgieter,"Tamworth, New South Wales",1872,4
Monorail du Plessis,"North Great River, New York",User talk:Monorail du Plessis,1935,-1
Rec133,"United States presidential election, 2016",User:Rec133,1984,-1
Pitt1212,The Specials,User talk:WadeSimMiser,2074,-1
An iPhone 5 and a hurricane,2013 Pacific hurricane season,User talk:An iPhone 5 and a hurricane,2206,-1
Mattyburridge123456,2000 AFL season,User:Mattyburridge123456/sandbox,2233,-1
Mattyburridge123456,User:Mattyburridge123456/sandbox,2008 AFL season,2234,-1
Raninghai,User talk:EuroCarGT,User talk:Doncram,2492,-1
Raninghai,User talk:Doncram,User talk:Raninghai,2494,-1
Raninghai,User talk:Raninghai,Sawan,2495,-1
