username1,pagetitle1,pagetitle2,counter,hop
Jonnaoh000,Talk:Chiang Kai-shek Memorial Hall,User talk:Jonnaoh000,24,-1
Lolcopter213,Martial law,User talk:Lolcopter213,58,-1
SlapInFace,User:SlapInFace,Category:Weather events in Australia,108,-1
Bambang Rahardjo,GuitarFreaks & DrumMania V6 Blazing!,GuitarFreaks & DrumMania V7,274,1
Beanboy 101,User talk:Beanboy 101,User:Captain Conundrum,290,-1
We are forever,Lincoln Memorial,User talk:We are forever,371,-1
We are forever,User talk:We are forever,Sprinkles,372,1
Johnathan29,Data definition language,User talk:Johnathan29,396,-1
Blissbliss101,Lemon,User talk:Lugia2453,463,-1
Blissbliss101,User:Blissbliss101,Pink,465,-1
David Olaru Mr Men,Supermini,User talk:David Olaru Mr Men,610,-1
Anti-NaziCommiFa,Ishak Bey Kraloğlu,User talk:Anti-NaziCommiFa,714,-1
DarkNuttin,Susan B. Anthony,User talk:MelbourneStar,769,-1
Caitlinthough,User talk:Caitlinthough,Knife,778,1
Lucascampoli184109,Wikipedia:Featured topics/Hurricane Isabel,User talk:Lucascampoli184109,867,-1
Jcc234,Brian Scalabrine,User talk:Jcc234,907,-1
Roland Petersen,Wikipedia:Sandbox,User talk:Roland Petersen,999,-1
ManaWorldKing,User talk:Bob/autographs,Diamagnetism,1050,-1
Louisiana1600,Happy Gilmore,User talk:Louisiana1600,1195,-1
FanforClark12,Sydney Lassick,User talk:FanforClark12,1304,-1
FanforClark12,User talk:FanforClark12,Grab It Here,1305,7
Revelations17,Randy'L He-dow Teton,User talk:Revelations17,1356,-1
Google1998,User:Google1998,Dachau concentration camp,1381,-1
Thydoom,One Direction,User talk:Thydoom,1402,-1
Yorkerman,Royal Rumble (2013),User talk:Yorkerman,1431,-1
Morgajor0,Mummy,User talk:Morgajor0,1534,-1
Migcluc123,Low-level programming language,User talk:Donner60,1539,-1
Joemiks,User talk:Joemiks,Calculator,1613,4
Bensmith9918,User talk:Bensmith9918,Surfleet,1623,1
Entergarch,User talk:Entergarch,Jazz,1799,1
Gamoveragt,Advanced Global Trading,User talk:Gamoveragt,1839,-1
Mattsoles,Mark Birkinshaw,Wikipedia:Teahouse/Guests/Right column,1858,-1
DonkyGuy92,Ormiston College,User talk:DonkyGuy92,1871,-1
