username1,pagetitle1,pagetitle2,counter,hop
Dalmatinac12345,Marko Babić (footballer),User talk:Lukeno94,114,-1
Catboxx12,User talk:Catboxx12,User talk:Jim1138,195,-1
Clayton K.D.,Wikipedia talk:File Upload Wizard,Wikipedia talk:File Upload Wizard,277,-1
Chiglick,Shampoo,User talk:Chiglick,343,-1
I AM NO TAX BOY,User talk:I AM NO TAX BOY,Paloma Bernardi,433,-1
Kids Network,User:Hmr,User talk:Kids Network,762,-1
Ultimate cosmic evil,Karnataka,User:ClueBot NG/AngryOptin,849,-1
Lexi1231fresh,User:Lexi1231fresh/sandbox,User:Lexi1231fresh/sandbox,1038,-1
Lexi1231fresh,User:Lexi1231fresh/sandbox,"Potter Township, Beaver County, Pennsylvania",1041,-1
Lexi1231fresh,Lev Navrozov,User talk:Lexi1231fresh,1057,-1
Bowel plus Movement,Talk:Scott Bacon,User talk:Bowel plus Movement,1091,-1
Bowel plus Movement,User:Bowel plus Movement,Talk:Lara Giddings,1093,-1
Jackgrizzly,User:Jackgrizzly,Talk:World War II,1280,-1
Lieingfaker6969,User talk:Andyjsmith,UFO Club,1368,5
DDT Fair Trade,Eighth Army (United Kingdom),User talk:Jim Sweeney,1573,-1
DDT Fair Trade,Acts of Union 1707,User talk:James500,1584,-1
Dkopwit,American International Group,User talk:Dkopwit,1654,-1
Himan155,User:Himan155,User:Himan155/sandbox,1919,-1
Pongal raj,Australia national cricket team,User talk:DVdm,1932,-1
S4w2a0g,User talk:S4w2a0g,Template:Flagdeco,2047,-1
Sweggedish,Tennessee State Route 32,User:Sweggedish,2250,-1
Coolestguy420,User talk:Coolestguy420,Template:Citation needed span,2410,-1
JimmyScissorDick,Jan Navrátil,User:Zscout370,2485,-1
Adamstony33,User:Adamstony33/sandbox,User talk:Adamstony33,2570,-1
Adamstony33,User talk:Adamstony33,Apple ISO 9660 Extensions,2571,4
Jamesgarver1,James Garver,User talk:Jamesgarver1,2905,-1
Bigting68,User:None,User:Omaha321,3097,-1
Bigting68,User:Omaha321,Wikipedia:Changing username/Simple,3099,-1
Gkrsoft,User:Gkrsoft,Wikipedia:Help desk,3237,-1
Gkrsoft,Wikipedia:Help desk,User talk:Gkrsoft,3238,-1
