username1,pagetitle1,pagetitle2,counter,hop
GigaPlop,Talk:Wikipedia,User:GigaPlop,2,-1
GigaPlop,User:GigaPlop,High Wycombe,4,-1
Chima4mani,User talk:Ekhaya2000,Wikipedia talk:Articles for creation/Elmadani Belmadani,10,-1
Chima4mani,Zimbabweans in the United Kingdom,User:Chima4mani,13,-1
AshworthVaz,"National Food Security Act, 2013",User:AshworthVaz,229,-1
AshworthVaz,User:AshworthVaz,Great Lakes Institute of Management,231,4
Maggiemae154,Wikipedia:Tutorial/Formatting/sandbox,Herman Saatkamp,235,-1
Marty Rampola,Marqus Blakely,User:Marty Rampola,246,-1
Marty Rampola,User:Marty Rampola,Marc Pingris,249,-1
Telacks,User:Telacks,Talk:Self-control,272,-1
Nadyhere,User:Nadyhere,User:Nadyhere,280,-1
Purkaple,User:Purkaple/sandbox,User:Purkaple,307,-1
Purkaple,User:Purkaple,User:Purkaple/sandbox,308,-1
Purkaple,Wikipedia:Education noticeboard,User:Purkaple/vector.js,315,-1
Purkaple,User:Purkaple/vector.js,Talk:Benjamin Farrington,316,-1
Liblaura,User:Liblaura,Gari Melchers,359,-1
DuxInvictus,Portal:Current events/2014 April 22,User talk:GorgeCustersSabre,417,-1
DuxInvictus,User talk:DuxInvictus,Ramban district,429,4
Dnigmonova,User:Dnigmonova,User:Dnigmonova,534,-1
Dnigmonova,User talk:EmmaLKrukar,User:Ituta/Course page,544,-1
Dnigmonova,User talk:Dnigmonova,User:Dnigmonova/vector.js,553,-1
Dnigmonova,User:Wipadap/sandbox,User talk:Dnigmonova/sandbox,563,-1
Dnigmonova,User:Dnigmonova/sandbox,User talk:EmmaLKrukar/sandbox,583,-1
Dnigmonova,Violence against women,User talk:Wipadap,608,-1
Monetizeyourcat,User:Tibouchina,User:Acano487,698,-1
Millie Vadgama,User:Millie Vadgama,User talk:Millie Vadgama,752,-1
Millie Vadgama,User talk:Millie Vadgama,User talk:C.Fred,788,-1
Millie Vadgama,User:Millie Vadgama,User talk:Missvain,797,-1
Kasergc,User:Kasergc,User:Kasergc,801,-1
Kasergc,User:Kasergc,Comecon,802,-1
Kasergc,Transition economy,User talk:Kasergc,812,-1
Annfrenkel,User:Annfrenkel/sandbox,User talk:Annfrenkel,844,-1
TenseBeaver,Chuck Pagano,User talk:Jweiss11,893,-1
Bredion1,Burpee (exercise),User:Bredion1,924,-1
Jordanslytherin,User:Jordanslytherin,Wikipedia:School and university projects/WR496Lewis,927,-1
Jordanslytherin,Wikipedia:School and university projects/WR496Lewis,User:Jordanslytherin/sandbox,932,-1
Hjmason92,Galen,User:Hjmason92,1082,-1
Pstanish,User:Pstanish,Toše Proeski,1086,-1
Khashayarteimoori,Wikipedia:Project namespace,User:Khashayarteimoori,1104,-1
Cassmariepeterson77,User:Cassmariepeterson77,Gender variance,1108,-1
Cassmariepeterson77,Gender variance,User:Cassmariepeterson77,1109,-1
Cassmariepeterson77,User:Cassmariepeterson77,User:Cassmariepeterson77/sandbox,1112,-1
Cassmariepeterson77,User:Cassmariepeterson77,User talk:Katie.mackiewicz/sandbox,1114,-1
Finch2017,User:Finch2017/sandbox,User:Finch2017,1129,-1
Finch2017,User:Finch2017,User:Finch2017/sandbox,1130,-1
Curre,User:Curre,Jönköping,1189,-1
Curre,Karlstad,User:Curre/sandbox,1194,-1
Gamloth,User:Gamloth/sandbox,User:Gamloth/Giant Dwarf FIlms,1198,-1
Pedalla,User:Pedalla,Dead pedal,1218,2
SoupaAvgoLemono,User:SoupaAvgoLemono,User:SoupaAvgoLemono,1222,-1
Jonahcr,User talk:Jonahcr,User talk:Jonahcr,1228,-1
Jonahcr,User talk:Jonahcr,User:Jonahcr,1229,-1
Johansen.fred,WikiMapia,User talk:14.96.140.75,1250,-1
Johansen.fred,Disturbed (band),User talk:142.165.246.233,1254,-1
Johansen.fred,User talk:142.165.246.233,Veronica Mars,1255,4
Johansen.fred,Wolfmother,User talk:189.241.72.228,1257,-1
Johansen.fred,User talk:189.241.72.228,Semantic MediaWiki,1259,4
Johansen.fred,User talk:71.59.169.220,Talk:Toronto Indoor,1273,-1
Johansen.fred,Amon Amarth,User talk:Johansen.fred,1276,-1
Johansen.fred,User talk:Johansen.fred,User:Johansen.fred,1277,-1
Wt2213,User:Wt2213,User:Wt2213/sandbox,1346,-1
Nolly E Makaveli,User:Nolly E Makaveli,User:Nolly E Makaveli,1357,-1
Peolyop,Pin stripes,User:Peolyop,1360,-1
Peolyop,User:Peolyop,Abe Coleman,1361,-1
WilliamLehnsherr,Accession of Kosovo to the European Union,User:WilliamLehnsherr,1394,-1
WilliamLehnsherr,User:WilliamLehnsherr,Islamic State of Iraq and the Levant,1396,-1
August H,User:August H,User:August H/sandbox,1416,-1
August H,User:August H,User talk:August H,1419,-1
August H,Talk:Species-typical behavior,User talk:LavigneNSCI101/sandbox,1430,-1
August H,Talk:Species-typical behavior,Talk:Aphagia,1434,-1
August H,Talk:Aphagia,Talk:Inferior temporal gyrus,1436,-1
NishachaudharyMAX,Analjit Singh,User:NishachaudharyMAX,1452,-1
NishachaudharyMAX,User:NishachaudharyMAX,File:Rahul Khosla.jpg,1453,-1
Dhoustonjackson,User:Dhoustonjackson,Wikipedia:School and university projects/WR496Lewis,1467,-1
Dhoustonjackson,Wikipedia:School and university projects/WR496Lewis,User:Dhoustonjackson/sandbox,1470,-1
Nnjjbb,How I Met Your Mother,User:Nnjjbb,1600,-1
Tarombo-Turi Turian Siraja Turnip,User:Tarombo-Turi Turian Siraja Turnip,User:Tarombo-Turi Turian Siraja Turnip,1604,-1
Bspell4625,User:Bspell4625/sandbox,User:Bspell4625/sandbox,1606,-1
HenryBaker2,User:HenryBaker2,Glasgow Prestwick Airport,1623,-1
Wolfwin,Stephen Bauzan,User:Wolfwin,1632,-1
Wolfwin,User:Wolfwin,Battle of Cadfan,1636,-1
Wolfwin,User:Wolfwin,Jaber II Al-Sabah,1639,-1
Foldingbro,User:Foldingbro,User:Foldingbro,1687,-1
Buckwheatloaf,Discourse on Inequality,User:Buckwheatloaf,1708,-1
LaLo.Lobo,User:LaLo.Lobo,User:LaLo.Lobo/sandbox,1713,-1
LaLo.Lobo,User:LaLo.Lobo/sandbox,Ecological succession,1716,-1
Nehal Kumar Sharma,User:Nehal Kumar Sharma,User:Nehal Kumar Sharma,1738,-1
Applejames,Lotus (Christina Aguilera album),User:Applejames,1743,-1
Applejames,User:Applejames,Stars Dance Tour,1744,-1
Christie Nicoson,User:Christie Nicoson,Ellen J. Kennedy,1776,-1
J66 J66,Scratch (programming language),User:J66 J66,1781,-1
Alpatrum23,User talk:Alpatrum23,Torture,1785,-1
Alpatrum23,User talk:Cfritc4547,Talk:Torture,1802,-1
Ahmed habeeb hamed khamoor,User talk:Ahmed habeeb hamed khamoor,User:Ahmed habeeb hamed khamoor,1832,-1
Ihyb0192,User:Ihyb0192,Talk:Robert Brazell,1836,-1
Ihyb0192,Robert Brazell,User talk:Ihyb0192,1842,-1
LouiseNewell,User:LouiseNewell,User:LouiseNewell/sandbox,1849,-1
Nickelroy,Wikipedia:WikiProject India/Peer review,User:Nickelroy,1891,-1
Nickelroy,List of minor DC Comics characters,User talk:Takuy,1898,-1
Nickelroy,Talk:Dacians/GA1,Dulari Qureshi,1901,5
Nickelroy,User talk:Nickelroy,Himroo,2015,2
Tunby,User:Tunby,"The Manaro Mercury, and Cooma and Bombala Advertiser",2060,-1
Tunby,User:Tunby/sandbox,List of newspapers in New South Wales,2084,-1
LazloFeelo,User:LazloFeelo,Talk:Arthur C. Clarke,2120,-1
Tlenyard,Talk:Computer,User:Tlenyard,2143,-1
Tlenyard,User:Tlenyard,Computer,2152,2
Gil.qtrax,User:Gil.qtrax,MediaWiki talk:Spam-blacklist,2154,-1
Ckl26,User:Ckl26,"Paris Peace Conference, 1919",2159,-1
Sismarinho,User:Sismarinho/sandbox,User talk:Skatefan,2185,-1
Sismarinho,Masters Karting Paris Bercy,Wikipedia talk:WikiProject Motorsport,2201,-1
Sismarinho,Wikipedia talk:WikiProject Motorsport,Talk:Chikara (professional wrestling),2202,-1
Sismarinho,Talk:André the Giant,Wikipedia:Articles for deletion/The Menagerie (professional wrestling),2206,-1
Sismarinho,Wikipedia:Articles for deletion/The Menagerie (professional wrestling),List of sportspeople who died during their careers,2207,4
Sismarinho,Wikipedia:Articles for deletion/Log/2014 August 7,User talk:Axolotl Nr.733,2210,-1
Sismarinho,User talk:Axolotl Nr.733,Aviv Maayan,2211,-1
Sismarinho,Wikipedia talk:WikiProject Professional wrestling,Wikipedia:Articles for deletion/Log/2014 October 26,2220,-1
Renayrz,User:Renayrz/Onychocola canadensis,User:Renayrz,2227,-1
Renayrz,User:Renayrz,Talk:Onychocola canadensis,2228,-1
Renayrz,User:Renayrz/sandbox,User talk:Wangyue1405/sandbox,2235,-1
Mcorasan,Sylvan Learning,User:Mcorasan,2257,-1
Mcorasan,User:Mcorasan,Apeace,2258,-1
Sarapaedia,Lesnoy Dozor,LSCh,2262,4
Sarapaedia,Hercule Poirot,User:Sarapaedia,2268,-1
Sarapaedia,User:Sarapaedia,Neretva,2270,4
Felknight,Talk:Unconscious cognition,User:Felknight,2277,-1
Felknight,User:Felknight,Unconscious cognition,2278,-1
Andrew Parodi CEO,User:Andrew Parodi CEO,Cologne Cable Car,2296,4
Marionpasschier,User:Marionpasschier,User:Marionpasschier,2301,-1
Michi62,User:Michi62,Dorothea Nicolai,2306,-1
Sujith rao kothwal,User:Sujith rao kothwal,User:Sujith rao kothwal/sandbox,2348,-1
Sujith rao kothwal,User:Sujith rao kothwal/sandbox,User talk:Sujith rao kothwal/sandbox,2349,-1
Sujith rao kothwal,User talk:Sujith rao kothwal/sandbox,"Wikipedia:Tip of the day/August 10, 2006",2351,-1
Ikeme1185,Siobhán,User:Ikeme1185,2360,-1
Ziam tay,User:Ziam tay,User:Ziam tay,2365,-1
Checkingfax-TWA,User:Checkingfax-TWA,User talk:Checkingfax-TWA,2415,-1
Skoogs,Wikipedia:Meetup/Countway OAMass13,User talk:Evrik,2509,-1
