username1,pagetitle1,pagetitle2,counter,hop
Boyboy13,Flute,User talk:Crispy1989,27,-1
Troller3000,Mid-Pacific Institute,User talk:Troller3000,57,-1
Wiki x King,Titration,User talk:Wiki x King,143,-1
Wiki x King,User talk:Wiki x King,King Lear,144,4
Poopnuke,Intercontinental ballistic missile,User:Poopnuke/sandbox,210,-1
Tangoviper,User:Tangoviper,Brad Maddox,294,-1
BrockHoliox,User talk:BrockHoliox,User talk:Materialscientist,343,-1
Katetha,Phil Lester,User talk:Katetha,529,-1
CatTazer69,User talk:Tonymontana1235312,Promiscuity,550,3
CatTazer69,Jack and Jill (film),User:CatTazer69/Turnabout is stupid,553,-1
Helloeveryone91919,Johnny Test,User:Helloeveryone91919/sandbox,739,-1
Tentri,User:Tentri,Aldfrith of Northumbria,749,-1
MR.SPARKLE'S-UNICORN-ZOMBIE,User:MR.SPARKLE'S-UNICORN-ZOMBIE,Himalayan cat,776,-1
Wayne59,Financial transaction,User talk:Wayne59,853,-1
Wayne59,User talk:I am One of Many,User:Gmaxwell/seo,855,-1
Wayne59,User:Gmaxwell/seo,Talk:Nicki Minaj,856,-1
Transerd,Wikipedia:Articles for deletion/László Kovács (writer),Castra of Drajna de Sus,984,4
Transerd,Wikipedia:Articles for deletion/László Kovács (writer),Klauzál tér (Budapest),989,5
Transerd,Talk:Klauzál Square,Castra of Târsa,995,-1
Transerd,Battle of Trnava (1430),Battle of Nagyszombat,1122,1
Transerd,User:Transerd,User talk:Alexf,1325,-1
Kurwiszonfiut,Central African Republic,User talk:Kurwiszonfiut,1405,-1
Kakamanal,Mahmoud Ahmadinejad,User talk:Kakamanal,1935,-1
Pedro69914,Gabriela Mistral,Wikipedia:Edit filter/False positives/Reports,1939,-1
Bong Hits For Muhammad,User talk:I dream of horses,Here and Now (Nickelback album),1999,5
LenaDelRay,Anne Hathaway,User talk:2.29.83.195,2113,-1
Brockhole8,List of hardcore punk bands,Wikipedia:Articles for deletion/Bradley Wright,2117,-1
Brockhole8,Wikipedia:Articles for deletion/Bradley Wright,User:YuMaNuMa,2118,-1
JuanXolos,User:JuanXolos/sandbox,2012–13 Liga MX season,2147,-1
Lucario42t,Yolo,User talk:Lucario42t,2185,-1
Tablorprizerna,Quarter-comma meantone,User talk:Carolmooredc,2245,-1
Chicken5000,Bread,Wikipedia:Edit filter/False positives/Reports,2314,-1
Melikedonkeykong,User talk:Melikedonkeykong,"Louisa, Kentucky",2320,-1
Tempuser1,User:Tempuser1,Spotted owl,2434,-1
Akshayep,Jesus in Islam,User talk:Akshayep,2509,-1
Hartsleisure,Bacary Sagna,User talk:Hartsleisure,2566,-1
Zanbaq2,Shaul Mofaz,Portal:Featured content/Pages,2571,-1
Zanbaq2,Portal:Cumbria,User talk:Zanbaq2,2579,-1
Taylor.brazell,Talk:Lollipop,User talk:Taylor.brazell,2610,-1
MasterHaydow,User:MasterHaydow,Mechanical advantage,2643,-1
Doc Ock3,Butt plug,User talk:JohnCD,2655,-1
TannerSauve911,Detroit,User:TannerSauve911,2680,-1
TannerSauve911,User:TannerSauve911,Law of the United States,2681,-1
Luxurious Line,Allan Hancox,User talk:Luxurious Line,2711,-1
Stegmeister1,Antonie van Leeuwenhoek,User talk:Stegmeister1,2924,-1
Khaduja,User talk:Khaduja,Yaya Touré,3023,3
Lucrae Jenkins,User talk:Rocketrod1960,User talk:Lucrae Jenkins,3117,-1
Give Idea,Talk:John Lennon,User talk:Binksternet,3157,-1
Give Idea,User talk:Binksternet,User talk:Jimbo Wales,3158,-1
LTFan22,Comune,Isab,3213,4
LTFan22,Isab,Wayne Jarrett,3214,5
Bobspalding,Math (disambiguation),User talk:Bobspalding,3372,-1
MARTIN-HYDE,Cranage,User talk:MARTIN-HYDE,3378,-1
VictorMoses1,Chelsea F.C. Reserves and Academy,User talk:VictorMoses1,3393,-1
Byebro,Chair,User talk:Byebro,3443,-1
Adwerq,Louise Bourgeois,User talk:Adwerq,3536,-1
Jonathanzimbron123,User:Jonathanzimbron123,Dinosaur,3552,-1
Yuiuy22,User talk:Chzz,User talk:Yuiuy22,3578,-1
Midgetmaster123,High school,User talk:Midgetmaster123,3602,-1
Chub22230230,"New Brunswick, New Jersey",User talk:201.151.149.17,3699,-1
Chub22230230,Talk:Mark Emmert,User talk:Dodger67,3701,-1
Hunter.dickerson,One Direction,User talk:Doniago,3731,-1
Butefraim22,United States,User talk:Butefraim22,3760,-1
Kaboom4674,Airbus,User talk:Kaboom4674,3928,-1
Ebrahem2,Wikipedia:Main Page/Errors,User talk:Ebrahem2,4083,-1
NOTELLTHEOTHERS,Comedy,User talk:Dawnseeker2000,4154,-1
Louiegriffin1,User talk:Louiegriffin1,Magnate Magazine,4249,-1
Jjchingo,Wikipedia:Tutorial/Editing/sandbox,Kim Tae-yeon,4370,-1
Kevinphilbob,Happy Wheels,User talk:Kevinphilbob,4500,-1
Loganf18,User talk:Majora4,Biotechnology,4566,4
Dragonwarrior16,Starfish,User talk:Dragonwarrior16,4650,-1
Cool194988,DDD,User talk:Cool194988,4688,-1
Willo sexy,Paul O'Connell,Wikipedia:Edit filter/False positives/Reports,4704,-1
Cameron05230301,Frances Hodgson Burnett,User:Cameron05230301,4729,-1
Cameron05230301,User:Cameron05230301,Michael Jackson,4737,-1
Iedityourarticle,Apple pie,Wikipedia:Edit filter/False positives/Reports,4759,-1
JBecker16,Caruso Middle School,Caruso Middle School,4761,1
Sithara03,Talk:Sri Lanka,User talk:Sithara03,4785,-1
Azizurehman007,User:Azizurehman007/sandbox,Babar Iqbal,4891,-1
Azizurehman007,Babar Iqbal,User talk:Azizurehman007,4899,-1
Jeffrolfvondenbaumen11,Plateau First Nations,International Space Station,4937,3
Reznoff2,White people,User:Reznoff2,4992,-1
Nebiyu e,User talk:Nebiyu e,History of Tennessee,5031,1
123lilbrad,"Kraft, Louisiana",User talk:12.197.247.250,5052,-1
123lilbrad,User talk:12.197.247.250,"Wood, Louisiana",5053,6
Qdog83,Wikipedia:Sandbox,User talk:Qdog83,5100,-1
Qdog83,User talk:RHaworth/2013 Feb 05,Heroin,5102,-1
A. J. Abbasi,User:A. J. Abbasi,Dokri Taluka,5138,-1
Zombiedude101,Hebrew language,User talk:Zombiedude101,5153,-1
MADLOL987,User talk:MADLOL987,Hobo,5171,1
Prince$$eslol,Talk:Cheerleading,Wikipedia talk:Articles for creation/Sophie Smith,5186,5
Prince$$eslol,Wikipedia talk:Articles for creation/Sophie Smith,User:WikiDan61,5187,-1
Prince$$eslol,User:WikiDan61,User talk:Black Kite,5192,-1
DrewDickles,Pulling Teeth (song),Dookie,5245,1
DrewDickles,Mrs. Blaileen,Atlantic Records,5273,3
PlaiPie,Swastika,User talk:PlaiPie,5278,-1
SDMIfanatic,List of Scooby-Doo! Mystery Incorporated episodes,User:SDMIfanatic,5400,-1
Michelle24250,User talk:Michelle24250,Pen,5450,1
Prisinor108,Macbeth,User talk:Rocketrod1960,5483,-1
Prisinor108,User talk:Prisinor108,User talk:JohnCD,5488,-1
Louis Tomlinson Is My Love,User talk:Louis Tomlinson Is My Love,James Chadwick,5533,-1
Louis Tomlinson Is My Love,James Chadwick,User talk:Louis Tomlinson Is My Love,5534,-1
Clairlove619,User talk:Nostradamus1,Wikipedia:Disambiguation pages with links/January 2013,5538,-1
Clairlove619,User:BD2412/Eleventh dated archive,Wiki markup,5542,3
Clairlove619,Wiki markup,User talk:Hawkeye7,5544,-1
Clairlove619,User talk:Hawkeye7,Geolocation software,5545,4
L. Hulbert,Synbiotics,Wikipedia talk:Wikipedia Signpost/2013-02-11/Featured content,5564,-1
L. Hulbert,Wikipedia talk:Wikipedia Signpost/2013-02-11/Featured content,List of Chinese dictionaries,5566,5
Fast-TIGER,Jellyfish,User:Fast-TIGER,5674,-1
Fast-TIGER,User:Fast-TIGER,Han Chinese,5677,-1
LR1998,User:LR1998,User talk:LR1998,5695,-1
Joshlyman27,Margaret Thatcher,User talk:Joshlyman27,5736,-1
Slamdog7214,Bad Girls Club (season 10),Bad Girl Games,6427,1
Consucker3000,User:Consucker3000,Printer (computing),7024,-1
Claymore124,User talk:Claymore124,Oomycete,7053,-1
Pishotche,User:Pisconeri,User:Pisconeri,7170,-1
Pishotche,User:Pisconeri,Ashleigh Barty,7173,-1
Dddash107,Ultrapure water,User talk:Kinu/Archive 13,7200,-1
Dddash107,User talk:Kinu/Archive 13,James Chadwick,7202,3
Dylancooldude,User:Dylancooldude,Mononucleosis,7255,-1
Ydoc52,Kashyap Rajput,SMS Hildebrand,7300,5
Thespag,South Charnwood High School,User talk:Thespag,7307,-1
Thespag,User talk:Thespag,MLS Re-Entry Draft,7308,-1
Richard(E) Glover,User talk:Richard(E) Glover,Labour hire,7313,-1
Tainted Ice,"Langley Academy, Slough",User:Abu Zion,7331,-1
Althemise,User talk:Andrzejbanas,Everybody (Backstreet's Back),7404,4
Althemise,User talk:Andrzejbanas,Star Wars Episode III: Revenge of the Sith,7450,4
Bong Hits For Muhamma,Oklahoma City bombing conspiracy theories,User talk:Bong Hits For Muhamma,7494,-1
Nickname97,The Quantum Prophecy,Departments of France,7498,3
M3TAT3RR0R,User:M3TAT3RR0R,Snoop Dogg,7559,-1
Leaf117,User:Leaf117,King Philip Regional High School,7588,-1
Darthpineapple401,User talk:Darthpineapple401,Wampa,7646,4
Darthpineapple401,User:Darthpineapple401,Henry Hoobin,7661,-1
Darthpineapple401,User talk:Noommos,Clover (creature),7714,-1
Darthpineapple401,User talk:Noommos,Poop,7716,-1
Darthpineapple401,User talk:Darthpineapple401,Raptor Island,7743,1
Darthpineapple401,User talk:Darthpineapple401,Critters 2: The Main Course,7763,3
Darthpineapple401,Elizabeth Lavenza,Mandark (Dexter's Laboratory),7772,3
Darthpineapple401,Mandark (Dexter's Laboratory),Talk:Nerd,7780,3
Darthpineapple401,Dr. Jekyll and Mr. Hyde (video game),Seel and Dewgong,7859,4
Darthpineapple401,User talk:JaGa,Seel the seal,7871,5
Darthpineapple401,The cute little Aurora Beamer,XBox 360 Kinect,7887,3
Darthpineapple401,Kinect for the XBox 360,Jurassic Park Interactive,7889,3
Darthpineapple401,Attack of the Killer Potatoes,Brak and Zorak Like Cartoons Show,7901,3
Darthpineapple401,Brak and Zorak Like Cartoons Show,Ms. Pac-Man,7902,3
Darthpineapple401,Ms. Pac-Man,Ninjagolf,7903,3
Darthpineapple401,Rampage 4,Iron Soldier,7907,4
Darthpineapple401,Rambo (1987 video game),Dewgong & Seel,7910,4
Darthpineapple401,Jurassic Park Interactive,Skittles Riddles,7916,5
Darthpineapple401,Confectionery Skittles,Antihero,7924,4
Darthpineapple401,Aztec Rex,Pirates! Band of Misfits!,7929,4
Darthpineapple401,Pirates! Band of Misfits!,Black Knight (Monty Python),7931,3
Darthpineapple401,The Cell,Hawkeye (DC Comics),7933,3
Darthpineapple401,Swordfish (Batman),Almost Got 'Im,7942,3
Darthpineapple401,Hawaiian Longfin Anthias,Longfin Anthias fish,7950,1
Darthpineapple401,Longfin Anthias fish,Signs (film),7951,4
Darthpineapple401,Cloverfield,Jumping the mega shark,7980,-1
Darthpineapple401,Jumping the mega shark,Treasure of the Four Crowns,7981,-1
Philly phillip,"Ridgefield, Washington",User:Philly phillip,8109,-1
AndyMarkis,Benjamin Netanyahu,User talk:AndyMarkis,8145,-1
FarceFan,Cuckoo on a Choo Choo,Wikipedia:Articles for deletion/Mathew Knowles,8184,-1
EllieEllie2626,Kesha discography,Portal:Biography/Selected anniversaries/January 20,8225,-1
EllieEllie2626,U2 3D,User talk:EllieEllie2626,8235,-1
Walale12,Gnaeus Julius Agricola,User talk:Walale12,8261,-1
Mitchelldales,Métis people (Canada),User:Mitchelldales,8316,-1
Mitchelldales,User:Mitchelldales,2013 Scotties Tournament of Hearts,8317,-1
Mitchelldales,User:Mitchelldales,First U.S. presidential debate of 2012,8327,-1
