username1,pagetitle1,pagetitle2,counter,hop
Beefyted69,Ted Leonsis,User talk:Beefyted69,4,-1
Username314159,Greece,User talk:Username314159,47,-1
Fake2.0,Portal:Arts/Featured biography/13,Ramaria botrytis,64,-1
MyThrowawayAccount,Yahoo! Mobile,User talk:MyThrowawayAccount,364,-1
SalHatena,User talk:Yintan,User talk:SalHatena,547,-1
Cameronpeattie,User:Cameronpeattie/sandbox,Antoni Gaudí,603,-1
Josecardoza,User talk:Nick 24b,User talk:Fingerelevenfanatic9,782,-1
Itsakitten,User talk:Itsakitten,"Pryor Creek, Oklahoma",802,-1
Lukeluv69,Diversity factor,User talk:Keri,829,-1
FelipeCaraVieja,Michelle Williams (singer),User talk:Excirial,895,-1
FelipeCaraVieja,Michelle Williams (singer),User talk:FelipeCaraVieja,897,-1
Wtfboom814,Kokeshi,User talk:Wtfboom814,1040,-1
Malcon 95,Malaysian Army,User:Malcon 95,1051,-1
Malcon 95,Malaysian Army,User talk:Malcon 95,1065,-1
Spyke12,User:Spyke12,Reykjavik to Rotterdam (2007),1160,-1
Preshil2012,Peter Siddle,User talk:Preshil2012,1211,-1
TAMMYWENA,Tim Riley (radio personality),User talk:NawlinWiki/Archive 77,1253,-1
Tepid Glitter,User:Tepid Glitter,Orange juice,1270,-1
Fingerelevenfanatic9,Cobalt(II) bromide,User:Fingerelevenfanatic9,1300,-1
DoctorHenryHowardHolmes,Wikipedia:Articles for deletion/Pasquale Cafaro,Communist Russia,1457,-1
DoctorHenryHowardHolmes,Communist Russia,User talk:DoctorHenryHowardHolmes,1466,-1
DoctorHenryHowardHolmes,Ronald L. Thompson,Wikipedia:Articles for deletion/Andrés Thomas Conteris (2nd nomination),1473,-1
DoctorHenryHowardHolmes,Wikipedia:Articles for deletion/Andrés Thomas Conteris (2nd nomination),Pasquale Cafaro,1477,5
Madibff,User talk:96.4.40.226,Talk:Main Page,1647,-1
Madibff,Talk:Main Page,User talk:Madibff,1648,-1
Biolifeline,Index of health articles,User talk:Biolifeline,1775,-1
Cole240269,User:Cole240269,Chester Gaylord,1813,-1
Sharpspike77,Salting the earth,User talk:Sharpspike77,1876,-1
Gifara,Diary of a Wimpy Kid (series),User talk:Gifara,1922,-1
Kingmandude,User talk:Kingmandude,United States emission standards,1942,1
Kingmandude,User talk:Kingmandude,Environmental science,1945,3
Hole hais,Sesame Street,User talk:SQGibbon,1964,-1
Muytr,The Amazing Race 22,User talk:Ryulong,2002,-1
Jonathane71,Jan Mayen,User talk:Jonathane71,2032,-1
Tbob84,Penny (The Big Bang Theory),User talk:Tbob84,2178,-1
Tbob84,User talk:Tbob84,Shell (projectile),2179,-1
Nikkoooo,User talk:JohnCD,User talk:Nikkoooo,2466,-1
Poopman16,Lateran Council (769),User talk:Mikemoral,2584,-1
Isateach,Dark energy,User talk:Isateach,2623,-1
Jinkura2,Wikipedia talk:Edit filter/False positives,User talk:Jinkura2,2694,-1
Vilano XIII,World War I casualties,User talk:Vilano XIII,2774,-1
Vilano XIII,User talk:Vilano XIII,User talk:Woogie10w,2775,-1
Electricfire12,List of Rock Band Network 2.0 songs,User:Electricfire12/sandbox,2942,-1
Electricfire12,User:Electricfire12/sandbox,User:Electricfire12,2943,-1
Odzhion,Marcel Marceau,User talk:Odzhion,3033,-1
HannahPavina,User talk:HannahPavina,User talk:76.88.20.150,3068,-1
Joemamma1025,Emerson Drive,User talk:WikiDan61,3186,-1
