username1,pagetitle1,pagetitle2,counter,hop
Swiftscw,User:Swiftscw,User:Swiftscw/AMAPOLA CABASE,2,-1
Swiftscw,Manuel Kabajar Cabase,User talk:Postdlf/Archive23,14,-1
Swiftscw,Talk:Maria Cabase,Wikipedia:WikiProject Biography/Members,16,-1
Swiftscw,Wikipedia:WikiProject Biography/Members,User talk:Swiftscw,17,-1
Azkle,User:Azkle,Wikipedia:Training/For students/Training feedback,24,-1
Azkle,Wikipedia:Training/For students/Training feedback,Netflix,25,-1
Tgrosinger,User talk:209.204.163.5,Wild Bunch,56,-1
Tgrosinger,User talk:203.210.79.192,2013 Australian Open,64,4
Tgrosinger,User talk:58.111.181.30,Samsung Electronics,66,-1
Tgrosinger,User talk:Tgrosinger,Tourist attractions in Warsaw,70,4
Tgrosinger,User talk:121.244.174.3,"The Priory School, Shrewsbury",74,5
Tgrosinger,User talk:77.98.185.227,Milton Keynes Academy,79,6
Tgrosinger,Storm (disambiguation),Wikipedia:WikiProject Seattle/Active participants,94,-1
Tgrosinger,Wikipedia:WikiProject Seattle/Active participants,Mighty-O Donuts,95,5
Tgrosinger,User talk:Tgrosinger,John L. Scott,100,4
Tgrosinger,User talk:Skyerise,Talk:Torchwood/GA1,106,-1
Tgrosinger,Talk:Torchwood/GA1,List of Apache Software Foundation projects,108,-1
Tiny Trot,Talk:Equine coat color genetics,User:Tiny Trot,122,-1
Naveenchand3,Jeay Sindh Muttahida Mahaz,User:Naveenchand3,139,-1
Naveenchand3,Wikipedia:WikiProject Pakistan/Assessment,Talk:Jeay Sindh Muttahida Mahaz,141,-1
Griff88,User talk:Bill william compton,2010 Asian Games opening ceremony,166,6
Griff88,1992 Summer Olympics national flag bearers,User talk:KFP,192,-1
Griff88,User talk:KFP,Indonesia at the 2000 Summer Olympics,194,6
Griff88,Swimming at the 1952 Summer Olympics – Men's 200 metre breaststroke,Wikipedia talk:WikiProject Olympics,204,-1
Griff88,Wikipedia talk:WikiProject Olympics,User:Griff88,215,-1
Griff88,User talk:Griff88,Cycling at the 1988 Summer Olympics – Men's team time trial,266,4
Griff88,Wikipedia talk:WikiProject Olympics,Ricky Anggawidjaja,462,6
Griff88,Ricky Anggawidjaja,Table tennis at the 2014 Summer Youth Olympics,463,5
Griff88,User talk:Bill william compton,Cycling at the 2014 Asian Games – Men's road race,478,6
Griff88,Cycling at the 2014 Asian Games – Women's individual time trial,Cycling at the 2014 Asian Games – Men's cross-country,489,4
Griff88,Cycling at the 2014 Asian Games – Women's cross-country,Running Man (TV series),492,5
Mrkwillson,User:Mrkwillson,Pine Creek Gorge,498,1
Mrkwillson,User:Mrkwillson,"Talk:List of people from Evanston, Illinois",502,-1
Dr Simon Allard,User:Dr Simon Allard,User talk:Pdcook,504,-1
DilbertReality,"New Jersey gubernatorial election, 2013",Wikipedia:Articles for deletion/Chris Chiacchio,554,-1
