username1,pagetitle1,pagetitle2,counter,hop
Edit Author,Wikipedia:Articles for deletion/Sai Gundewar,Wikipedia:Administrators' noticeboard/Edit warring,1,-1
Edit Author,Wikipedia:Administrators' noticeboard/Edit warring,User talk:Edit Author,2,-1
Edit Author,User talk:Edit Author,Wikipedia:Administrator intervention against vandalism,3,-1
Edit Author,User talk:Edit Author,User:Edit Author,5,-1
Edit Author,User:Edit Author,DJ Aqeel,6,-1
Andru.miller,User:Andru.miller,PrimeSense,29,-1
Andru.miller,User:Andru.miller/sandbox,User talk:Andru.miller,33,-1
CommOERChip,User:CommOERChip,User:CommOERChip,42,-1
CommOERChip,User:CommOERChip,Talk:DIVA software,46,-1
CommOERChip,User:CommOERChip,Wikipedia:What Wikipedia is not,65,3
CommOERChip,Timms,Wikipedia:Communicate OER Team,67,-1
Rydbergite,User:Rydbergite,Talk:Polaron,143,-1
Zedekiah Nandwa,User:Zedekiah Nandwa,User:Zedekiah Nandwa,155,-1
Hal.MacGregor,Pytheas,User:Hal.MacGregor,181,-1
Bloodclan,User talk:Bloodclan,User:Bloodclan,183,-1
Eebeejay,User:Eebeejay,Anthony Howell (performance artist),197,5
Eebeejay,Richard Tyrone Jones,Victoria Fringe Festival,200,2
Muhammad Ibrahim Ahmad,Wikipedia:Requests for adminship/Muhammad Ibrahim Ahmad,Wikipedia:Requests for adminship/Muhammad Ibrahim Ahmad,208,-1
Muhammad Ibrahim Ahmad,Wikipedia:Requests for adminship/Muhammad Ibrahim Ahmad,Soekarno–Hatta International Airport,210,-1
Souagague,User talk:De728631,Best Employers in Canada (study),239,-1
Souagague,Best Employers in Canada (study),User:Souagague,263,-1
Souagague,User:Souagague,Wikipedia:Teahouse/Questions,264,-1
ImmersionHeaterGuru,User:ImmersionHeaterGuru,Water heating,270,-1
Arwa syr,User talk:Arwa syr,Wikipedia:Tutorial/Editing/sandbox,325,-1
IA-chemist,Vinyl cation,User:IA-chemist,383,-1
IA-chemist,User:IA-chemist,Ethane,384,-1
Katherineatnokia,User:Katherineatnokia,Talk:Stephen Elop,400,-1
A. Patrick DeAula,Emporia State University,User:A. Patrick DeAula,408,-1
A. Patrick DeAula,User:A. Patrick DeAula,User talk:Corkythehornetfan,409,-1
A. Patrick DeAula,User talk:Corkythehornetfan,Emporia State University,410,3
EricsonWillians,Horror fiction,Cartesian logic,462,3
EricsonWillians,Cartesian logic,List of heavy metal bands by country,467,-1
Freewake,User:Freewake,Godavari River,624,-1
AchisDeGeth,User:AchisDeGeth/sandbox,User:AchisDeGeth/sandbox,649,-1
AchisDeGeth,User:AchisDeGeth/sandbox,Gangu Teli,651,-1
AchisDeGeth,User:AchisDeGeth/sandbox,Persian Cossack Brigade,654,-1
AchisDeGeth,Talk:Purushamedha,Wikipedia:Articles for deletion/Sex Jihad,669,-1
AchisDeGeth,Wikipedia:Articles for deletion/Sex Jihad,Rakhi Sawant,670,4
AchisDeGeth,"Matilda II, Countess of Boulogne",Social discovery,702,4
AchisDeGeth,Twoo.com,William of Norwich,704,4
Not so slim shady951,Koorawatha,User:Not so slim shady951,786,-1
Gummif,Talk:Compressed sensing,User:Gummif,792,-1
Gummif,User:Gummif,Talk:Navier–Stokes equations,793,-1
Jascalara04,Kylie Padilla,User:Jascalara04,810,-1
Jacobarmstrong472,User:Jacobarmstrong472,Medical assistant,824,-1
Tharangac,User:Tharangac,User:Tharangac/sandbox,858,-1
Cctnas,User:Cctnas,Future Shop,862,-1
OfficialRikudouSennin,User:OfficialRikudouSennin,Alex Vincent (actor),878,-1
ScreamingDuck,User:ScreamingDuck/sandbox,User:ScreamingDuck/sandbox/2013 WRC full results,887,-1
ScreamingDuck,User:ScreamingDuck/sandbox/2013 WRC full results,User:ScreamingDuck/sandbox/Pilots in the World Helicopter Racing Championships,889,-1
ScreamingDuck,User:ScreamingDuck/sandbox/Pilots in the World Helicopter Racing Championships,User:ScreamingDuck/sandbox/World Helicopter Racing Champions,890,-1
ScreamingDuck,User:ScreamingDuck/sandbox/WRC Ford World Championship,User:ScreamingDuck/sandbox/2001 World Helicopter Racing Championships season,892,-1
ScreamingDuck,User:ScreamingDuck/sandbox/2001 World Helicopter Racing Championships season,User:ScreamingDuck/sandbox/Randomicity WRC entrants 2013,893,-1
ScreamingDuck,User:ScreamingDuck/sandbox/Randomicity WRC entrants 2013,User:ScreamingDuck/sandbox/WRC Rally of Monaco 2013 entrants,894,-1
ScreamingDuck,User:ScreamingDuck/sandbox/Pilots in the World Helicopter Racing Championships,User:ScreamingDuck/sandbox/List of Granitoons characters,898,-1
