username1,pagetitle1,pagetitle2,counter,hop
Niagaragallery,User:Niagaragallery,User:Niagaragallery/sandbox,8,-1
Niagaragallery,User:Niagaragallery/sandbox,Richard Larter,9,2
Niagaragallery,User:Niagaragallery/sandbox,Gunter Christmann,12,5
Niagaragallery,User:Niagaragallery/sandbox,Euan MacLeod,21,4
Niagaragallery,User:Niagaragallery/sandbox,Rick Amor,26,4
Niagaragallery,User:Niagaragallery/sandbox,McCaughey Prize,43,3
Niagaragallery,User:Niagaragallery/sandbox,Wikipedia talk:Articles for creation/Bradd Westmoreland,61,-1
Qaraa cilmi baare,User:Qaraa cilmi baare,User talk:Qaraa cilmi baare,165,-1
Qaraa cilmi baare,User talk:Qaraa cilmi baare,Wikipedia:IMAGE,166,-1
Wikid77b,User:Wikid77b,Talk:Edit conflict,187,-1
Wikid77b,Template talk:Metadata South Africa,Template talk:Flag,214,-1
Wikid77b,Template talk:Flag,WYCW,215,4
ChocolateCakeYum!!,User:ChocolateCakeYum!!,User talk:Numbermaniac/Archive 1,496,-1
ChocolateCakeYum!!,User:ChocolateCakeYum!!,User:ChocolateCakeYum!!/Stories,532,-1
ChocolateCakeYum!!,User:ChocolateCakeYum!!/Stories,User talk:Aaron Bruce,535,-1
Vjaasief,Wikipedia:Help desk,User talk:Vjaasief,616,-1
MortenZdk,List of hash functions,User:MortenZdk,705,-1
MortenZdk,User:MortenZdk/sandbox,User:MortenZdk/TestPage 1,749,-1
MortenZdk,User:MortenZdk/sandbox,User:MortenZdk/sandbox table,753,-1
MortenZdk,User talk:Mdebellis,Linear feedback shift register,758,-1
Sanggi Yoga,User:Sanggi Yoga,User:Sanggi Yoga,764,-1
Lorykwee,User talk:Lorykwee,User:Lorykwee,806,-1
Shounkan,Wikipedia:Tutorial/Keep in mind/sandbox,User:Shounkan/sandbox,833,-1
Shounkan,User:Shounkan,"Sanda, Hyōgo",848,-1
Unum et idem,User:Unum et idem,User:Unum et idem,882,-1
Nitish nidhi,User:Nitish nidhi,User:Nitish nidhi,885,-1
Eliaizackfrank,User:Eliaizackfrank,Wikipedia talk:Articles for creation/OLDMOSHI,893,-1
JDoUo,User:JDoUo,User:JDoUo,905,-1
Kirkcudbrightshire,Dick Thornburgh,User:Kirkcudbrightshire,916,-1
Kirkcudbrightshire,User:Kirkcudbrightshire,Wikipedia:Education noticeboard,917,-1
Kirkcudbrightshire,Wikipedia:Education noticeboard,Education Program talk:University of Pittsburgh/History Internship (Fall 2013)/Course description,918,-1
Kirkcudbrightshire,Education Program talk:University of Pittsburgh/History Internship (Fall 2013)/Course description,User talk:MidwestCuttlefish,919,-1
COCentrist,User:COCentrist,Scott Gessler,931,4
Imtiyaz reshi,User:Imtiyaz reshi,User:Imtiyaz reshi/sandbox,953,-1
Stedddy,User:Stedddy,Ted Hood,1054,-1
Ath271,Mary Baker Eddy,User:Ath271,1060,-1
Ath271,User:Ath271,Talk:Christian Science,1061,-1
Ath271,Talk:Christian Science,User talk:Cpiral,1125,-1
Ath271,Talk:Christian Science,User talk:Ath271,1134,-1
Ath271,User:Ath271/Christian Science article/Proposals,User:Ath271/Christian Science metaphysics sources,1138,-1
Ath271,Talk:Christian Science,User talk:Ath271/Christian Science article/Proposals,1170,-1
Jah Hans,User:Jah Hans,The A Team (song),1271,-1
Jah Hans,Bright House Networks,Live and Loud Tour,1285,-1
Jah Hans,Live and Loud Tour,"The Villages, Florida",1287,-1
RyanBerry98,User talk:Acroterion,Matt McGinn,1306,4
RyanBerry98,User talk:Acroterion,Mark McGowan (performance artist),1311,4
RyanBerry98,Matt Lygate,User:RyanBerry98,1326,-1
Rglide,User:Rglide,"Wikipedia:Meetup/Detroit, MI/Wiknic/2013",1338,-1
